GloveManager recording started on 10/20/16 at 17:14:39

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017206,0.017206,1629,2092,1678,2089,2338,2508,2107,2348,2771,1244,3548,2900,1749,3088,,0.699288,0.304868,0.384977,0.435268,0.205409,0.813520,0.302235,0.260657,0.655172,0.216964,0.941176,0.851852,0.449260,0.759259
0.017987,0.035193,1629,2092,1678,2089,2338,2508,2107,2348,2771,1244,3548,2900,1749,3088,,0.699288,0.304868,0.384977,0.435268,0.205409,0.813520,0.302235,0.260657,0.655172,0.216964,0.941176,0.851852,0.449260,0.759259
0.017989,0.053182,1628,2090,1680,2089,2339,2509,2105,2348,2772,1245,3549,2900,1748,3087,,0.698695,0.303160,0.386150,0.435268,0.206053,0.814103,0.300292,0.260657,0.656250,0.217857,0.942173,0.851852,0.448203,0.758573
0.018004,0.071186,1628,2090,1680,2089,2338,2509,2106,2347,2772,1244,3550,2900,1749,3087,,0.698695,0.303160,0.386150,0.435268,0.205409,0.814103,0.301263,0.259958,0.656250,0.216964,0.943170,0.851852,0.449260,0.758573
0.017971,0.089158,1628,2091,1679,2090,2338,2509,2105,2347,2770,1244,3549,2900,1749,3087,,0.698695,0.304014,0.385563,0.436384,0.205409,0.814103,0.300292,0.259958,0.654095,0.216964,0.942173,0.851852,0.449260,0.758573
0.018001,0.107159,1627,2090,1681,2089,2338,2510,2104,2346,2771,1244,3549,2900,1748,3087,,0.698102,0.303160,0.386737,0.435268,0.205409,0.814685,0.299320,0.259259,0.655172,0.216964,0.942173,0.851852,0.448203,0.758573
0.017987,0.125146,1626,2089,1684,2090,2338,2511,2105,2345,2772,1245,3549,2899,1748,3086,,0.697509,0.302306,0.388498,0.436384,0.205409,0.815268,0.300292,0.258560,0.656250,0.217857,0.942173,0.851213,0.448203,0.757888
0.018022,0.143167,1625,2089,1685,2090,2338,2512,2104,2345,2770,1245,3549,2900,1749,3085,,0.696916,0.302306,0.389085,0.436384,0.205409,0.815851,0.299320,0.258560,0.654095,0.217857,0.942173,0.851852,0.449260,0.757202
0.018036,0.161203,1625,2087,1685,2089,2338,2514,2104,2346,2771,1245,3550,2899,1748,3085,,0.696916,0.300598,0.389085,0.435268,0.205409,0.817016,0.299320,0.259259,0.655172,0.217857,0.943170,0.851213,0.448203,0.757202
0.017989,0.179192,1624,2088,1685,2089,2338,2514,2104,2346,2770,1246,3550,2899,1748,3085,,0.696323,0.301452,0.389085,0.435268,0.205409,0.817016,0.299320,0.259259,0.654095,0.218750,0.943170,0.851213,0.448203,0.757202
0.017956,0.197148,1623,2086,1686,2089,2337,2514,2103,2345,2770,1245,3550,2899,1747,3084,,0.695730,0.299744,0.389671,0.435268,0.204765,0.817016,0.298348,0.258560,0.654095,0.217857,0.943170,0.851213,0.447146,0.756516
0.018045,0.215193,1623,2085,1689,2091,2337,2515,2102,2345,2770,1244,3550,2899,1746,3083,,0.695730,0.298890,0.391432,0.437500,0.204765,0.817599,0.297376,0.258560,0.654095,0.216964,0.943170,0.851213,0.446089,0.755830
0.017999,0.233193,1620,2083,1694,2088,2336,2517,2101,2344,2769,1244,3549,2898,1747,3081,,0.693950,0.297182,0.394366,0.434152,0.204121,0.818765,0.296404,0.257862,0.653017,0.216964,0.942173,0.850575,0.447146,0.754458
0.018000,0.251193,1620,2083,1694,2088,2336,2517,2101,2344,2769,1244,3549,2898,1747,3081,,0.693950,0.297182,0.394366,0.434152,0.204121,0.818765,0.296404,0.257862,0.653017,0.216964,0.942173,0.850575,0.447146,0.754458
0.018002,0.269195,1619,2081,1700,2088,2335,2518,2101,2344,2771,1244,3550,2896,1746,3080,,0.693357,0.295474,0.397887,0.434152,0.203477,0.819347,0.296404,0.257862,0.655172,0.216964,0.943170,0.849298,0.446089,0.753772
0.017987,0.287182,1619,2081,1703,2088,2336,2519,2100,2343,2771,1244,3548,2896,1747,3080,,0.693357,0.295474,0.399648,0.434152,0.204121,0.819930,0.295432,0.257163,0.655172,0.216964,0.941176,0.849298,0.447146,0.753772
0.018013,0.305195,1618,2079,1706,2089,2335,2519,2099,2342,2771,1245,3548,2896,1747,3079,,0.692764,0.293766,0.401408,0.435268,0.203477,0.819930,0.294461,0.256464,0.655172,0.217857,0.941176,0.849298,0.447146,0.753086
0.017976,0.323171,1617,2078,1708,2088,2336,2520,2099,2341,2771,1244,3547,2895,1746,3075,,0.692171,0.292912,0.402582,0.434152,0.204121,0.820513,0.294461,0.255765,0.655172,0.216964,0.940179,0.848659,0.446089,0.750343
0.018000,0.341171,1615,2076,1710,2088,2334,2520,2098,2341,2771,1244,3547,2895,1746,3074,,0.690985,0.291204,0.403756,0.434152,0.202833,0.820513,0.293489,0.255765,0.655172,0.216964,0.940179,0.848659,0.446089,0.749657
0.018022,0.359193,1615,2075,1713,2088,2334,2521,2098,2339,2771,1244,3548,2895,1747,3074,,0.690985,0.290350,0.405516,0.434152,0.202833,0.821096,0.293489,0.254368,0.655172,0.216964,0.941176,0.848659,0.447146,0.749657
0.017985,0.377178,1614,2075,1715,2088,2333,2521,2097,2338,2773,1244,3547,2895,1746,3071,,0.690391,0.290350,0.406690,0.434152,0.202189,0.821096,0.292517,0.253669,0.657328,0.216964,0.940179,0.848659,0.446089,0.747599
0.018029,0.395207,1614,2075,1715,2088,2333,2522,2096,2336,2773,1244,3546,2895,1746,3071,,0.690391,0.290350,0.406690,0.434152,0.202189,0.821678,0.291545,0.252271,0.657328,0.216964,0.939182,0.848659,0.446089,0.747599
0.017994,0.413201,1614,2075,1714,2088,2334,2521,2097,2336,2773,1245,3546,2895,1746,3071,,0.690391,0.290350,0.406103,0.434152,0.202833,0.821096,0.292517,0.252271,0.657328,0.217857,0.939182,0.848659,0.446089,0.747599
0.018002,0.431203,1615,2076,1713,2089,2333,2522,2096,2335,2773,1245,3547,2896,1746,3071,,0.690985,0.291204,0.405516,0.435268,0.202189,0.821678,0.291545,0.251572,0.657328,0.217857,0.940179,0.849298,0.446089,0.747599
0.018002,0.449205,1614,2077,1713,2090,2333,2522,2095,2335,2773,1246,3547,2896,1746,3071,,0.690391,0.292058,0.405516,0.436384,0.202189,0.821678,0.290573,0.251572,0.657328,0.218750,0.940179,0.849298,0.446089,0.747599
0.018007,0.467212,1615,2076,1711,2090,2334,2522,2095,2335,2774,1245,3546,2896,1746,3071,,0.690985,0.291204,0.404343,0.436384,0.202833,0.821678,0.290573,0.251572,0.658405,0.217857,0.939182,0.849298,0.446089,0.747599
0.018020,0.485232,1615,2076,1711,2090,2334,2522,2095,2335,2774,1245,3546,2896,1746,3071,,0.690985,0.291204,0.404343,0.436384,0.202833,0.821678,0.290573,0.251572,0.658405,0.217857,0.939182,0.849298,0.446089,0.747599
0.017974,0.503206,1614,2075,1711,2090,2334,2522,2094,2334,2774,1246,3546,2896,1746,3072,,0.690391,0.290350,0.404343,0.436384,0.202833,0.821678,0.289602,0.250874,0.658405,0.218750,0.939182,0.849298,0.446089,0.748285
0.017987,0.521193,1614,2075,1713,2091,2334,2523,2094,2334,2774,1246,3546,2896,1746,3070,,0.690391,0.290350,0.405516,0.437500,0.202833,0.822261,0.289602,0.250874,0.658405,0.218750,0.939182,0.849298,0.446089,0.746914
0.018014,0.539208,1613,2074,1712,2091,2334,2523,2094,2334,2774,1246,3546,2896,1747,3071,,0.689798,0.289496,0.404930,0.437500,0.202833,0.822261,0.289602,0.250874,0.658405,0.218750,0.939182,0.849298,0.447146,0.747599
