GloveManager recording started on 10/20/16 at 17:14:55

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017566,0.017566,1640,2120,1604,2107,2372,2580,2007,2359,2759,1264,3531,2917,1738,3072,,0.705813,0.328779,0.341549,0.455357,0.227302,0.855478,0.205053,0.268344,0.642241,0.234821,0.924227,0.862708,0.437632,0.748285
0.018002,0.035567,1641,2120,1605,2107,2372,2579,2008,2359,2758,1264,3532,2917,1739,3072,,0.706406,0.328779,0.342136,0.455357,0.227302,0.854895,0.206025,0.268344,0.641164,0.234821,0.925224,0.862708,0.438689,0.748285
0.018012,0.053580,1640,2121,1606,2106,2372,2580,2008,2359,2759,1264,3532,2917,1739,3072,,0.705813,0.329633,0.342723,0.454241,0.227302,0.855478,0.206025,0.268344,0.642241,0.234821,0.925224,0.862708,0.438689,0.748285
0.017991,0.071570,1641,2121,1606,2107,2372,2579,2008,2358,2758,1264,3532,2917,1739,3072,,0.706406,0.329633,0.342723,0.455357,0.227302,0.854895,0.206025,0.267645,0.641164,0.234821,0.925224,0.862708,0.438689,0.748285
0.018000,0.089570,1641,2121,1605,2108,2372,2579,2008,2358,2759,1264,3531,2916,1738,3072,,0.706406,0.329633,0.342136,0.456473,0.227302,0.854895,0.206025,0.267645,0.642241,0.234821,0.924227,0.862069,0.437632,0.748285
0.018001,0.107571,1641,2121,1604,2107,2372,2579,2008,2358,2760,1264,3530,2917,1738,3072,,0.706406,0.329633,0.341549,0.455357,0.227302,0.854895,0.206025,0.267645,0.643319,0.234821,0.923230,0.862708,0.437632,0.748285
0.018001,0.125572,1641,2121,1605,2108,2372,2579,2009,2359,2760,1264,3531,2917,1739,3072,,0.706406,0.329633,0.342136,0.456473,0.227302,0.854895,0.206997,0.268344,0.643319,0.234821,0.924227,0.862708,0.438689,0.748285
0.018011,0.143583,1641,2121,1605,2107,2372,2578,2008,2358,2760,1264,3531,2917,1739,3072,,0.706406,0.329633,0.342136,0.455357,0.227302,0.854312,0.206025,0.267645,0.643319,0.234821,0.924227,0.862708,0.438689,0.748285
0.017991,0.161574,1640,2120,1605,2109,2372,2577,2008,2357,2759,1264,3531,2917,1739,3072,,0.705813,0.328779,0.342136,0.457589,0.227302,0.853730,0.206025,0.266946,0.642241,0.234821,0.924227,0.862708,0.438689,0.748285
0.018001,0.179575,1641,2121,1606,2109,2372,2578,2009,2357,2760,1264,3531,2917,1738,3072,,0.706406,0.329633,0.342723,0.457589,0.227302,0.854312,0.206997,0.266946,0.643319,0.234821,0.924227,0.862708,0.437632,0.748285
0.018001,0.197575,1640,2120,1606,2108,2372,2578,2008,2357,2761,1264,3531,2917,1738,3072,,0.705813,0.328779,0.342723,0.456473,0.227302,0.854312,0.206025,0.266946,0.644397,0.234821,0.924227,0.862708,0.437632,0.748285
0.018002,0.215577,1641,2119,1606,2108,2372,2578,2008,2358,2760,1263,3531,2917,1738,3071,,0.706406,0.327925,0.342723,0.456473,0.227302,0.854312,0.206025,0.267645,0.643319,0.233929,0.924227,0.862708,0.437632,0.747599
0.018010,0.233588,1640,2119,1606,2108,2372,2578,2007,2357,2762,1264,3531,2917,1738,3072,,0.705813,0.327925,0.342723,0.456473,0.227302,0.854312,0.205053,0.266946,0.645474,0.234821,0.924227,0.862708,0.437632,0.748285
0.017971,0.251558,1639,2119,1606,2109,2373,2577,2008,2356,2762,1264,3531,2916,1738,3071,,0.705219,0.327925,0.342723,0.457589,0.227946,0.853730,0.206025,0.266247,0.645474,0.234821,0.924227,0.862069,0.437632,0.747599
0.018023,0.269581,1642,2119,1606,2109,2373,2577,2008,2357,2762,1265,3530,2917,1738,3072,,0.706999,0.327925,0.342723,0.457589,0.227946,0.853730,0.206025,0.266946,0.645474,0.235714,0.923230,0.862708,0.437632,0.748285
0.018000,0.287581,1641,2118,1606,2109,2372,2577,2008,2356,2762,1264,3531,2917,1738,3072,,0.706406,0.327071,0.342723,0.457589,0.227302,0.853730,0.206025,0.266247,0.645474,0.234821,0.924227,0.862708,0.437632,0.748285
0.018001,0.305582,1640,2119,1605,2108,2372,2577,2008,2356,2762,1264,3531,2917,1738,3071,,0.705813,0.327925,0.342136,0.456473,0.227302,0.853730,0.206025,0.266247,0.645474,0.234821,0.924227,0.862708,0.437632,0.747599
0.017991,0.323573,1640,2119,1606,2109,2373,2578,2007,2356,2761,1265,3530,2917,1739,3071,,0.705813,0.327925,0.342723,0.457589,0.227946,0.854312,0.205053,0.266247,0.644397,0.235714,0.923230,0.862708,0.438689,0.747599
0.018010,0.341583,1640,2119,1606,2109,2373,2578,2007,2356,2761,1265,3530,2917,1739,3071,,0.705813,0.327925,0.342723,0.457589,0.227946,0.854312,0.205053,0.266247,0.644397,0.235714,0.923230,0.862708,0.438689,0.747599
0.018002,0.359585,1640,2119,1605,2110,2373,2578,2007,2356,2760,1265,3531,2917,1739,3071,,0.705813,0.327925,0.342136,0.458705,0.227946,0.854312,0.205053,0.266247,0.643319,0.235714,0.924227,0.862708,0.438689,0.747599
0.018000,0.377585,1641,2121,1605,2109,2373,2578,2007,2357,2759,1265,3531,2918,1739,3072,,0.706406,0.329633,0.342136,0.457589,0.227946,0.854312,0.205053,0.266946,0.642241,0.235714,0.924227,0.863346,0.438689,0.748285
0.018001,0.395586,1641,2121,1605,2108,2372,2578,2007,2358,2758,1266,3531,2918,1740,3072,,0.706406,0.329633,0.342136,0.456473,0.227302,0.854312,0.205053,0.267645,0.641164,0.236607,0.924227,0.863346,0.439746,0.748285
0.018021,0.413607,1642,2121,1604,2108,2373,2578,2007,2358,2759,1266,3529,2918,1739,3072,,0.706999,0.329633,0.341549,0.456473,0.227946,0.854312,0.205053,0.267645,0.642241,0.236607,0.922233,0.863346,0.438689,0.748285
0.017983,0.431590,1642,2121,1604,2110,2373,2577,2007,2356,2760,1266,3529,2918,1740,3071,,0.706999,0.329633,0.341549,0.458705,0.227946,0.853730,0.205053,0.266247,0.643319,0.236607,0.922233,0.863346,0.439746,0.747599
0.017977,0.449567,1641,2121,1605,2110,2373,2576,2007,2356,2761,1266,3529,2918,1740,3071,,0.706406,0.329633,0.342136,0.458705,0.227946,0.853147,0.205053,0.266247,0.644397,0.236607,0.922233,0.863346,0.439746,0.747599
0.018026,0.467593,1641,2120,1605,2111,2373,2576,2007,2356,2762,1265,3529,2917,1740,3069,,0.706406,0.328779,0.342136,0.459821,0.227946,0.853147,0.205053,0.266247,0.645474,0.235714,0.922233,0.862708,0.439746,0.746228
0.018000,0.485593,1641,2119,1606,2109,2372,2576,2007,2355,2762,1265,3529,2918,1739,3069,,0.706406,0.327925,0.342723,0.457589,0.227302,0.853147,0.205053,0.265549,0.645474,0.235714,0.922233,0.863346,0.438689,0.746228
0.018005,0.503598,1641,2119,1606,2110,2373,2577,2008,2357,2761,1265,3529,2918,1739,3070,,0.706406,0.327925,0.342723,0.458705,0.227946,0.853730,0.206025,0.266946,0.644397,0.235714,0.922233,0.863346,0.438689,0.746914
0.017996,0.521594,1641,2120,1605,2111,2373,2577,2007,2356,2762,1265,3528,2918,1739,3070,,0.706406,0.328779,0.342136,0.459821,0.227946,0.853730,0.205053,0.266247,0.645474,0.235714,0.921236,0.863346,0.438689,0.746914
0.017998,0.539593,1640,2118,1603,2110,2372,2575,2007,2356,2762,1264,3527,2917,1740,3068,,0.705813,0.327071,0.340962,0.458705,0.227302,0.852564,0.205053,0.266247,0.645474,0.234821,0.920239,0.862708,0.439746,0.745542
0.018003,0.557596,1640,2118,1603,2110,2372,2575,2007,2356,2762,1264,3527,2917,1740,3068,,0.705813,0.327071,0.340962,0.458705,0.227302,0.852564,0.205053,0.266247,0.645474,0.234821,0.920239,0.862708,0.439746,0.745542
0.017999,0.575595,1640,2117,1604,2110,2372,2576,2006,2356,2762,1264,3527,2917,1739,3067,,0.705813,0.326217,0.341549,0.458705,0.227302,0.853147,0.204082,0.266247,0.645474,0.234821,0.920239,0.862708,0.438689,0.744856
0.018011,0.593606,1640,2117,1605,2110,2372,2575,2006,2355,2761,1264,3527,2918,1738,3068,,0.705813,0.326217,0.342136,0.458705,0.227302,0.852564,0.204082,0.265549,0.644397,0.234821,0.920239,0.863346,0.437632,0.745542
0.018001,0.611607,1639,2117,1605,2110,2372,2575,2006,2355,2763,1264,3528,2917,1738,3067,,0.705813,0.327071,0.341549,0.458705,0.227946,0.852564,0.204082,0.264850,0.644397,0.234821,0.921236,0.862708,0.437632,0.744856
0.017994,0.629601,1640,2118,1604,2110,2373,2575,2006,2354,2761,1264,3528,2917,1738,3067,,0.705813,0.327071,0.341549,0.458705,0.227946,0.852564,0.204082,0.264850,0.644397,0.234821,0.921236,0.862708,0.437632,0.744856
0.017997,0.647598,1641,2117,1602,2110,2373,2575,2006,2354,2762,1264,3527,2917,1738,3067,,0.706406,0.326217,0.340376,0.458705,0.227946,0.852564,0.204082,0.264850,0.645474,0.234821,0.920239,0.862708,0.437632,0.744856
0.018003,0.665601,1641,2117,1603,2111,2372,2574,2006,2355,2762,1264,3527,2917,1738,3066,,0.706406,0.326217,0.340962,0.459821,0.227302,0.851981,0.204082,0.265549,0.645474,0.234821,0.920239,0.862708,0.437632,0.744170
0.018011,0.683612,1640,2116,1602,2110,2373,2575,2006,2355,2762,1264,3527,2918,1738,3067,,0.705813,0.325363,0.340376,0.458705,0.227946,0.852564,0.204082,0.265549,0.645474,0.234821,0.920239,0.863346,0.437632,0.744856
0.017991,0.701604,1640,2116,1603,2111,2373,2575,2006,2355,2762,1264,3527,2917,1738,3066,,0.705813,0.325363,0.340962,0.459821,0.227946,0.852564,0.204082,0.265549,0.645474,0.234821,0.920239,0.862708,0.437632,0.744170
0.018008,0.719612,1640,2115,1604,2111,2372,2574,2005,2354,2762,1263,3526,2916,1738,3066,,0.705813,0.324509,0.341549,0.459821,0.227302,0.851981,0.203110,0.264850,0.645474,0.233929,0.919242,0.862069,0.437632,0.744170
0.017991,0.737603,1641,2117,1603,2110,2373,2575,2005,2354,2762,1264,3527,2917,1738,3066,,0.706406,0.326217,0.340962,0.458705,0.227946,0.852564,0.203110,0.264850,0.645474,0.234821,0.920239,0.862708,0.437632,0.744170
0.018000,0.755603,1640,2116,1603,2109,2373,2575,2005,2355,2761,1263,3527,2918,1737,3067,,0.705813,0.325363,0.340962,0.457589,0.227946,0.852564,0.203110,0.265549,0.644397,0.233929,0.920239,0.863346,0.436575,0.744856
0.018011,0.773615,1640,2116,1603,2109,2373,2575,2005,2355,2761,1263,3527,2918,1737,3067,,0.705813,0.325363,0.340962,0.457589,0.227946,0.852564,0.203110,0.265549,0.644397,0.233929,0.920239,0.863346,0.436575,0.744856
0.018018,0.791632,1641,2116,1602,2109,2373,2575,2005,2354,2762,1263,3527,2917,1738,3067,,0.706406,0.325363,0.340376,0.457589,0.227946,0.852564,0.203110,0.264850,0.645474,0.233929,0.920239,0.862708,0.437632,0.744856
0.017953,0.809586,1641,2116,1602,2109,2373,2575,2005,2354,2762,1263,3527,2917,1738,3067,,0.706406,0.325363,0.340376,0.457589,0.227946,0.852564,0.203110,0.264850,0.645474,0.233929,0.920239,0.862708,0.437632,0.744856
0.018021,0.827607,1640,2115,1600,2109,2373,2575,2005,2354,2761,1263,3526,2917,1737,3066,,0.705813,0.324509,0.339202,0.457589,0.227946,0.852564,0.203110,0.264850,0.644397,0.233929,0.919242,0.862708,0.436575,0.744170
