GloveManager recording started on 10/20/16 at 17:15:12

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017202,0.017202,1701,2218,1350,2166,2345,2535,2034,2351,2709,1365,3547,2985,1847,3159,,0.741993,0.412468,0.192488,0.521205,0.209916,0.829254,0.231293,0.262753,0.588362,0.325000,0.940179,0.906130,0.552854,0.807956
0.018002,0.035204,1700,2218,1351,2166,2345,2534,2034,2350,2709,1365,3549,2985,1847,3159,,0.741400,0.412468,0.193075,0.521205,0.209916,0.828671,0.231293,0.262055,0.588362,0.325000,0.942173,0.906130,0.552854,0.807956
0.018002,0.053206,1701,2219,1351,2166,2345,2534,2034,2350,2709,1365,3547,2986,1847,3159,,0.741993,0.413322,0.193075,0.521205,0.209916,0.828671,0.231293,0.262055,0.588362,0.325000,0.940179,0.906769,0.552854,0.807956
0.018011,0.071217,1701,2218,1351,2167,2344,2534,2035,2350,2710,1366,3546,2986,1848,3158,,0.741400,0.410760,0.193075,0.521205,0.209916,0.828671,0.232264,0.262055,0.589440,0.325893,0.939182,0.906769,0.553911,0.807270
0.017995,0.089212,1700,2215,1353,2166,2344,2533,2036,2350,2710,1365,3547,2986,1846,3158,,0.741400,0.409906,0.194249,0.521205,0.209272,0.828089,0.233236,0.262055,0.589440,0.325000,0.940179,0.906769,0.551797,0.807270
0.018013,0.107225,1700,2215,1353,2166,2344,2533,2036,2350,2710,1365,3547,2986,1846,3158,,0.741400,0.409906,0.194249,0.521205,0.209272,0.828089,0.233236,0.262055,0.589440,0.325000,0.940179,0.906769,0.551797,0.807270
0.018015,0.125240,1699,2213,1354,2165,2344,2534,2035,2350,2710,1364,3547,2986,1845,3158,,0.740807,0.408198,0.194836,0.520089,0.209272,0.828671,0.232264,0.262055,0.589440,0.324107,0.940179,0.906769,0.550740,0.807270
0.018001,0.143241,1700,2212,1356,2165,2345,2533,2035,2349,2711,1365,3547,2986,1845,3158,,0.741400,0.407344,0.196009,0.520089,0.209916,0.828089,0.232264,0.261356,0.590517,0.325000,0.940179,0.906769,0.550740,0.807270
0.017947,0.161188,1699,2211,1355,2165,2344,2533,2035,2349,2712,1366,3546,2985,1846,3158,,0.740807,0.406490,0.195423,0.520089,0.209272,0.828089,0.232264,0.261356,0.591595,0.325893,0.939182,0.906130,0.551797,0.807270
0.018051,0.179239,1699,2212,1354,2165,2345,2534,2036,2349,2712,1367,3546,2986,1846,3158,,0.740807,0.407344,0.194836,0.520089,0.209916,0.828671,0.233236,0.261356,0.591595,0.326786,0.939182,0.906769,0.551797,0.807270
0.017998,0.197237,1699,2212,1354,2164,2343,2534,2035,2349,2711,1367,3546,2986,1845,3158,,0.740807,0.407344,0.194836,0.518973,0.208628,0.828671,0.232264,0.261356,0.590517,0.326786,0.940179,0.906769,0.550740,0.807270
0.017953,0.215190,1698,2211,1355,2165,2343,2533,2035,2349,2711,1367,3547,2986,1845,3158,,0.740214,0.406490,0.195423,0.520089,0.208628,0.828089,0.232264,0.261356,0.590517,0.326786,0.940179,0.906769,0.550740,0.807270
0.018092,0.233282,1699,2211,1362,2164,2342,2534,2034,2349,2711,1367,3548,2987,1845,3160,,0.740807,0.406490,0.199531,0.518973,0.207985,0.828671,0.231293,0.261356,0.590517,0.326786,0.941176,0.907407,0.550740,0.808642
0.017957,0.251239,1699,2211,1363,2164,2342,2535,2035,2349,2711,1368,3547,2987,1845,3159,,0.740807,0.406490,0.200117,0.518973,0.207985,0.829254,0.232264,0.261356,0.590517,0.327679,0.940179,0.907407,0.550740,0.807956
0.018008,0.269247,1699,2210,1362,2163,2342,2536,2035,2350,2710,1369,3547,2987,1844,3160,,0.740807,0.405636,0.199531,0.517857,0.207985,0.829837,0.232264,0.262055,0.589440,0.328571,0.940179,0.907407,0.549683,0.808642
0.017998,0.287245,1699,2211,1361,2162,2341,2536,2033,2349,2710,1370,3546,2987,1845,3159,,0.740807,0.406490,0.198944,0.516741,0.207341,0.829837,0.230321,0.261356,0.589440,0.329464,0.939182,0.907407,0.550740,0.807956
0.017973,0.305218,1698,2211,1360,2163,2340,2536,2034,2349,2710,1371,3548,2989,1844,3160,,0.740214,0.406490,0.198357,0.517857,0.206697,0.829837,0.231293,0.261356,0.589440,0.330357,0.941176,0.908685,0.549683,0.808642
