GloveManager recording started on 10/20/16 at 17:15:38

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017493,0.017493,1704,2221,1331,2152,2337,2590,2015,2332,2722,1314,3494,2969,1799,3114,,0.743772,0.415030,0.181338,0.505580,0.204765,0.861305,0.212828,0.249476,0.602371,0.279464,0.887338,0.895913,0.502114,0.777092
0.018004,0.035497,1704,2221,1334,2152,2336,2590,2014,2332,2721,1315,3495,2969,1798,3114,,0.743772,0.415030,0.183099,0.505580,0.204121,0.861305,0.211856,0.249476,0.601293,0.280357,0.888335,0.895913,0.501057,0.777092
0.018001,0.053498,1704,2220,1334,2152,2335,2590,2013,2332,2721,1315,3496,2971,1798,3116,,0.743772,0.414176,0.183099,0.505580,0.203477,0.861305,0.210884,0.249476,0.601293,0.280357,0.889332,0.897190,0.501057,0.778464
0.018003,0.071500,1703,2220,1334,2153,2336,2590,2014,2332,2721,1317,3495,2971,1799,3117,,0.743179,0.414176,0.183099,0.506696,0.204121,0.861305,0.211856,0.249476,0.601293,0.282143,0.888335,0.897190,0.502114,0.779150
0.018002,0.089502,1704,2221,1335,2153,2335,2590,2014,2331,2722,1317,3494,2972,1799,3117,,0.743772,0.415030,0.183685,0.506696,0.203477,0.861305,0.211856,0.248777,0.602371,0.282143,0.887338,0.897829,0.502114,0.779150
0.017998,0.107500,1703,2222,1336,2154,2335,2590,2014,2331,2721,1318,3493,2972,1799,3117,,0.743179,0.415884,0.184272,0.507813,0.203477,0.861305,0.211856,0.248777,0.601293,0.283036,0.886341,0.897829,0.502114,0.779150
0.018000,0.125500,1703,2222,1340,2153,2334,2590,2014,2330,2721,1319,3493,2974,1797,3117,,0.743179,0.415884,0.186620,0.506696,0.202833,0.861305,0.211856,0.248078,0.601293,0.283929,0.886341,0.899106,0.500000,0.779150
0.018002,0.143503,1704,2221,1340,2153,2333,2590,2013,2330,2721,1318,3494,2973,1798,3118,,0.743772,0.415030,0.186620,0.506696,0.202189,0.861305,0.210884,0.248078,0.601293,0.283036,0.887338,0.898467,0.501057,0.779835
0.018023,0.161526,1703,2221,1341,2154,2334,2590,2013,2330,2722,1319,3493,2973,1797,3116,,0.743179,0.415030,0.187207,0.507813,0.202833,0.861305,0.210884,0.248078,0.602371,0.283929,0.886341,0.898467,0.500000,0.778464
0.017984,0.179510,1703,2222,1343,2155,2334,2590,2013,2330,2721,1318,3492,2973,1798,3117,,0.743179,0.415884,0.188380,0.508929,0.202833,0.861305,0.210884,0.248078,0.601293,0.283036,0.885344,0.898467,0.501057,0.779150
0.018022,0.197532,1703,2222,1344,2155,2334,2590,2013,2329,2720,1320,3493,2973,1799,3117,,0.743179,0.415884,0.188967,0.508929,0.202833,0.861305,0.210884,0.247379,0.600215,0.284821,0.886341,0.898467,0.502114,0.779150
0.017995,0.215527,1703,2222,1345,2155,2332,2591,2013,2331,2719,1319,3495,2974,1798,3118,,0.743179,0.415884,0.189554,0.508929,0.201545,0.861888,0.210884,0.248777,0.599138,0.283929,0.888335,0.899106,0.501057,0.779835
0.017998,0.233526,1703,2222,1345,2155,2332,2591,2013,2331,2719,1319,3495,2974,1798,3118,,0.743179,0.415884,0.189554,0.508929,0.201545,0.861888,0.210884,0.248777,0.599138,0.283929,0.888335,0.899106,0.501057,0.779835
0.018002,0.251528,1703,2221,1349,2153,2331,2591,2012,2329,2720,1321,3495,2974,1796,3120,,0.743179,0.415030,0.191901,0.506696,0.200901,0.861888,0.209913,0.247379,0.600215,0.285714,0.888335,0.899106,0.498943,0.781207
0.018000,0.269528,1703,2221,1349,2153,2331,2591,2012,2329,2720,1321,3495,2974,1796,3120,,0.743179,0.415030,0.191901,0.506696,0.200901,0.861888,0.209913,0.247379,0.600215,0.285714,0.888335,0.899106,0.498943,0.781207
0.018033,0.287561,1702,2222,1351,2153,2328,2590,2011,2329,2718,1321,3495,2975,1794,3122,,0.742586,0.415884,0.193075,0.506696,0.198970,0.861305,0.208941,0.247379,0.598060,0.285714,0.888335,0.899745,0.496829,0.782579
0.017971,0.305533,1703,2222,1352,2151,2327,2590,2010,2329,2717,1321,3497,2975,1793,3123,,0.743179,0.415884,0.193662,0.504464,0.198326,0.861305,0.207969,0.247379,0.596983,0.285714,0.890329,0.899745,0.495772,0.783265
0.018006,0.323538,1703,2222,1353,2150,2326,2591,2010,2329,2717,1322,3497,2976,1792,3125,,0.743179,0.415884,0.194249,0.503348,0.197682,0.861888,0.207969,0.247379,0.596983,0.286607,0.890329,0.900383,0.494715,0.784636
0.017949,0.341488,1703,2223,1356,2152,2326,2590,2010,2327,2718,1322,3497,2976,1793,3125,,0.743179,0.416738,0.196009,0.505580,0.197682,0.861305,0.207969,0.245982,0.598060,0.286607,0.890329,0.900383,0.495772,0.784636
0.018071,0.359559,1703,2224,1358,2156,2325,2587,2009,2324,2719,1323,3495,2977,1793,3125,,0.743179,0.417592,0.197183,0.510045,0.197038,0.859557,0.206997,0.243885,0.599138,0.287500,0.888335,0.901022,0.495772,0.784636
