GloveManager recording started on 10/20/16 at 17:17:03

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017236,0.017236,1698,2186,1568,2157,2376,2611,2003,2404,2680,1329,3538,2983,1770,3159,,0.740214,0.385141,0.320423,0.511161,0.229878,0.873543,0.201166,0.299790,0.557112,0.292857,0.931206,0.904853,0.471459,0.807956
0.017999,0.035235,1697,2186,1571,2159,2376,2610,2003,2403,2682,1328,3540,2982,1770,3159,,0.739620,0.385141,0.322183,0.513393,0.229878,0.872960,0.201166,0.299092,0.559267,0.291964,0.933200,0.904215,0.471459,0.807956
0.017990,0.053225,1697,2185,1572,2159,2375,2610,2003,2402,2681,1327,3540,2982,1768,3158,,0.739620,0.384287,0.322770,0.513393,0.229234,0.872960,0.201166,0.298393,0.558190,0.291071,0.933200,0.904215,0.469345,0.807270
0.018017,0.071242,1696,2184,1572,2160,2375,2609,2003,2402,2682,1328,3539,2983,1769,3158,,0.739027,0.383433,0.322770,0.514509,0.229234,0.872378,0.201166,0.298393,0.559267,0.291964,0.932203,0.904853,0.470402,0.807270
0.018006,0.089248,1697,2184,1573,2163,2376,2609,2004,2401,2683,1329,3539,2982,1770,3159,,0.739620,0.383433,0.323357,0.517857,0.229878,0.872378,0.202138,0.297694,0.560345,0.292857,0.932203,0.904215,0.471459,0.807956
0.017971,0.107219,1696,2186,1575,2165,2375,2608,2005,2401,2682,1330,3539,2982,1771,3159,,0.739027,0.385141,0.324531,0.520089,0.229234,0.871795,0.203110,0.297694,0.559267,0.293750,0.932203,0.904215,0.472516,0.807956
0.018032,0.125251,1697,2187,1575,2164,2375,2608,2005,2401,2682,1330,3539,2983,1771,3158,,0.739620,0.385995,0.324531,0.518973,0.229234,0.871795,0.203110,0.297694,0.559267,0.293750,0.932203,0.904853,0.472516,0.807270
0.018004,0.143255,1696,2186,1575,2164,2376,2608,2004,2400,2683,1330,3539,2982,1771,3159,,0.739027,0.385141,0.324531,0.518973,0.229878,0.871795,0.202138,0.296995,0.560345,0.293750,0.932203,0.904215,0.472516,0.807956
0.017972,0.161227,1696,2186,1575,2164,2376,2607,2004,2400,2683,1328,3538,2982,1771,3157,,0.739027,0.385141,0.324531,0.518973,0.229878,0.871212,0.202138,0.296995,0.560345,0.291964,0.931206,0.904215,0.472516,0.806584
0.018018,0.179244,1696,2186,1575,2166,2376,2606,2004,2400,2682,1329,3538,2982,1772,3158,,0.739027,0.385141,0.324531,0.521205,0.229878,0.870629,0.202138,0.296995,0.559267,0.292857,0.931206,0.904215,0.473573,0.807270
0.018000,0.197244,1696,2187,1575,2166,2376,2607,2005,2399,2682,1328,3538,2981,1772,3157,,0.739027,0.385995,0.324531,0.521205,0.229878,0.871212,0.203110,0.296296,0.559267,0.291964,0.931206,0.903576,0.473573,0.806584
0.018001,0.215246,1696,2187,1575,2166,2376,2606,2004,2400,2682,1329,3538,2981,1771,3157,,0.739027,0.385995,0.324531,0.521205,0.229878,0.870629,0.202138,0.296995,0.559267,0.292857,0.931206,0.903576,0.472516,0.806584
0.018003,0.233249,1695,2187,1574,2169,2375,2605,2004,2400,2684,1328,3538,2982,1771,3157,,0.738434,0.385995,0.323944,0.524554,0.229234,0.870047,0.202138,0.296995,0.561422,0.291964,0.931206,0.904215,0.472516,0.806584
