GloveManager recording started on 10/20/16 at 17:17:18

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017242,0.017242,1702,2252,1300,2092,2337,2622,2005,2410,2706,1248,3532,2939,1771,3208,,0.742586,0.441503,0.163146,0.438616,0.204765,0.879953,0.203110,0.303983,0.585129,0.220536,0.925224,0.876756,0.472516,0.841564
0.018059,0.035301,1703,2255,1298,2092,2338,2622,2005,2409,2706,1249,3534,2939,1770,3213,,0.743179,0.444065,0.161972,0.438616,0.205409,0.879953,0.203110,0.303284,0.585129,0.221429,0.927218,0.876756,0.471459,0.844993
0.017993,0.053294,1702,2256,1296,2091,2339,2620,2005,2409,2707,1247,3535,2938,1769,3214,,0.742586,0.444919,0.160798,0.437500,0.206053,0.878788,0.203110,0.303284,0.586207,0.219643,0.928215,0.876117,0.470402,0.845679
0.018036,0.071331,1701,2256,1297,2091,2337,2618,2001,2408,2706,1246,3537,2939,1768,3221,,0.741993,0.444919,0.161385,0.437500,0.204765,0.877622,0.199223,0.302586,0.585129,0.218750,0.930209,0.876756,0.469345,0.850480
0.017979,0.089309,1701,2256,1297,2091,2337,2618,2001,2408,2706,1246,3537,2939,1768,3221,,0.741993,0.444919,0.161385,0.437500,0.204765,0.877622,0.199223,0.302586,0.585129,0.218750,0.930209,0.876756,0.469345,0.850480
0.017984,0.107293,1696,2248,1305,2091,2335,2619,2002,2407,2707,1245,3539,2939,1766,3224,,0.739027,0.438087,0.166080,0.437500,0.203477,0.878205,0.200194,0.301887,0.586207,0.217857,0.932203,0.876756,0.467230,0.852538
0.018004,0.125297,1694,2245,1312,2091,2336,2618,2001,2406,2707,1246,3539,2938,1766,3224,,0.737841,0.435525,0.170188,0.437500,0.204121,0.877622,0.199223,0.301188,0.586207,0.218750,0.932203,0.876117,0.467230,0.852538
0.018020,0.143317,1693,2242,1320,2091,2336,2618,2000,2407,2707,1245,3540,2938,1766,3223,,0.737248,0.432963,0.174883,0.437500,0.204121,0.877622,0.198251,0.301887,0.586207,0.217857,0.933200,0.876117,0.467230,0.851852
0.017980,0.161297,1691,2239,1326,2091,2336,2619,2000,2407,2707,1245,3539,2937,1766,3220,,0.736062,0.430401,0.178404,0.437500,0.204121,0.878205,0.198251,0.301887,0.586207,0.217857,0.932203,0.875479,0.467230,0.849794
0.018010,0.179307,1690,2236,1331,2090,2336,2618,2000,2407,2708,1245,3540,2937,1764,3220,,0.735469,0.427839,0.181338,0.436384,0.204121,0.877622,0.198251,0.301887,0.587285,0.217857,0.933200,0.875479,0.465116,0.849794
0.017964,0.197271,1688,2232,1343,2090,2334,2617,1998,2407,2709,1244,3540,2937,1765,3219,,0.734282,0.424424,0.188380,0.436384,0.202833,0.877040,0.196307,0.301887,0.588362,0.216964,0.933200,0.875479,0.466173,0.849108
0.018054,0.215325,1688,2232,1343,2090,2334,2617,1998,2407,2709,1244,3540,2937,1765,3219,,0.734282,0.424424,0.188380,0.436384,0.202833,0.877040,0.196307,0.301887,0.588362,0.216964,0.933200,0.875479,0.466173,0.849108
0.017949,0.233274,1685,2226,1353,2091,2333,2618,1998,2406,2710,1243,3539,2935,1764,3215,,0.732503,0.419300,0.194249,0.437500,0.202189,0.877622,0.196307,0.301188,0.589440,0.216071,0.932203,0.874202,0.465116,0.846365
0.018034,0.251309,1683,2223,1357,2091,2332,2618,1998,2407,2711,1242,3539,2934,1764,3210,,0.731317,0.416738,0.196596,0.437500,0.201545,0.877622,0.196307,0.301887,0.590517,0.215179,0.932203,0.873563,0.465116,0.842936
