GloveManager recording started on 10/20/16 at 17:22:14

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017174,0.017174,1713,2296,1143,2430,3240,2470,2303,3163,2974,1504,3506,2919,1764,3246,,0.749110,0.479078,0.071009,0.815848,0.786220,0.791375,0.492711,0.830189,0.873922,0.449107,0.899302,0.863985,0.465116,0.867627
0.018053,0.035227,1716,2299,1141,2430,3238,2469,2306,3164,2974,1504,3506,2920,1765,3249,,0.750890,0.481640,0.069836,0.815848,0.784932,0.790793,0.495627,0.830887,0.873922,0.449107,0.899302,0.864623,0.466173,0.869685
0.018008,0.053236,1719,2302,1142,2431,3237,2467,2311,3166,2973,1504,3507,2921,1765,3249,,0.752669,0.484202,0.070423,0.816964,0.784288,0.789627,0.500486,0.832285,0.872845,0.449107,0.900299,0.865262,0.466173,0.869685
0.017965,0.071201,1722,2305,1142,2433,3234,2462,2319,3168,2972,1503,3507,2922,1767,3253,,0.754448,0.486763,0.070423,0.819196,0.782357,0.786713,0.508260,0.833683,0.871767,0.448214,0.900299,0.865900,0.468288,0.872428
0.017974,0.089175,1722,2305,1142,2433,3234,2462,2319,3168,2972,1503,3507,2922,1767,3253,,0.754448,0.486763,0.070423,0.819196,0.782357,0.786713,0.508260,0.833683,0.871767,0.448214,0.900299,0.865900,0.468288,0.872428
0.018061,0.107236,1724,2307,1142,2433,3230,2458,2328,3170,2971,1502,3507,2924,1767,3257,,0.755635,0.488471,0.070423,0.819196,0.779781,0.784382,0.517007,0.835080,0.870690,0.447321,0.900299,0.867178,0.468288,0.875171
0.017991,0.125227,1726,2307,1143,2435,3227,2456,2332,3169,2970,1502,3507,2925,1767,3259,,0.756821,0.488471,0.071009,0.821429,0.777849,0.783217,0.520894,0.834382,0.869612,0.447321,0.900299,0.867816,0.468288,0.876543
0.018019,0.143246,1728,2308,1143,2435,3226,2454,2337,3169,2970,1502,3507,2925,1767,3261,,0.758007,0.489325,0.071009,0.821429,0.777205,0.782051,0.525753,0.834382,0.869612,0.447321,0.900299,0.867816,0.468288,0.877915
0.017984,0.161230,1730,2309,1145,2436,3226,2453,2341,3169,2970,1503,3506,2926,1767,3262,,0.759193,0.490179,0.072183,0.822545,0.777205,0.781469,0.529640,0.834382,0.869612,0.448214,0.899302,0.868455,0.468288,0.878601
0.018002,0.179232,1732,2310,1146,2437,3223,2451,2346,3168,2969,1503,3508,2927,1767,3263,,0.760380,0.491033,0.072770,0.823661,0.775274,0.780303,0.534500,0.833683,0.868535,0.448214,0.901296,0.869093,0.468288,0.879287
