GloveManager recording started on 10/20/16 at 17:30:36

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017176,0.017176,1653,2213,1101,2518,3286,2426,2497,3136,2877,1442,3448,2990,1712,3312,,0.713523,0.408198,0.046362,0.902977,0.815840,0.765734,0.681244,0.811321,0.769397,0.393750,0.841476,0.909323,0.410148,0.912894
0.018001,0.035178,1653,2213,1101,2518,3287,2426,2497,3135,2877,1442,3449,2989,1711,3313,,0.713523,0.408198,0.046362,0.902977,0.816484,0.765734,0.681244,0.810622,0.769397,0.393750,0.842473,0.908685,0.409091,0.913580
0.018030,0.053208,1653,2213,1100,2518,3287,2426,2497,3135,2878,1443,3448,2990,1712,3314,,0.713523,0.408198,0.045775,0.902977,0.816484,0.765734,0.681244,0.810622,0.770474,0.394643,0.841476,0.909323,0.410148,0.914266
0.017993,0.071201,1653,2213,1101,2519,3286,2426,2497,3136,2878,1442,3449,2989,1712,3314,,0.713523,0.408198,0.046362,0.904079,0.815840,0.765734,0.681244,0.811321,0.770474,0.393750,0.842473,0.908685,0.410148,0.914266
0.018002,0.089202,1652,2213,1100,2518,3287,2425,2497,3135,2876,1441,3448,2990,1712,3314,,0.712930,0.408198,0.045775,0.902977,0.816484,0.765152,0.681244,0.810622,0.768319,0.392857,0.841476,0.909323,0.410148,0.914266
0.017957,0.107160,1653,2213,1100,2519,3286,2426,2498,3136,2877,1442,3448,2990,1712,3315,,0.713523,0.408198,0.045775,0.904079,0.815840,0.765734,0.682216,0.811321,0.769397,0.393750,0.841476,0.909323,0.410148,0.914952
0.018079,0.125238,1653,2213,1100,2519,3286,2426,2498,3136,2877,1442,3448,2990,1712,3315,,0.713523,0.408198,0.045775,0.904079,0.815840,0.765734,0.682216,0.811321,0.769397,0.393750,0.841476,0.909323,0.410148,0.914952
0.017928,0.143166,1653,2213,1099,2519,3286,2426,2498,3136,2877,1443,3449,2990,1711,3316,,0.713523,0.408198,0.045188,0.904079,0.815840,0.765734,0.682216,0.811321,0.769397,0.394643,0.842473,0.909323,0.409091,0.915638
0.018048,0.161215,1654,2213,1100,2520,3287,2426,2499,3136,2877,1442,3449,2990,1712,3317,,0.714116,0.408198,0.045775,0.905182,0.816484,0.765734,0.683188,0.811321,0.769397,0.393750,0.842473,0.909323,0.410148,0.916324
