GloveManager recording started on 10/20/16 at 17:36:35

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017280,0.017280,1689,2229,1130,2461,3267,2498,2280,3077,2963,1351,3442,2946,1705,3051,,0.734875,0.421862,0.063380,0.839207,0.803606,0.807692,0.470360,0.770091,0.862069,0.312500,0.835494,0.715768,0.329585,0.733882
0.017992,0.035271,1689,2229,1130,2461,3267,2498,2280,3077,2963,1351,3442,2946,1705,3051,,0.734875,0.421862,0.063380,0.839207,0.803606,0.807692,0.470360,0.770091,0.862069,0.312500,0.835494,0.715768,0.329585,0.733882
0.018015,0.053287,1689,2230,1131,2461,3267,2498,2281,3077,2964,1351,3442,2947,1704,3051,,0.734875,0.422716,0.063967,0.839207,0.803606,0.807692,0.471331,0.770091,0.863147,0.312500,0.835494,0.716286,0.328720,0.733882
0.017989,0.071275,1690,2231,1130,2461,3267,2497,2281,3076,2963,1351,3441,2947,1704,3052,,0.735469,0.423570,0.063380,0.839207,0.803606,0.807110,0.471331,0.769392,0.862069,0.312500,0.834496,0.716286,0.328720,0.734568
0.018007,0.089282,1690,2232,1132,2461,3267,2498,2282,3076,2962,1351,3442,2948,1704,3053,,0.735469,0.424424,0.064554,0.839207,0.803606,0.807692,0.472303,0.769392,0.860991,0.312500,0.835494,0.716805,0.328720,0.735254
0.017988,0.107270,1689,2231,1131,2461,3267,2498,2282,3076,2963,1352,3441,2947,1704,3052,,0.734875,0.423570,0.063967,0.839207,0.803606,0.807692,0.472303,0.769392,0.862069,0.313393,0.834496,0.716286,0.328720,0.734568
0.017990,0.125260,1690,2231,1131,2462,3267,2498,2281,3076,2963,1351,3441,2946,1704,3052,,0.735469,0.423570,0.063967,0.840308,0.803606,0.807692,0.471331,0.769392,0.862069,0.312500,0.834496,0.715768,0.328720,0.734568
0.018017,0.143277,1689,2231,1132,2461,3266,2497,2281,3076,2963,1350,3441,2947,1704,3052,,0.734875,0.423570,0.064554,0.839207,0.802962,0.807110,0.471331,0.769392,0.862069,0.311607,0.834496,0.716286,0.328720,0.734568
0.018011,0.161288,1689,2231,1132,2461,3266,2497,2281,3076,2963,1350,3441,2947,1704,3052,,0.734875,0.423570,0.064554,0.839207,0.802962,0.807110,0.471331,0.769392,0.862069,0.311607,0.834496,0.716286,0.328720,0.734568
0.017990,0.179278,1690,2231,1131,2461,3266,2498,2281,3076,2964,1352,3441,2948,1704,3053,,0.735469,0.423570,0.063967,0.839207,0.802962,0.807692,0.471331,0.769392,0.863147,0.313393,0.834496,0.716805,0.328720,0.735254
0.017998,0.197276,1691,2232,1132,2462,3267,2498,2282,3076,2964,1352,3442,2948,1706,3053,,0.736062,0.424424,0.064554,0.840308,0.803606,0.807692,0.472303,0.769392,0.863147,0.313393,0.835494,0.716805,0.330450,0.735254
0.017997,0.215274,1690,2233,1131,2461,3266,2498,2282,3076,2963,1351,3442,2948,1704,3053,,0.735469,0.425278,0.063967,0.839207,0.802962,0.807692,0.472303,0.769392,0.862069,0.312500,0.835494,0.716805,0.328720,0.735254
0.018010,0.233283,1690,2233,1131,2461,3266,2498,2282,3076,2963,1351,3442,2948,1704,3053,,0.735469,0.425278,0.063967,0.839207,0.802962,0.807692,0.472303,0.769392,0.862069,0.312500,0.835494,0.716805,0.328720,0.735254
0.017971,0.251254,1691,2233,1131,2461,3267,2498,2281,3077,2964,1351,3442,2948,1704,3053,,0.736062,0.425278,0.063967,0.839207,0.803606,0.807692,0.471331,0.770091,0.863147,0.312500,0.835494,0.716805,0.328720,0.735254
0.018027,0.269281,1691,2233,1132,2461,3266,2498,2281,3077,2964,1351,3442,2947,1704,3053,,0.736062,0.425278,0.064554,0.839207,0.802962,0.807692,0.471331,0.770091,0.863147,0.312500,0.835494,0.716286,0.328720,0.735254
0.018018,0.287299,1692,2233,1132,2461,3268,2497,2280,3078,2964,1351,3442,2947,1704,3053,,0.736655,0.425278,0.064554,0.839207,0.804250,0.807110,0.470360,0.770790,0.863147,0.312500,0.835494,0.716286,0.328720,0.735254
0.017986,0.305285,1691,2233,1132,2461,3267,2498,2281,3078,2963,1352,3442,2946,1704,3053,,0.736062,0.425278,0.064554,0.839207,0.803606,0.807692,0.471331,0.770790,0.862069,0.313393,0.835494,0.715768,0.328720,0.735254
0.018000,0.323285,1691,2233,1132,2461,3268,2498,2282,3077,2963,1351,3442,2948,1704,3054,,0.736062,0.425278,0.064554,0.839207,0.804250,0.807692,0.472303,0.770091,0.862069,0.312500,0.835494,0.716805,0.328720,0.735940
0.017997,0.341282,1692,2235,1134,2462,3267,2498,2282,3077,2963,1351,3443,2948,1705,3054,,0.736655,0.426985,0.065728,0.840308,0.803606,0.807692,0.472303,0.770091,0.862069,0.312500,0.836491,0.716805,0.329585,0.735940
0.017990,0.359272,1693,2235,1133,2462,3268,2498,2283,3077,2963,1352,3442,2948,1705,3055,,0.737248,0.426985,0.065141,0.840308,0.804250,0.807692,0.473275,0.770091,0.862069,0.313393,0.835494,0.716805,0.329585,0.736625
0.018018,0.377290,1693,2235,1133,2462,3268,2498,2283,3077,2963,1352,3442,2948,1705,3055,,0.737248,0.426985,0.065141,0.840308,0.804250,0.807692,0.473275,0.770091,0.862069,0.313393,0.835494,0.716805,0.329585,0.736625
0.018013,0.395303,1692,2235,1132,2462,3268,2498,2282,3077,2962,1352,3442,2948,1704,3055,,0.736655,0.426985,0.064554,0.840308,0.804250,0.807692,0.472303,0.770091,0.860991,0.313393,0.835494,0.716805,0.328720,0.736625
0.017987,0.413290,1693,2236,1132,2462,3268,2498,2282,3077,2963,1353,3443,2947,1705,3055,,0.737248,0.427839,0.064554,0.840308,0.804250,0.807692,0.472303,0.770091,0.862069,0.314286,0.836491,0.716286,0.329585,0.736625
0.018003,0.431294,1692,2236,1131,2462,3268,2498,2282,3078,2963,1352,3442,2947,1704,3055,,0.736655,0.427839,0.063967,0.840308,0.804250,0.807692,0.472303,0.770790,0.862069,0.313393,0.835494,0.716286,0.328720,0.736625
0.018031,0.449325,1693,2236,1131,2462,3268,2498,2282,3078,2963,1351,3443,2947,1704,3054,,0.737248,0.427839,0.063967,0.840308,0.804250,0.807692,0.472303,0.770790,0.862069,0.312500,0.836491,0.716286,0.328720,0.735940
0.017979,0.467304,1692,2236,1132,2462,3268,2498,2282,3078,2964,1352,3443,2947,1705,3053,,0.736655,0.427839,0.064554,0.840308,0.804250,0.807692,0.472303,0.770790,0.863147,0.313393,0.836491,0.716286,0.329585,0.735254
0.017967,0.485271,1693,2235,1132,2462,3268,2498,2281,3078,2963,1352,3442,2947,1704,3051,,0.737248,0.426985,0.064554,0.840308,0.804250,0.807692,0.471331,0.770790,0.862069,0.313393,0.835494,0.716286,0.328720,0.733882
0.017985,0.503255,1693,2234,1131,2462,3268,2498,2283,3078,2963,1352,3443,2947,1704,3050,,0.737248,0.426132,0.063967,0.840308,0.804250,0.807692,0.473275,0.770790,0.862069,0.313393,0.836491,0.716286,0.328720,0.733196
0.018037,0.521292,1693,2235,1131,2462,3269,2499,2283,3078,2963,1353,3442,2947,1705,3049,,0.737248,0.426985,0.063967,0.840308,0.804894,0.808275,0.473275,0.770790,0.862069,0.314286,0.835494,0.716286,0.329585,0.732510
0.017997,0.539289,1693,2235,1130,2462,3269,2499,2283,3078,2963,1354,3442,2946,1705,3047,,0.737248,0.426985,0.063380,0.840308,0.804894,0.808275,0.473275,0.770790,0.862069,0.315179,0.835494,0.715768,0.329585,0.731139
0.018010,0.557299,1695,2236,1130,2461,3270,2500,2284,3078,2963,1355,3441,2947,1705,3045,,0.738434,0.427839,0.063380,0.839207,0.805538,0.808858,0.474247,0.770790,0.862069,0.316071,0.834496,0.716286,0.329585,0.729767
0.018001,0.575301,1697,2238,1130,2462,3270,2500,2285,3077,2963,1355,3441,2946,1704,3043,,0.739620,0.429547,0.063380,0.840308,0.805538,0.808858,0.475219,0.770091,0.862069,0.316071,0.834496,0.715768,0.328720,0.728395
0.017998,0.593298,1698,2240,1129,2462,3271,2501,2286,3078,2963,1357,3440,2945,1706,3043,,0.740214,0.431255,0.062793,0.840308,0.806182,0.809441,0.476190,0.770790,0.862069,0.317857,0.833499,0.715249,0.330450,0.728395
0.017999,0.611297,1698,2240,1129,2462,3271,2501,2286,3078,2963,1357,3440,2945,1706,3043,,0.740214,0.431255,0.062793,0.840308,0.806182,0.809441,0.476190,0.770790,0.862069,0.317857,0.833499,0.715249,0.330450,0.728395
0.017997,0.629294,1700,2245,1128,2463,3272,2501,2290,3081,2963,1358,3442,2944,1707,3050,,0.741400,0.435525,0.062207,0.841410,0.806826,0.809441,0.480078,0.772886,0.862069,0.318750,0.835494,0.714730,0.331315,0.733196
0.018011,0.647305,1700,2245,1128,2463,3272,2501,2290,3081,2963,1358,3442,2944,1707,3050,,0.741400,0.435525,0.062207,0.841410,0.806826,0.809441,0.480078,0.772886,0.862069,0.318750,0.835494,0.714730,0.331315,0.733196
0.017993,0.665298,1703,2250,1126,2464,3273,2504,2295,3088,2964,1362,3443,2944,1709,3053,,0.743179,0.439795,0.061033,0.842511,0.807469,0.811189,0.484937,0.777778,0.863147,0.322321,0.836491,0.714730,0.333045,0.735254
0.018006,0.683304,1704,2252,1123,2464,3272,2505,2297,3091,2964,1363,3444,2942,1711,3051,,0.743772,0.441503,0.059272,0.842511,0.806826,0.811772,0.486880,0.779874,0.863147,0.323214,0.837488,0.713693,0.334775,0.733882
0.017997,0.701302,1705,2254,1119,2464,3271,2508,2300,3092,2964,1366,3443,2941,1711,3047,,0.744365,0.443211,0.056925,0.842511,0.806182,0.813520,0.489796,0.780573,0.863147,0.325893,0.836491,0.713174,0.334775,0.731139
0.017993,0.719295,1708,2256,1112,2465,3269,2511,2303,3092,2965,1370,3442,2939,1711,3042,,0.746145,0.444919,0.052817,0.843612,0.804894,0.815268,0.492711,0.780573,0.864224,0.329464,0.835494,0.712137,0.334775,0.727709
0.018015,0.737310,1715,2260,1098,2462,3262,2520,2307,3088,2966,1379,3439,2938,1712,3027,,0.750297,0.448335,0.044601,0.840308,0.800386,0.820513,0.496599,0.777778,0.865302,0.337500,0.832502,0.711618,0.335640,0.717421
