GloveManager recording started on 10/20/16 at 17:36:54

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017485,0.017485,1764,2237,1322,2616,3360,2437,2605,3148,2865,1565,3445,3008,1676,3261,,0.779359,0.428693,0.176056,0.991351,0.863490,0.772144,0.786200,0.819706,0.756465,0.503571,0.838485,0.747925,0.304498,0.877915
0.018001,0.035486,1764,2237,1321,2615,3359,2437,2605,3149,2865,1565,3446,3008,1677,3262,,0.779359,0.428693,0.175469,0.990270,0.862846,0.772144,0.786200,0.820405,0.756465,0.503571,0.839482,0.747925,0.305363,0.878601
0.018002,0.053488,1765,2237,1321,2616,3360,2437,2605,3149,2865,1565,3445,3008,1676,3261,,0.779953,0.428693,0.175469,0.991351,0.863490,0.772144,0.786200,0.820405,0.756465,0.503571,0.838485,0.747925,0.304498,0.877915
0.018001,0.071489,1765,2237,1321,2615,3361,2437,2605,3149,2864,1565,3445,3008,1676,3262,,0.779953,0.428693,0.175469,0.990270,0.864134,0.772144,0.786200,0.820405,0.755388,0.503571,0.838485,0.747925,0.304498,0.878601
0.018000,0.089490,1765,2237,1321,2616,3360,2437,2605,3149,2865,1566,3446,3008,1676,3262,,0.779953,0.428693,0.175469,0.991351,0.863490,0.772144,0.786200,0.820405,0.756465,0.504464,0.839482,0.747925,0.304498,0.878601
0.018029,0.107518,1765,2238,1322,2616,3361,2437,2605,3149,2865,1565,3445,3007,1675,3262,,0.779953,0.429547,0.176056,0.991351,0.864134,0.772144,0.786200,0.820405,0.756465,0.503571,0.838485,0.747407,0.303633,0.878601
0.017956,0.125474,1764,2238,1322,2616,3361,2437,2605,3150,2865,1566,3445,3007,1675,3262,,0.779359,0.429547,0.176056,0.991351,0.864134,0.772144,0.786200,0.821104,0.756465,0.504464,0.838485,0.747407,0.303633,0.878601
0.018042,0.143516,1766,2237,1323,2617,3361,2437,2606,3150,2865,1565,3445,3008,1675,3262,,0.780546,0.428693,0.176643,0.992432,0.864134,0.772144,0.787172,0.821104,0.756465,0.503571,0.838485,0.747925,0.303633,0.878601
0.018006,0.161522,1766,2237,1323,2617,3361,2437,2606,3150,2865,1565,3445,3008,1675,3262,,0.780546,0.428693,0.176643,0.992432,0.864134,0.772144,0.787172,0.821104,0.756465,0.503571,0.838485,0.747925,0.303633,0.878601
0.017994,0.179516,1765,2238,1322,2616,3361,2437,2606,3150,2865,1564,3444,3007,1674,3262,,0.779953,0.429547,0.176056,0.991351,0.864134,0.772144,0.787172,0.821104,0.756465,0.502679,0.837488,0.747407,0.302768,0.878601
0.017959,0.197475,1766,2237,1321,2616,3361,2437,2606,3151,2865,1565,3445,3007,1675,3262,,0.780546,0.428693,0.175469,0.991351,0.864134,0.772144,0.787172,0.821803,0.756465,0.503571,0.838485,0.747407,0.303633,0.878601
0.018019,0.215495,1766,2237,1322,2617,3362,2437,2606,3151,2865,1566,3446,3007,1675,3262,,0.780546,0.428693,0.176056,0.992432,0.864778,0.772144,0.787172,0.821803,0.756465,0.504464,0.839482,0.747407,0.303633,0.878601
0.017974,0.233469,1765,2237,1321,2616,3361,2436,2606,3150,2864,1566,3444,3008,1674,3262,,0.779953,0.428693,0.175469,0.991351,0.864134,0.771562,0.787172,0.821104,0.755388,0.504464,0.837488,0.747925,0.302768,0.878601
0.018030,0.251499,1765,2238,1322,2616,3361,2437,2607,3152,2865,1566,3445,3007,1675,3263,,0.779953,0.429547,0.176056,0.991351,0.864134,0.772144,0.788144,0.822502,0.756465,0.504464,0.838485,0.747407,0.303633,0.879287
0.018034,0.269532,1766,2237,1322,2616,3363,2437,2608,3151,2864,1567,3444,3007,1675,3263,,0.780546,0.428693,0.176056,0.991351,0.865422,0.772144,0.789116,0.821803,0.755388,0.505357,0.837488,0.747407,0.303633,0.879287
0.017993,0.287525,1766,2237,1322,2616,3363,2437,2608,3151,2864,1567,3444,3007,1675,3263,,0.780546,0.428693,0.176056,0.991351,0.865422,0.772144,0.789116,0.821803,0.755388,0.505357,0.837488,0.747407,0.303633,0.879287
0.018005,0.305530,1766,2238,1322,2617,3361,2437,2607,3152,2864,1565,3444,3008,1673,3263,,0.780546,0.429547,0.176056,0.992432,0.864134,0.772144,0.788144,0.822502,0.755388,0.503571,0.837488,0.747925,0.301903,0.879287
0.017983,0.323513,1766,2238,1321,2616,3361,2437,2608,3152,2864,1566,3445,3007,1673,3263,,0.780546,0.429547,0.175469,0.991351,0.864134,0.772144,0.789116,0.822502,0.755388,0.504464,0.838485,0.747407,0.301903,0.879287
0.018017,0.341530,1766,2238,1321,2617,3362,2437,2608,3151,2864,1566,3445,3006,1673,3264,,0.780546,0.429547,0.175469,0.992432,0.864778,0.772144,0.789116,0.821803,0.755388,0.504464,0.838485,0.746888,0.301903,0.879973
0.017998,0.359528,1765,2237,1320,2617,3362,2437,2608,3153,2863,1567,3445,3007,1671,3264,,0.779953,0.428693,0.174883,0.992432,0.864778,0.772144,0.789116,0.823201,0.754310,0.505357,0.838485,0.747407,0.300173,0.879973
0.018003,0.377531,1766,2238,1321,2618,3362,2437,2610,3154,2864,1568,3445,3007,1672,3265,,0.780546,0.429547,0.175469,0.993514,0.864778,0.772144,0.791059,0.823899,0.755388,0.506250,0.838485,0.747407,0.301038,0.880658
0.018026,0.395557,1766,2238,1321,2618,3362,2437,2610,3154,2864,1568,3445,3007,1672,3265,,0.780546,0.429547,0.175469,0.993514,0.864778,0.772144,0.791059,0.823899,0.755388,0.506250,0.838485,0.747407,0.301038,0.880658
