GloveManager recording started on 10/20/16 at 17:37:21

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017462,0.017461,1864,2359,1185,2525,3298,2433,2507,3135,2883,1481,3475,2953,1729,3313,,0.838671,0.532878,0.095657,0.892973,0.823567,0.769814,0.690962,0.810622,0.775862,0.428571,0.868395,0.719398,0.350346,0.913580
0.018022,0.035483,1863,2358,1185,2525,3298,2433,2508,3134,2883,1481,3474,2954,1730,3313,,0.838078,0.532024,0.095657,0.892973,0.823567,0.769814,0.691934,0.809923,0.775862,0.428571,0.867398,0.719917,0.351211,0.913580
0.018001,0.053484,1864,2357,1187,2525,3298,2433,2508,3134,2883,1481,3475,2953,1729,3313,,0.838671,0.531170,0.096831,0.892973,0.823567,0.769814,0.691934,0.809923,0.775862,0.428571,0.868395,0.719398,0.350346,0.913580
0.018007,0.071491,1864,2357,1187,2525,3298,2433,2508,3134,2883,1481,3475,2953,1729,3313,,0.838671,0.531170,0.096831,0.892973,0.823567,0.769814,0.691934,0.809923,0.775862,0.428571,0.868395,0.719398,0.350346,0.913580
0.017997,0.089488,1864,2358,1189,2527,3297,2433,2512,3134,2882,1482,3474,2954,1730,3314,,0.838671,0.532024,0.098005,0.895135,0.822923,0.769814,0.695821,0.809923,0.774785,0.429464,0.867398,0.719917,0.351211,0.914266
0.017998,0.107487,1865,2358,1189,2529,3299,2433,2514,3135,2881,1484,3474,2953,1731,3314,,0.839265,0.532024,0.098005,0.897297,0.824211,0.769814,0.697765,0.810622,0.773707,0.431250,0.867398,0.719398,0.352076,0.914266
0.018005,0.125492,1865,2359,1189,2530,3300,2434,2517,3136,2881,1485,3475,2954,1733,3314,,0.839265,0.532878,0.098005,0.898378,0.824855,0.770396,0.700680,0.811321,0.773707,0.432143,0.868395,0.719917,0.353806,0.914266
0.018022,0.143514,1866,2360,1191,2531,3300,2433,2519,3136,2881,1486,3475,2954,1731,3314,,0.839858,0.533732,0.099178,0.899459,0.824855,0.769814,0.702624,0.811321,0.773707,0.433036,0.868395,0.719917,0.352076,0.914266
0.018004,0.161518,1866,2360,1190,2532,3300,2433,2520,3137,2881,1488,3475,2954,1731,3314,,0.839858,0.533732,0.098592,0.900541,0.824855,0.769814,0.703596,0.812020,0.773707,0.434821,0.868395,0.719917,0.352076,0.914266
0.018011,0.179529,1867,2360,1190,2533,3300,2433,2520,3136,2881,1489,3474,2954,1731,3314,,0.840451,0.533732,0.098592,0.901622,0.824855,0.769814,0.703596,0.811321,0.773707,0.435714,0.867398,0.719917,0.352076,0.914266
0.017987,0.197516,1867,2361,1189,2532,3299,2433,2521,3137,2881,1489,3476,2954,1732,3315,,0.840451,0.534586,0.098005,0.900541,0.824211,0.769814,0.704568,0.812020,0.773707,0.435714,0.869392,0.719917,0.352941,0.914952
0.018001,0.215517,1868,2362,1188,2532,3299,2434,2525,3137,2879,1493,3477,2954,1732,3315,,0.841044,0.535440,0.097418,0.900541,0.824211,0.770396,0.708455,0.812020,0.771552,0.439286,0.870389,0.719917,0.352941,0.914952
0.018015,0.233532,1868,2363,1189,2532,3299,2433,2527,3138,2879,1493,3477,2954,1732,3316,,0.841044,0.536294,0.098005,0.900541,0.824211,0.769814,0.710398,0.812718,0.771552,0.439286,0.870389,0.719917,0.352941,0.915638
0.017990,0.251522,1870,2362,1188,2531,3300,2434,2529,3140,2878,1495,3477,2954,1733,3316,,0.842230,0.535440,0.097418,0.899459,0.824855,0.770396,0.712342,0.814116,0.770474,0.441071,0.870389,0.719917,0.353806,0.915638
0.017973,0.269495,1872,2362,1189,2531,3299,2433,2531,3139,2879,1495,3478,2954,1733,3316,,0.843416,0.535440,0.098005,0.899459,0.824211,0.769814,0.714286,0.813417,0.771552,0.441071,0.871386,0.719917,0.353806,0.915638
