GloveManager recording started on 10/20/16 at 17:38:33

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017550,0.017550,1779,2324,1710,2548,3252,2060,2707,3070,2857,1678,3403,3008,1736,3218,,0.788256,0.502989,0.403756,0.917838,0.793947,0.552448,0.885326,0.765199,0.747845,0.604464,0.796610,0.747925,0.356401,0.848422
0.017977,0.035527,1781,2325,1713,2549,3253,2061,2709,3070,2858,1679,3404,3008,1735,3218,,0.789442,0.503843,0.405516,0.918919,0.794591,0.553030,0.887269,0.765199,0.748922,0.605357,0.797607,0.747925,0.355536,0.848422
0.017968,0.053495,1781,2325,1713,2549,3253,2061,2709,3070,2858,1679,3404,3008,1735,3218,,0.789442,0.503843,0.405516,0.918919,0.794591,0.553030,0.887269,0.765199,0.748922,0.605357,0.797607,0.747925,0.355536,0.848422
0.018031,0.071526,1781,2325,1715,2549,3254,2061,2708,3070,2859,1680,3404,3008,1733,3220,,0.789442,0.503843,0.406690,0.918919,0.795235,0.553030,0.886297,0.765199,0.750000,0.606250,0.797607,0.747925,0.353806,0.849794
0.018003,0.089528,1780,2324,1715,2549,3254,2061,2709,3069,2858,1680,3404,3007,1732,3220,,0.788849,0.502989,0.406690,0.918919,0.795235,0.553030,0.887269,0.764500,0.748922,0.606250,0.797607,0.747407,0.352941,0.849794
0.017996,0.107525,1781,2324,1717,2550,3254,2062,2709,3070,2859,1681,3404,3007,1731,3221,,0.789442,0.502989,0.407864,0.920000,0.795235,0.553613,0.887269,0.765199,0.750000,0.607143,0.797607,0.747407,0.352076,0.850480
0.018009,0.125534,1781,2324,1719,2550,3255,2063,2710,3069,2859,1680,3404,3007,1730,3221,,0.789442,0.502989,0.409038,0.920000,0.795879,0.554196,0.888241,0.764500,0.750000,0.606250,0.797607,0.747407,0.351211,0.850480
0.017993,0.143527,1782,2324,1719,2550,3256,2063,2709,3069,2859,1681,3404,3007,1731,3221,,0.790036,0.502989,0.409038,0.920000,0.796523,0.554196,0.887269,0.764500,0.750000,0.607143,0.797607,0.747407,0.352076,0.850480
0.017991,0.161519,1782,2324,1716,2551,3255,2063,2709,3069,2859,1681,3404,3008,1732,3221,,0.790036,0.502989,0.407277,0.921081,0.795879,0.554196,0.887269,0.764500,0.750000,0.607143,0.797607,0.747925,0.352941,0.850480
0.017961,0.179480,1781,2325,1716,2551,3255,2063,2709,3070,2859,1680,3405,3008,1732,3221,,0.789442,0.503843,0.407277,0.921081,0.795879,0.554196,0.887269,0.765199,0.750000,0.606250,0.798604,0.747925,0.352941,0.850480
0.018023,0.197503,1782,2325,1716,2550,3255,2063,2708,3070,2859,1680,3405,3008,1732,3221,,0.790036,0.503843,0.407277,0.920000,0.795879,0.554196,0.886297,0.765199,0.750000,0.606250,0.798604,0.747925,0.352941,0.850480
0.018004,0.215507,1782,2326,1716,2551,3255,2064,2709,3069,2859,1680,3405,3008,1731,3221,,0.790036,0.504697,0.407277,0.921081,0.795879,0.554779,0.887269,0.764500,0.750000,0.606250,0.798604,0.747925,0.352076,0.850480
0.018026,0.233533,1783,2327,1716,2553,3254,2064,2708,3069,2860,1679,3405,3007,1730,3221,,0.790629,0.505551,0.407277,0.923243,0.795235,0.554779,0.886297,0.764500,0.751078,0.605357,0.798604,0.747407,0.351211,0.850480
0.017998,0.251531,1783,2326,1716,2552,3255,2064,2707,3069,2860,1679,3405,3008,1729,3221,,0.790629,0.504697,0.407277,0.922162,0.795879,0.554779,0.885326,0.764500,0.751078,0.605357,0.798604,0.747925,0.350346,0.850480
0.018002,0.269533,1783,2326,1716,2552,3256,2064,2707,3068,2860,1679,3405,3007,1729,3221,,0.790629,0.504697,0.407277,0.922162,0.796523,0.554779,0.885326,0.763802,0.751078,0.605357,0.798604,0.747407,0.350346,0.850480
0.018009,0.287542,1783,2326,1715,2553,3256,2064,2707,3069,2860,1679,3405,3007,1731,3221,,0.790629,0.504697,0.406690,0.923243,0.796523,0.554779,0.885326,0.764500,0.751078,0.605357,0.798604,0.747407,0.352076,0.850480
0.017997,0.305540,1783,2326,1715,2553,3256,2064,2707,3069,2860,1679,3405,3007,1731,3221,,0.790629,0.504697,0.406690,0.923243,0.796523,0.554779,0.885326,0.764500,0.751078,0.605357,0.798604,0.747407,0.352076,0.850480
0.017973,0.323513,1784,2326,1716,2554,3256,2064,2708,3068,2861,1678,3404,3007,1729,3222,,0.791222,0.504697,0.407277,0.924324,0.796523,0.554779,0.886297,0.763802,0.752155,0.604464,0.797607,0.747407,0.350346,0.851166
0.018028,0.341541,1784,2326,1716,2554,3256,2065,2707,3068,2861,1679,3405,3006,1736,3222,,0.791222,0.504697,0.407277,0.924324,0.796523,0.555361,0.885326,0.763802,0.752155,0.605357,0.798604,0.746888,0.356401,0.851166
0.017997,0.359538,1784,2327,1716,2554,3257,2064,2707,3068,2861,1679,3404,3008,1729,3222,,0.791222,0.505551,0.407277,0.924324,0.797167,0.554779,0.885326,0.763802,0.752155,0.605357,0.797607,0.747925,0.350346,0.851166
0.018005,0.377544,1784,2326,1717,2554,3256,2065,2707,3068,2861,1679,3406,3007,1730,3223,,0.791222,0.504697,0.407864,0.924324,0.796523,0.555361,0.885326,0.763802,0.752155,0.605357,0.799601,0.747407,0.351211,0.851852
0.018000,0.395543,1784,2326,1717,2555,3257,2064,2707,3068,2861,1680,3405,3008,1730,3223,,0.791222,0.504697,0.407864,0.925405,0.797167,0.554779,0.885326,0.763802,0.752155,0.606250,0.798604,0.747925,0.351211,0.851852
0.018008,0.413552,1785,2328,1716,2556,3259,2065,2706,3068,2862,1680,3404,3007,1730,3222,,0.791815,0.506405,0.407277,0.926486,0.798455,0.555361,0.884354,0.763802,0.753233,0.606250,0.797607,0.747407,0.351211,0.851166
0.017989,0.431540,1785,2327,1715,2556,3258,2064,2707,3067,2862,1679,3405,3008,1730,3222,,0.791815,0.505551,0.406690,0.926486,0.797811,0.554779,0.885326,0.763103,0.753233,0.605357,0.798604,0.747925,0.351211,0.851166
0.018003,0.449543,1784,2328,1715,2556,3258,2065,2707,3068,2861,1679,3405,3007,1730,3223,,0.791222,0.506405,0.406690,0.926486,0.797811,0.555361,0.885326,0.763802,0.752155,0.605357,0.798604,0.747407,0.351211,0.851852
0.018002,0.467545,1785,2327,1716,2557,3258,2064,2707,3068,2862,1680,3405,3007,1730,3223,,0.791815,0.505551,0.407277,0.927568,0.797811,0.554779,0.885326,0.763802,0.753233,0.606250,0.798604,0.747407,0.351211,0.851852
0.018000,0.485545,1787,2328,1716,2558,3258,2065,2707,3067,2862,1680,3405,3008,1729,3223,,0.793001,0.506405,0.407277,0.928649,0.797811,0.555361,0.885326,0.763103,0.753233,0.606250,0.798604,0.747925,0.350346,0.851852
0.017994,0.503539,1787,2328,1716,2558,3258,2065,2707,3067,2862,1680,3405,3008,1729,3223,,0.793001,0.506405,0.407277,0.928649,0.797811,0.555361,0.885326,0.763103,0.753233,0.606250,0.798604,0.747925,0.350346,0.851852
0.018015,0.521554,1786,2328,1717,2558,3260,2065,2706,3068,2862,1681,3404,3008,1730,3223,,0.792408,0.506405,0.407864,0.928649,0.799098,0.555361,0.884354,0.763802,0.753233,0.607143,0.797607,0.747925,0.351211,0.851852
0.018002,0.539556,1786,2328,1717,2558,3260,2065,2706,3068,2862,1681,3404,3008,1730,3223,,0.792408,0.506405,0.407864,0.928649,0.799098,0.555361,0.884354,0.763802,0.753233,0.607143,0.797607,0.747925,0.351211,0.851852
0.017994,0.557549,1787,2329,1719,2559,3259,2065,2708,3068,2862,1682,3405,3008,1730,3224,,0.793001,0.507259,0.409038,0.929730,0.798455,0.555361,0.886297,0.763802,0.753233,0.608036,0.798604,0.747925,0.351211,0.852538
0.018001,0.575550,1787,2329,1720,2559,3259,2066,2706,3068,2862,1681,3405,3008,1730,3223,,0.793001,0.507259,0.409624,0.929730,0.798455,0.555944,0.884354,0.763802,0.753233,0.607143,0.798604,0.747925,0.351211,0.851852
0.018007,0.593558,1787,2328,1719,2559,3259,2066,2705,3068,2862,1681,3405,3008,1729,3224,,0.793001,0.506405,0.409038,0.929730,0.798455,0.555944,0.883382,0.763802,0.753233,0.607143,0.798604,0.747925,0.350346,0.852538
0.018016,0.611574,1787,2328,1719,2559,3258,2066,2707,3068,2861,1681,3405,3008,1730,3224,,0.793001,0.506405,0.409038,0.929730,0.797811,0.555944,0.885326,0.763802,0.752155,0.607143,0.798604,0.747925,0.351211,0.852538
0.017982,0.629556,1787,2329,1721,2559,3258,2066,2706,3069,2862,1680,3406,3008,1733,3224,,0.793001,0.507259,0.410211,0.929730,0.797811,0.555944,0.884354,0.764500,0.753233,0.606250,0.799601,0.747925,0.353806,0.852538
0.018036,0.647592,1787,2329,1721,2559,3258,2066,2706,3069,2862,1680,3406,3008,1733,3224,,0.793001,0.507259,0.410211,0.929730,0.797811,0.555944,0.884354,0.764500,0.753233,0.606250,0.799601,0.747925,0.353806,0.852538
0.017961,0.665553,1788,2329,1720,2558,3258,2066,2707,3069,2862,1680,3406,3008,1736,3225,,0.793594,0.507259,0.409624,0.928649,0.797811,0.555944,0.885326,0.764500,0.753233,0.606250,0.799601,0.747925,0.356401,0.853224
0.018001,0.683554,1788,2330,1719,2558,3258,2065,2706,3069,2861,1680,3405,3008,1736,3224,,0.793594,0.508113,0.409038,0.928649,0.797811,0.555361,0.884354,0.764500,0.752155,0.606250,0.798604,0.747925,0.356401,0.852538
0.018011,0.701565,1787,2331,1718,2557,3258,2065,2706,3069,2861,1679,3406,3008,1737,3223,,0.793001,0.508967,0.408451,0.927568,0.797811,0.555361,0.884354,0.764500,0.752155,0.605357,0.799601,0.747925,0.357266,0.851852
0.018003,0.719569,1786,2330,1716,2554,3257,2063,2705,3069,2860,1678,3406,3009,1738,3222,,0.792408,0.508113,0.407277,0.924324,0.797167,0.554196,0.883382,0.764500,0.751078,0.604464,0.799601,0.748444,0.358131,0.851166
0.017978,0.737546,1782,2329,1711,2551,3255,2061,2704,3069,2859,1675,3406,3008,1738,3222,,0.790036,0.507259,0.404343,0.921081,0.795879,0.553030,0.882410,0.764500,0.750000,0.601786,0.799601,0.747925,0.358131,0.851166
0.018014,0.755560,1763,2315,1686,2541,3247,2051,2702,3069,2855,1663,3405,3009,1733,3218,,0.778766,0.495303,0.389671,0.910270,0.790728,0.547203,0.880466,0.764500,0.745690,0.591071,0.798604,0.748444,0.353806,0.848422
0.018003,0.773563,1747,2302,1668,2532,3240,2047,2699,3067,2854,1654,3404,3010,1726,3216,,0.769276,0.484202,0.379108,0.900541,0.786220,0.544872,0.877551,0.763103,0.744612,0.583036,0.797607,0.748963,0.347751,0.847051
0.018001,0.791564,1729,2284,1648,2520,3231,2044,2694,3063,2854,1642,3402,3009,1716,3210,,0.758600,0.468830,0.367371,0.887568,0.780425,0.543124,0.872692,0.760307,0.744612,0.572321,0.795613,0.748444,0.339100,0.842936
0.017996,0.809560,1707,2265,1630,2505,3220,2046,2685,3060,2856,1628,3401,3007,1706,3199,,0.745552,0.452605,0.356808,0.871351,0.773342,0.544289,0.863946,0.758211,0.746767,0.559821,0.794616,0.747407,0.330450,0.835391
0.018002,0.827562,1682,2243,1617,2488,3208,2050,2671,3054,2864,1610,3397,3005,1691,3185,,0.730724,0.433817,0.349178,0.852973,0.765615,0.546620,0.850340,0.754018,0.755388,0.543750,0.790628,0.746369,0.317474,0.825789
0.018032,0.845594,1652,2220,1606,2470,3194,2062,2657,3045,2876,1594,3393,3002,1678,3166,,0.712930,0.414176,0.342723,0.833513,0.756600,0.553613,0.836735,0.747729,0.768319,0.529464,0.786640,0.744813,0.306228,0.812757
0.017998,0.863592,1624,2198,1592,2454,3174,2081,2638,3030,2887,1573,3388,2996,1667,3141,,0.696323,0.395389,0.334507,0.816216,0.743722,0.564685,0.818270,0.737247,0.780172,0.510714,0.781655,0.741701,0.296713,0.795610
0.017983,0.881574,1607,2179,1578,2439,3146,2101,2614,3008,2900,1542,3382,2989,1660,3112,,0.686240,0.379163,0.326291,0.800000,0.725692,0.576340,0.794947,0.721873,0.794181,0.483036,0.775673,0.738071,0.290657,0.775720
0.017991,0.899566,1591,2161,1548,2411,3054,2149,2555,2967,2922,1457,3358,2972,1657,3036,,0.676750,0.363792,0.308685,0.769730,0.666452,0.604312,0.737609,0.693222,0.817888,0.407143,0.751745,0.729253,0.288062,0.723594
