GloveManager recording started on 10/20/16 at 17:43:03

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017508,0.017508,1668,2207,1359,2086,2342,2412,2054,2391,2823,1260,3432,2904,1719,2884,,0.722420,0.403074,0.197770,0.418378,0.207985,0.757576,0.250729,0.290706,0.711207,0.231250,0.825523,0.693983,0.341695,0.619342
0.018001,0.035510,1668,2207,1359,2086,2342,2412,2054,2391,2823,1260,3432,2904,1719,2884,,0.722420,0.403074,0.197770,0.418378,0.207985,0.757576,0.250729,0.290706,0.711207,0.231250,0.825523,0.693983,0.341695,0.619342
0.018000,0.053510,1668,2207,1361,2084,2342,2412,2054,2390,2822,1259,3430,2904,1718,2881,,0.722420,0.403074,0.198944,0.416216,0.207985,0.757576,0.250729,0.290007,0.710129,0.230357,0.823529,0.693983,0.340830,0.617284
0.018001,0.071511,1668,2207,1362,2084,2341,2412,2054,2390,2821,1260,3430,2904,1718,2880,,0.722420,0.403074,0.199531,0.416216,0.207341,0.757576,0.250729,0.290007,0.709052,0.231250,0.823529,0.693983,0.340830,0.616598
0.018002,0.089513,1667,2208,1362,2085,2340,2413,2053,2389,2820,1260,3429,2904,1718,2879,,0.721827,0.403928,0.199531,0.417297,0.206697,0.758159,0.249757,0.289308,0.707974,0.231250,0.822532,0.693983,0.340830,0.615912
0.017999,0.107513,1667,2209,1363,2085,2339,2413,2053,2388,2819,1260,3430,2904,1718,2879,,0.721827,0.404782,0.200117,0.417297,0.206053,0.758159,0.249757,0.288609,0.706897,0.231250,0.823529,0.693983,0.340830,0.615912
0.018003,0.125515,1667,2210,1365,2084,2339,2413,2054,2389,2820,1260,3431,2904,1716,2876,,0.721827,0.405636,0.201291,0.416216,0.206053,0.758159,0.250729,0.289308,0.707974,0.231250,0.824526,0.693983,0.339100,0.613855
0.018025,0.143541,1667,2210,1365,2084,2339,2413,2054,2389,2820,1260,3430,2904,1716,2877,,0.721234,0.404782,0.202465,0.416216,0.206053,0.757576,0.249757,0.289308,0.709052,0.230357,0.823529,0.693983,0.339100,0.614540
0.017975,0.161516,1666,2210,1370,2084,2338,2412,2054,2390,2821,1260,3431,2904,1715,2877,,0.721234,0.405636,0.204225,0.416216,0.205409,0.757576,0.250729,0.290007,0.709052,0.231250,0.824526,0.693983,0.338235,0.614540
0.018001,0.179517,1666,2211,1374,2085,2338,2413,2054,2389,2821,1260,3430,2904,1716,2876,,0.721234,0.406490,0.206573,0.417297,0.205409,0.758159,0.250729,0.289308,0.709052,0.231250,0.823529,0.693983,0.339100,0.613855
