GloveManager recording started on 10/20/16 at 17:42:50

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017494,0.017494,1652,2186,1434,2058,2325,1913,2064,2395,2815,1281,3450,2913,1723,2725,,0.712930,0.385141,0.241784,0.388108,0.197038,0.466783,0.260447,0.293501,0.702586,0.250000,0.843470,0.698651,0.345156,0.510288
0.017963,0.035457,1652,2186,1434,2058,2325,1913,2064,2395,2815,1281,3450,2913,1723,2725,,0.712930,0.385141,0.241784,0.388108,0.197038,0.466783,0.260447,0.293501,0.702586,0.250000,0.843470,0.698651,0.345156,0.510288
0.017995,0.053452,1652,2184,1434,2058,2324,1914,2064,2396,2813,1282,3449,2913,1722,2725,,0.712930,0.383433,0.241784,0.388108,0.196394,0.467366,0.260447,0.294200,0.700431,0.250893,0.842473,0.698651,0.344291,0.510288
0.017975,0.071427,1652,2184,1434,2058,2324,1914,2064,2396,2813,1282,3449,2913,1722,2725,,0.712930,0.383433,0.241784,0.388108,0.196394,0.467366,0.260447,0.294200,0.700431,0.250893,0.842473,0.698651,0.344291,0.510288
0.018033,0.089460,1651,2183,1435,2058,2323,1912,2063,2395,2812,1281,3449,2914,1722,2724,,0.712337,0.382579,0.242371,0.388108,0.195750,0.466200,0.259475,0.293501,0.699353,0.250000,0.842473,0.699170,0.344291,0.509602
0.017951,0.107411,1651,2184,1435,2058,2324,1912,2063,2395,2811,1281,3448,2914,1723,2723,,0.712337,0.383433,0.242371,0.388108,0.196394,0.466200,0.259475,0.293501,0.698276,0.250000,0.841476,0.699170,0.345156,0.508916
0.018001,0.125412,1651,2183,1435,2059,2323,1912,2063,2397,2810,1282,3448,2915,1723,2721,,0.712337,0.382579,0.242371,0.389189,0.195750,0.466200,0.259475,0.294899,0.697198,0.250893,0.841476,0.699689,0.345156,0.507545
0.018045,0.143458,1651,2182,1435,2058,2322,1912,2062,2397,2809,1281,3447,2914,1723,2722,,0.712337,0.381725,0.242371,0.388108,0.195106,0.466200,0.258503,0.294899,0.696121,0.250000,0.840479,0.699170,0.345156,0.508230
0.017976,0.161434,1651,2182,1434,2059,2323,1910,2062,2397,2806,1281,3446,2915,1723,2723,,0.712337,0.381725,0.241784,0.389189,0.195750,0.465035,0.258503,0.294899,0.692888,0.250000,0.839482,0.699689,0.345156,0.508916
0.018027,0.179461,1650,2183,1436,2059,2322,1911,2061,2396,2805,1281,3446,2915,1723,2723,,0.711744,0.382579,0.242958,0.389189,0.195106,0.465618,0.257532,0.294200,0.691810,0.250000,0.839482,0.699689,0.345156,0.508916
