GloveManager recording started on 10/20/16 at 17:41:14

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017255,0.017255,1725,2307,1197,2049,2352,1900,1928,2509,2646,1153,2911,2630,1593,2833,,0.756228,0.488471,0.102700,0.378378,0.214424,0.459207,0.128280,0.373166,0.520474,0.135714,0.306082,0.551867,0.232699,0.584362
0.017999,0.035253,1724,2306,1196,2048,2352,1899,1928,2509,2646,1153,2911,2632,1592,2834,,0.755635,0.487617,0.102113,0.377297,0.214424,0.458625,0.128280,0.373166,0.520474,0.135714,0.306082,0.552905,0.231834,0.585048
0.018005,0.053258,1725,2307,1195,2049,2351,1897,1928,2508,2647,1153,2911,2633,1592,2836,,0.756228,0.488471,0.101526,0.378378,0.213780,0.457459,0.128280,0.372467,0.521552,0.135714,0.306082,0.553423,0.231834,0.586420
0.017989,0.071247,1724,2307,1193,2048,2351,1897,1928,2508,2646,1152,2911,2633,1593,2837,,0.755635,0.488471,0.100352,0.377297,0.213780,0.457459,0.128280,0.372467,0.520474,0.134821,0.306082,0.553423,0.232699,0.587106
0.018009,0.089255,1724,2307,1192,2048,2351,1897,1928,2507,2647,1152,2911,2634,1593,2837,,0.755635,0.488471,0.099765,0.377297,0.213780,0.457459,0.128280,0.371768,0.521552,0.134821,0.306082,0.553942,0.232699,0.587106
0.018004,0.107259,1725,2307,1193,2048,2352,1898,1928,2508,2647,1152,2911,2632,1593,2837,,0.756228,0.488471,0.100352,0.377297,0.214424,0.458042,0.128280,0.372467,0.521552,0.134821,0.306082,0.552905,0.232699,0.587106
0.017998,0.125257,1724,2307,1192,2049,2351,1897,1929,2508,2648,1152,2912,2632,1594,2838,,0.755635,0.488471,0.099765,0.378378,0.213780,0.457459,0.129252,0.372467,0.522629,0.134821,0.307079,0.552905,0.233564,0.587792
0.018003,0.143260,1724,2307,1193,2049,2351,1898,1929,2506,2649,1153,2911,2631,1594,2839,,0.755635,0.488471,0.100352,0.378378,0.213780,0.458042,0.129252,0.371069,0.523707,0.135714,0.306082,0.552386,0.233564,0.588477
0.018000,0.161260,1724,2307,1194,2048,2350,1898,1929,2506,2649,1152,2912,2630,1595,2840,,0.755635,0.488471,0.100939,0.377297,0.213136,0.458042,0.129252,0.371069,0.523707,0.134821,0.307079,0.551867,0.234429,0.589163
