GloveManager recording started on 10/20/16 at 17:42:19

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017993,0.017993,1525,1958,1315,2510,3254,2438,2511,3182,2961,1551,3397,2957,1713,2324,,0.637604,0.190436,0.171948,0.876757,0.795235,0.772727,0.694849,0.843466,0.859914,0.491071,0.790628,0.721473,0.336505,0.235254
0.017999,0.035992,1525,1958,1314,2510,3254,2438,2512,3183,2961,1550,3398,2956,1713,2324,,0.637604,0.190436,0.171362,0.876757,0.795235,0.772727,0.695821,0.844165,0.859914,0.490179,0.791625,0.720954,0.336505,0.235254
0.018004,0.053996,1526,1958,1315,2510,3252,2438,2511,3182,2962,1550,3397,2956,1713,2323,,0.638197,0.190436,0.171948,0.876757,0.793947,0.772727,0.694849,0.843466,0.860991,0.490179,0.790628,0.720954,0.336505,0.234568
0.017999,0.071995,1526,1958,1315,2510,3253,2438,2512,3182,2962,1549,3396,2956,1713,2323,,0.638197,0.190436,0.171948,0.876757,0.794591,0.772727,0.695821,0.843466,0.860991,0.489286,0.789631,0.720954,0.336505,0.234568
0.018017,0.090012,1526,1958,1315,2511,3253,2437,2513,3182,2962,1550,3397,2957,1712,2322,,0.638197,0.190436,0.171948,0.877838,0.794591,0.772144,0.696793,0.843466,0.860991,0.490179,0.790628,0.721473,0.335640,0.233882
0.017963,0.107975,1525,1958,1315,2511,3253,2438,2513,3182,2962,1550,3397,2955,1721,2321,,0.637604,0.190436,0.171948,0.877838,0.794591,0.772727,0.696793,0.843466,0.860991,0.490179,0.790628,0.720436,0.343426,0.233196
0.018021,0.125996,1526,1959,1316,2511,3252,2437,2512,3182,2963,1550,3397,2955,1720,2320,,0.638197,0.191289,0.172535,0.877838,0.793947,0.772144,0.695821,0.843466,0.862069,0.490179,0.790628,0.720436,0.342561,0.232510
0.017988,0.143984,1525,1958,1315,2511,3253,2438,2512,3183,2963,1550,3397,2953,1714,2319,,0.637604,0.190436,0.171948,0.877838,0.794591,0.772727,0.695821,0.844165,0.862069,0.490179,0.790628,0.719398,0.337370,0.231824
0.018014,0.161998,1525,1958,1316,2510,3252,2437,2512,3183,2962,1551,3398,2952,1715,2317,,0.637604,0.190436,0.172535,0.876757,0.793947,0.772144,0.695821,0.844165,0.860991,0.491071,0.791625,0.718880,0.338235,0.230453
