GloveManager recording started on 10/20/16 at 17:39:54

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017481,0.017481,1673,2340,1270,2305,2458,2101,2687,3144,2928,1557,3372,2965,1730,2889,,0.725386,0.516652,0.145540,0.655135,0.282679,0.576340,0.865889,0.816911,0.824353,0.496429,0.765703,0.725622,0.351211,0.622771
0.017997,0.035478,1674,2340,1271,2304,2459,2099,2687,3145,2929,1558,3371,2965,1730,2889,,0.725979,0.516652,0.146127,0.654054,0.283323,0.575175,0.865889,0.817610,0.825431,0.497321,0.764706,0.725622,0.351211,0.622771
0.018003,0.053481,1674,2342,1271,2303,2459,2097,2687,3144,2928,1558,3371,2965,1731,2887,,0.725979,0.518360,0.146127,0.652973,0.283323,0.574009,0.865889,0.816911,0.824353,0.497321,0.764706,0.725622,0.352076,0.621399
0.017998,0.071479,1676,2341,1271,2301,2458,2097,2686,3143,2929,1556,3370,2966,1731,2888,,0.727165,0.517506,0.146127,0.650811,0.282679,0.574009,0.864917,0.816212,0.825431,0.495536,0.763709,0.726141,0.352076,0.622085
0.018002,0.089481,1675,2341,1271,2302,2458,2098,2686,3143,2929,1556,3370,2966,1731,2888,,0.726572,0.517506,0.146127,0.651892,0.282679,0.574592,0.864917,0.816212,0.825431,0.495536,0.763709,0.726141,0.352076,0.622085
0.018000,0.107481,1677,2342,1271,2302,2458,2099,2687,3143,2929,1556,3370,2965,1731,2889,,0.727758,0.518360,0.146127,0.651892,0.282679,0.575175,0.865889,0.816212,0.825431,0.495536,0.763709,0.725622,0.352076,0.622771
0.018000,0.125481,1678,2343,1272,2301,2458,2098,2687,3143,2929,1557,3369,2965,1731,2889,,0.728351,0.519214,0.146714,0.650811,0.282679,0.574592,0.865889,0.816212,0.825431,0.496429,0.762712,0.725622,0.352076,0.622771
0.018003,0.143484,1679,2343,1272,2301,2458,2098,2687,3141,2929,1557,3369,2965,1730,2888,,0.728944,0.519214,0.146714,0.650811,0.282679,0.574592,0.865889,0.814815,0.825431,0.496429,0.762712,0.725622,0.351211,0.622085
0.017998,0.161483,1679,2343,1272,2301,2458,2098,2687,3141,2929,1557,3369,2965,1730,2888,,0.728944,0.519214,0.146714,0.650811,0.282679,0.574592,0.865889,0.814815,0.825431,0.496429,0.762712,0.725622,0.351211,0.622085
