GloveManager recording started on 10/20/16 at 17:40:10

,,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s), absolute time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018089,0.018089,1683,2217,1190,2271,2395,2087,2619,3124,2938,1594,3392,2983,1764,3180,,0.731317,0.411614,0.098592,0.618378,0.242112,0.568182,0.799806,0.802935,0.835129,0.529464,0.785643,0.734959,0.380623,0.822359
0.018000,0.036089,1683,2217,1190,2269,2394,2086,2620,3125,2938,1593,3392,2983,1765,3179,,0.731317,0.411614,0.098592,0.616216,0.241468,0.567599,0.800777,0.803634,0.835129,0.528571,0.785643,0.734959,0.381488,0.821674
0.018005,0.054093,1682,2218,1190,2271,2395,2086,2619,3126,2938,1593,3393,2984,1765,3179,,0.730724,0.412468,0.098592,0.618378,0.242112,0.567599,0.799806,0.804333,0.835129,0.528571,0.786640,0.735477,0.381488,0.821674
0.017951,0.072044,1682,2216,1188,2272,2394,2086,2617,3123,2939,1590,3392,2983,1764,3175,,0.730724,0.410760,0.097418,0.619459,0.241468,0.567599,0.797862,0.802236,0.836207,0.525893,0.785643,0.734959,0.380623,0.818930
0.018060,0.090104,1681,2213,1188,2273,2394,2087,2616,3120,2939,1588,3392,2982,1762,3174,,0.730130,0.408198,0.097418,0.620541,0.241468,0.568182,0.796890,0.800140,0.836207,0.524107,0.785643,0.734440,0.378893,0.818244
0.017967,0.108072,1681,2212,1187,2275,2393,2086,2615,3120,2940,1586,3393,2983,1761,3173,,0.730130,0.407344,0.096831,0.622703,0.240824,0.567599,0.795918,0.800140,0.837285,0.522321,0.786640,0.734959,0.378028,0.817558
0.018024,0.126096,1680,2211,1186,2276,2393,2087,2613,3121,2939,1586,3393,2982,1762,3173,,0.729537,0.406490,0.096244,0.623784,0.240824,0.568182,0.793975,0.800839,0.836207,0.522321,0.786640,0.734440,0.378893,0.817558
0.017991,0.144087,1680,2212,1185,2276,2393,2087,2613,3122,2939,1584,3392,2982,1760,3172,,0.729537,0.407344,0.095657,0.623784,0.240824,0.568182,0.793975,0.801537,0.836207,0.520536,0.785643,0.734440,0.377163,0.816872
0.018013,0.162099,1680,2212,1184,2277,2392,2086,2612,3123,2941,1583,3393,2982,1759,3171,,0.729537,0.407344,0.095070,0.624865,0.240180,0.567599,0.793003,0.802236,0.838362,0.519643,0.786640,0.734440,0.376298,0.816187
