GloveManager recording started on 09/23/16 at 16:11:52

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.019640,1421,2226,580,2252,3182,2169,1653,2800,2535,2953,2536,1886,1740,2537,,0.186813,0.441791,0.008439,0.063158,0.293750,0.360000,0.462343,0.189677,0.427119,0.352060,0.271942,0.795132,0.142112,0.237101
0.017975,1421,2227,579,2252,3182,2167,1652,2799,2535,2955,2537,1887,1741,2539,,0.186813,0.444776,0.004219,0.063158,0.293750,0.352000,0.461297,0.188387,0.427119,0.359551,0.273381,0.797160,0.143416,0.239558
0.018023,1421,2226,579,2252,3183,2167,1652,2799,2535,2954,2537,1886,1740,2539,,0.186813,0.441791,0.004219,0.063158,0.296875,0.352000,0.461297,0.188387,0.427119,0.355805,0.273381,0.795132,0.142112,0.239558
0.017980,1419,2226,578,2252,3181,2166,1651,2798,2534,2955,2536,1886,1740,2538,,0.184615,0.441791,0.000000,0.063158,0.290625,0.348000,0.460251,0.187097,0.423729,0.359551,0.271942,0.795132,0.142112,0.238329
0.018029,1419,2227,578,2253,3182,2167,1651,2798,2535,2954,2536,1886,1740,2537,,0.184615,0.444776,0.000000,0.066667,0.293750,0.352000,0.460251,0.187097,0.427119,0.355805,0.271942,0.795132,0.142112,0.237101
0.017971,1419,2227,578,2253,3182,2168,1650,2799,2534,2954,2536,1886,1740,2536,,0.184615,0.444776,0.000000,0.066667,0.293750,0.356000,0.459205,0.188387,0.423729,0.355805,0.271942,0.795132,0.142112,0.235872
0.018002,1420,2226,579,2253,3182,2167,1650,2799,2534,2955,2536,1887,1740,2537,,0.185714,0.441791,0.004219,0.066667,0.293750,0.352000,0.459205,0.188387,0.423729,0.359551,0.271942,0.797160,0.142112,0.237101
0.017991,1420,2226,579,2252,3182,2166,1650,2798,2535,2954,2536,1887,1739,2536,,0.185714,0.441791,0.004219,0.063158,0.293750,0.348000,0.459205,0.187097,0.427119,0.355805,0.271942,0.797160,0.140808,0.235872
0.018030,1419,2226,578,2254,3181,2167,1651,2798,2535,2955,2535,1887,1740,2537,,0.184615,0.441791,0.000000,0.070175,0.290625,0.352000,0.460251,0.187097,0.427119,0.359551,0.270504,0.797160,0.142112,0.237101
0.017975,1418,2227,579,2253,3182,2165,1650,2799,2535,2954,2535,1886,1739,2536,,0.183516,0.444776,0.004219,0.066667,0.293750,0.344000,0.459205,0.188387,0.427119,0.355805,0.270504,0.795132,0.140808,0.235872
0.018030,1419,2227,578,2252,3182,2166,1651,2798,2535,2954,2534,1886,1739,2535,,0.184615,0.444776,0.000000,0.063158,0.293750,0.348000,0.460251,0.187097,0.427119,0.355805,0.269065,0.795132,0.140808,0.234644
0.018009,1419,2227,578,2252,3182,2166,1651,2799,2535,2953,2535,1886,1739,2535,,0.184615,0.444776,0.000000,0.063158,0.293750,0.348000,0.460251,0.188387,0.427119,0.352060,0.270504,0.795132,0.140808,0.234644
0.017969,1417,2227,579,2252,3181,2166,1651,2799,2535,2953,2534,1887,1739,2535,,0.182418,0.444776,0.004219,0.063158,0.290625,0.348000,0.460251,0.188387,0.427119,0.352060,0.269065,0.797160,0.140808,0.234644
