GloveManager recording started on 09/23/16 at 16:21:57

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017206,1964,2407,824,2312,3129,1955,2068,3449,2813,3059,3156,2049,2334,3211,,0.868275,0.693487,0.385621,0.225653,0.110922,0.298343,0.750000,0.879177,0.797468,0.648829,0.911210,0.871560,0.703928,0.851852
0.018035,1964,2408,824,2313,3129,1955,2068,3449,2814,3060,3157,2049,2334,3211,,0.868275,0.697318,0.385621,0.228029,0.110922,0.298343,0.750000,0.879177,0.799277,0.652174,0.912320,0.871560,0.703928,0.851852
0.017998,1964,2407,824,2313,3130,1956,2068,3448,2814,3060,3158,2049,2335,3212,,0.868275,0.693487,0.385621,0.228029,0.112628,0.300184,0.750000,0.877892,0.799277,0.652174,0.913429,0.871560,0.704935,0.852755
0.017984,1963,2408,824,2313,3129,1956,2068,3449,2814,3060,3157,2048,2335,3211,,0.866419,0.697318,0.385621,0.228029,0.110922,0.300184,0.750000,0.879177,0.799277,0.652174,0.912320,0.870249,0.704935,0.851852
0.017995,1963,2408,823,2312,3130,1955,2068,3448,2814,3060,3157,2048,2335,3211,,0.866419,0.697318,0.383442,0.225653,0.112628,0.298343,0.750000,0.877892,0.799277,0.652174,0.912320,0.870249,0.704935,0.851852
0.018012,1963,2407,824,2314,3129,1956,2069,3449,2814,3060,3158,2048,2335,3211,,0.866419,0.693487,0.385621,0.230404,0.110922,0.300184,0.750896,0.879177,0.799277,0.652174,0.913429,0.870249,0.704935,0.851852
0.017990,1963,2407,823,2312,3129,1956,2069,3448,2814,3059,3157,2048,2334,3212,,0.866419,0.693487,0.383442,0.225653,0.110922,0.300184,0.750896,0.877892,0.799277,0.648829,0.912320,0.870249,0.703928,0.852755
0.018001,1964,2407,823,2312,3129,1956,2069,3449,2814,3060,3158,2048,2334,3212,,0.868275,0.693487,0.383442,0.225653,0.110922,0.300184,0.750896,0.879177,0.799277,0.652174,0.913429,0.870249,0.703928,0.852755
0.018022,1964,2407,823,2313,3129,1956,2069,3448,2814,3059,3158,2048,2335,3211,,0.868275,0.693487,0.383442,0.228029,0.110922,0.300184,0.750896,0.877892,0.799277,0.648829,0.913429,0.870249,0.704935,0.851852
0.017977,1964,2407,823,2313,3129,1958,2069,3448,2814,3060,3157,2048,2334,3212,,0.868275,0.693487,0.383442,0.228029,0.110922,0.303867,0.750896,0.877892,0.799277,0.652174,0.912320,0.870249,0.703928,0.852755
0.018011,1964,2408,823,2313,3128,1958,2070,3448,2814,3060,3157,2048,2334,3211,,0.868275,0.697318,0.383442,0.228029,0.109215,0.303867,0.751792,0.877892,0.799277,0.652174,0.912320,0.870249,0.703928,0.851852
0.017992,1964,2407,822,2314,3129,1959,2069,3448,2814,3059,3157,2048,2334,3211,,0.868275,0.693487,0.381264,0.230404,0.110922,0.305709,0.750896,0.877892,0.799277,0.648829,0.912320,0.870249,0.703928,0.851852
0.018000,1965,2408,823,2313,3129,1959,2069,3449,2814,3059,3158,2048,2334,3211,,0.870130,0.697318,0.383442,0.228029,0.110922,0.305709,0.750896,0.879177,0.799277,0.648829,0.913429,0.870249,0.703928,0.851852
0.018024,1964,2408,823,2313,3129,1960,2069,3448,2814,3059,3158,2048,2334,3211,,0.868275,0.697318,0.383442,0.228029,0.110922,0.307551,0.750896,0.877892,0.799277,0.648829,0.913429,0.870249,0.703928,0.851852
