GloveManager recording started on 09/23/16 at 16:25:49

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017328,1893,2386,1659,2285,3152,2122,1356,2797,2482,2958,2480,1808,1912,2501,,0.762022,0.608815,0.962862,0.167453,0.181380,0.653266,0.122232,0.145475,0.221441,0.242820,0.179012,0.555701,0.275122,0.235346
0.018025,1895,2385,1659,2285,3152,2120,1357,2797,2481,2958,2480,1807,1911,2500,,0.764488,0.606061,0.962862,0.167453,0.181380,0.650754,0.123118,0.145475,0.219684,0.242820,0.179012,0.554391,0.274146,0.234471
0.018002,1893,2386,1659,2285,3153,2123,1356,2797,2481,2958,2481,1807,1912,2502,,0.762022,0.608815,0.962862,0.167453,0.182986,0.654523,0.122232,0.145475,0.219684,0.242820,0.180041,0.554391,0.275122,0.236220
0.017998,1894,2386,1659,2285,3152,2122,1357,2796,2482,2958,2480,1807,1912,2501,,0.763255,0.608815,0.962862,0.167453,0.181380,0.653266,0.123118,0.144330,0.221441,0.242820,0.179012,0.554391,0.275122,0.235346
0.018004,1894,2385,1659,2285,3152,2121,1356,2797,2482,2958,2480,1807,1911,2501,,0.763255,0.606061,0.962862,0.167453,0.181380,0.652010,0.122232,0.145475,0.221441,0.242820,0.179012,0.554391,0.274146,0.235346
0.017983,1894,2386,1659,2285,3151,2122,1356,2797,2482,2959,2479,1807,1911,2501,,0.763255,0.608815,0.962862,0.167453,0.179775,0.653266,0.122232,0.145475,0.221441,0.245431,0.177984,0.554391,0.274146,0.235346
0.017992,1894,2385,1659,2285,3152,2122,1356,2796,2482,2959,2480,1807,1911,2501,,0.763255,0.606061,0.962862,0.167453,0.181380,0.653266,0.122232,0.144330,0.221441,0.245431,0.179012,0.554391,0.274146,0.235346
0.017984,1894,2385,1659,2285,3151,2122,1357,2797,2482,2959,2480,1807,1911,2500,,0.763255,0.606061,0.962862,0.167453,0.179775,0.653266,0.123118,0.145475,0.221441,0.245431,0.179012,0.554391,0.274146,0.234471
0.018017,1894,2385,1659,2285,3151,2122,1357,2797,2482,2958,2479,1806,1911,2500,,0.763255,0.606061,0.962862,0.167453,0.179775,0.653266,0.123118,0.145475,0.221441,0.242820,0.177984,0.553080,0.274146,0.234471
