GloveManager recording started on 09/23/16 at 16:49:50

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.018081,1451,2294,972,2230,3060,1869,1532,2771,2814,3040,3205,1991,2129,3128,,0.372093,0.801170,0.743655,0.040426,0.000000,0.150253,0.259464,0.004381,0.795294,0.478458,0.986696,0.612691,0.713188,0.868074
0.017972,1450,2294,971,2231,3061,1868,1532,2771,2813,3040,3204,1990,2129,3128,,0.370155,0.801170,0.741117,0.042553,0.002304,0.148990,0.259464,0.004381,0.792941,0.478458,0.985588,0.610503,0.713188,0.868074
0.018011,1450,2294,972,2231,3060,1869,1531,2770,2814,3040,3205,1991,2129,3128,,0.370155,0.801170,0.743655,0.042553,0.000000,0.150253,0.258541,0.003286,0.795294,0.478458,0.986696,0.612691,0.713188,0.868074
0.017996,1449,2294,971,2230,3061,1869,1530,2772,2815,3040,3204,1991,2129,3127,,0.368217,0.801170,0.741117,0.040426,0.002304,0.150253,0.257618,0.005476,0.797647,0.478458,0.985588,0.612691,0.713188,0.866755
0.018004,1449,2294,971,2230,3061,1869,1531,2771,2814,3041,3205,1991,2129,3128,,0.368217,0.801170,0.741117,0.040426,0.002304,0.150253,0.258541,0.004381,0.795294,0.480726,0.986696,0.612691,0.713188,0.868074
0.018014,1449,2294,971,2230,3061,1870,1532,2770,2815,3041,3205,1991,2129,3127,,0.368217,0.801170,0.741117,0.040426,0.002304,0.151515,0.259464,0.003286,0.797647,0.480726,0.986696,0.612691,0.713188,0.866755
0.017975,1450,2294,972,2230,3061,1870,1532,2771,2814,3041,3205,1991,2130,3128,,0.370155,0.801170,0.743655,0.040426,0.002304,0.151515,0.259464,0.004381,0.795294,0.480726,0.986696,0.612691,0.714469,0.868074
0.018011,1450,2294,972,2230,3061,1870,1533,2771,2814,3041,3205,1991,2129,3127,,0.370155,0.801170,0.743655,0.040426,0.002304,0.151515,0.260388,0.004381,0.795294,0.480726,0.986696,0.612691,0.713188,0.866755
0.017985,1449,2294,972,2230,3061,1870,1533,2770,2815,3040,3205,1991,2129,3128,,0.368217,0.801170,0.743655,0.040426,0.002304,0.151515,0.260388,0.003286,0.797647,0.478458,0.986696,0.612691,0.713188,0.868074
0.018016,1449,2294,972,2230,3062,1870,1532,2770,2814,3041,3205,1991,2129,3128,,0.368217,0.801170,0.743655,0.040426,0.004608,0.151515,0.259464,0.003286,0.795294,0.480726,0.986696,0.612691,0.713188,0.868074
0.018000,1450,2295,972,2230,3061,1869,1533,2771,2814,3040,3205,1991,2129,3128,,0.370155,0.807018,0.743655,0.040426,0.002304,0.150253,0.260388,0.004381,0.795294,0.478458,0.986696,0.612691,0.713188,0.868074
0.018006,1450,2295,971,2230,3061,1869,1533,2771,2814,3041,3205,1991,2129,3128,,0.370155,0.807018,0.741117,0.040426,0.002304,0.150253,0.260388,0.004381,0.795294,0.480726,0.986696,0.612691,0.713188,0.868074
0.018022,1448,2294,971,2230,3061,1869,1533,2770,2815,3041,3204,1991,2129,3128,,0.366279,0.801170,0.741117,0.040426,0.002304,0.150253,0.260388,0.003286,0.797647,0.480726,0.985588,0.612691,0.713188,0.868074
0.017991,1450,2294,972,2231,3061,1870,1534,2770,2814,3040,3204,1991,2130,3128,,0.370155,0.801170,0.743655,0.042553,0.002304,0.151515,0.261311,0.003286,0.795294,0.478458,0.985588,0.612691,0.714469,0.868074
0.018009,1451,2294,972,2230,3061,1870,1535,2771,2814,3041,3205,1992,2130,3128,,0.372093,0.801170,0.743655,0.040426,0.002304,0.151515,0.262235,0.004381,0.795294,0.480726,0.986696,0.614880,0.714469,0.868074
0.018001,1449,2294,972,2229,3061,1870,1532,2770,2814,3040,3204,1991,2129,3128,,0.368217,0.801170,0.743655,0.038298,0.002304,0.151515,0.259464,0.003286,0.795294,0.478458,0.985588,0.612691,0.713188,0.868074
0.018001,1448,2293,972,2230,3061,1870,1534,2771,2813,3040,3204,1990,2129,3128,,0.366279,0.795322,0.743655,0.040426,0.002304,0.151515,0.261311,0.004381,0.792941,0.478458,0.985588,0.610503,0.713188,0.868074
0.017975,1450,2293,972,2231,3060,1869,1534,2771,2814,3040,3204,1991,2129,3128,,0.370155,0.795322,0.743655,0.042553,0.000000,0.150253,0.261311,0.004381,0.795294,0.478458,0.985588,0.612691,0.713188,0.868074
0.017999,1449,2295,971,2231,3061,1870,1534,2770,2813,3040,3203,1991,2130,3127,,0.368217,0.807018,0.741117,0.042553,0.002304,0.151515,0.261311,0.003286,0.792941,0.478458,0.984479,0.612691,0.714469,0.866755
