GloveManager recording started on 09/23/16 at 16:52:25

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017738,1634,2354,1692,2243,3081,1921,1256,2694,2540,2863,2331,1685,1619,2404,,0.753927,0.893536,0.870449,0.077895,0.050575,0.248184,0.018215,0.012024,0.180894,0.089485,0.057393,0.059060,0.079046,0.042129
0.018026,1634,2354,1693,2245,3081,1922,1255,2694,2540,2863,2330,1684,1619,2404,,0.753927,0.893536,0.871296,0.082105,0.050575,0.249395,0.017304,0.012024,0.180894,0.089485,0.056420,0.057718,0.079046,0.042129
0.018006,1633,2354,1693,2244,3082,1921,1255,2695,2540,2864,2331,1683,1619,2404,,0.752182,0.893536,0.871296,0.080000,0.052874,0.248184,0.017304,0.013026,0.180894,0.091723,0.057393,0.056376,0.079046,0.042129
0.017952,1632,2353,1694,2243,3080,1923,1255,2694,2540,2863,2330,1684,1619,2404,,0.750436,0.889734,0.872142,0.077895,0.048276,0.250605,0.017304,0.012024,0.180894,0.089485,0.056420,0.057718,0.079046,0.042129
0.018021,1633,2353,1694,2243,3081,1922,1254,2694,2540,2864,2331,1684,1619,2404,,0.752182,0.889734,0.872142,0.077895,0.050575,0.249395,0.016393,0.012024,0.180894,0.091723,0.057393,0.057718,0.079046,0.042129
0.018025,1633,2354,1694,2244,3082,1922,1255,2694,2540,2864,2331,1684,1619,2403,,0.752182,0.893536,0.872142,0.080000,0.052874,0.249395,0.017304,0.012024,0.180894,0.091723,0.057393,0.057718,0.079046,0.041020
0.017998,1634,2354,1693,2245,3081,1922,1255,2695,2539,2863,2330,1684,1618,2404,,0.753927,0.893536,0.871296,0.082105,0.050575,0.249395,0.017304,0.013026,0.178862,0.089485,0.056420,0.057718,0.077792,0.042129
0.017978,1633,2353,1692,2243,3081,1923,1255,2693,2539,2864,2329,1684,1618,2403,,0.752182,0.889734,0.870449,0.077895,0.050575,0.250605,0.017304,0.011022,0.178862,0.091723,0.055447,0.057718,0.077792,0.041020
0.018028,1632,2354,1693,2243,3082,1923,1253,2694,2540,2864,2329,1684,1619,2403,,0.750436,0.893536,0.871296,0.077895,0.052874,0.250605,0.015483,0.012024,0.180894,0.091723,0.055447,0.057718,0.079046,0.041020
0.017998,1632,2354,1694,2245,3081,1922,1255,2695,2540,2863,2329,1684,1618,2403,,0.750436,0.893536,0.872142,0.082105,0.050575,0.249395,0.017304,0.013026,0.180894,0.089485,0.055447,0.057718,0.077792,0.041020
0.017975,1632,2354,1694,2244,3081,1922,1252,2695,2541,2864,2330,1685,1617,2404,,0.750436,0.893536,0.872142,0.080000,0.050575,0.249395,0.014572,0.013026,0.182927,0.091723,0.056420,0.059060,0.076537,0.042129
0.018002,1632,2354,1695,2245,3082,1924,1254,2695,2539,2863,2330,1685,1618,2403,,0.750436,0.893536,0.872989,0.082105,0.052874,0.251816,0.016393,0.013026,0.178862,0.089485,0.056420,0.059060,0.077792,0.041020
0.018003,1632,2354,1695,2244,3081,1924,1253,2695,2540,2864,2330,1685,1619,2403,,0.750436,0.893536,0.872989,0.080000,0.050575,0.251816,0.015483,0.013026,0.180894,0.091723,0.056420,0.059060,0.079046,0.041020
0.018029,1632,2354,1694,2243,3081,1924,1253,2694,2540,2863,2330,1686,1618,2402,,0.750436,0.893536,0.872142,0.077895,0.050575,0.251816,0.015483,0.012024,0.180894,0.089485,0.056420,0.060403,0.077792,0.039911
0.018004,1632,2355,1692,2244,3082,1924,1254,2695,2539,2863,2330,1685,1618,2403,,0.750436,0.897338,0.870449,0.080000,0.052874,0.251816,0.016393,0.013026,0.178862,0.089485,0.056420,0.059060,0.077792,0.041020
