GloveManager recording started on 09/23/16 at 16:57:17

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017361,1336,2172,785,2413,3323,2198,1624,2761,2405,2924,2349,1555,1675,2469,,0.086345,0.292818,0.180822,0.397237,0.515625,0.501250,0.356106,0.072450,0.186462,0.190231,0.056388,0.169231,0.131498,0.028402
0.017999,1335,2172,785,2415,3321,2198,1623,2760,2406,2924,2349,1556,1676,2469,,0.084337,0.292818,0.180822,0.400691,0.511719,0.501250,0.355252,0.071497,0.187739,0.190231,0.056388,0.170136,0.133028,0.028402
0.017972,1335,2173,785,2415,3321,2198,1623,2760,2406,2924,2348,1556,1676,2469,,0.084337,0.298343,0.180822,0.400691,0.511719,0.501250,0.355252,0.071497,0.187739,0.190231,0.055507,0.170136,0.133028,0.028402
0.018003,1335,2173,784,2415,3321,2198,1623,2760,2406,2924,2346,1555,1675,2469,,0.084337,0.298343,0.179909,0.400691,0.511719,0.501250,0.355252,0.071497,0.187739,0.190231,0.053744,0.169231,0.131498,0.028402
0.018027,1335,2172,785,2415,3320,2198,1624,2759,2406,2924,2347,1556,1675,2469,,0.084337,0.292818,0.180822,0.400691,0.509766,0.501250,0.356106,0.070543,0.187739,0.190231,0.054626,0.170136,0.131498,0.028402
0.017997,1335,2172,784,2414,3321,2198,1623,2759,2406,2924,2347,1555,1675,2468,,0.084337,0.292818,0.179909,0.398964,0.511719,0.501250,0.355252,0.070543,0.187739,0.190231,0.054626,0.169231,0.131498,0.027219
0.017975,1334,2173,784,2414,3322,2198,1622,2760,2407,2924,2348,1556,1676,2469,,0.082329,0.298343,0.179909,0.398964,0.513672,0.501250,0.354398,0.071497,0.189017,0.190231,0.055507,0.170136,0.133028,0.028402
0.018023,1335,2173,784,2414,3322,2199,1622,2760,2406,2924,2348,1557,1675,2469,,0.084337,0.298343,0.179909,0.398964,0.513672,0.502500,0.354398,0.071497,0.187739,0.190231,0.055507,0.171041,0.131498,0.028402
0.017979,1335,2172,784,2414,3321,2199,1623,2761,2406,2924,2347,1556,1675,2468,,0.084337,0.292818,0.179909,0.398964,0.511719,0.502500,0.355252,0.072450,0.187739,0.190231,0.054626,0.170136,0.131498,0.027219
0.018000,1336,2173,784,2414,3321,2199,1623,2759,2406,2924,2347,1556,1675,2468,,0.086345,0.298343,0.179909,0.398964,0.511719,0.502500,0.355252,0.070543,0.187739,0.190231,0.054626,0.170136,0.131498,0.027219
0.018028,1335,2172,784,2414,3322,2198,1623,2760,2406,2924,2346,1556,1675,2468,,0.084337,0.292818,0.179909,0.398964,0.513672,0.501250,0.355252,0.071497,0.187739,0.190231,0.053744,0.170136,0.131498,0.027219
0.017974,1335,2173,784,2414,3322,2198,1624,2759,2406,2923,2347,1556,1675,2468,,0.084337,0.298343,0.179909,0.398964,0.513672,0.501250,0.356106,0.070543,0.187739,0.187661,0.054626,0.170136,0.131498,0.027219
0.018003,1335,2172,785,2415,3320,2199,1624,2759,2407,2925,2346,1556,1675,2468,,0.084337,0.292818,0.180822,0.400691,0.509766,0.502500,0.356106,0.070543,0.189017,0.192802,0.053744,0.170136,0.131498,0.027219
0.017998,1335,2172,785,2415,3320,2199,1624,2758,2406,2923,2347,1555,1675,2468,,0.084337,0.292818,0.180822,0.400691,0.509766,0.502500,0.356106,0.069590,0.187739,0.187661,0.054626,0.169231,0.131498,0.027219
0.018026,1334,2172,784,2414,3321,2198,1623,2759,2407,2924,2346,1556,1675,2469,,0.082329,0.292818,0.179909,0.398964,0.511719,0.501250,0.355252,0.070543,0.189017,0.190231,0.053744,0.170136,0.131498,0.028402
0.017977,1334,2173,783,2414,3321,2197,1623,2759,2407,2923,2346,1555,1674,2468,,0.082329,0.298343,0.178995,0.398964,0.511719,0.500000,0.355252,0.070543,0.189017,0.187661,0.053744,0.169231,0.129969,0.027219
0.018001,1334,2173,783,2414,3320,2198,1623,2759,2407,2924,2347,1556,1675,2467,,0.082329,0.298343,0.178995,0.398964,0.509766,0.501250,0.355252,0.070543,0.189017,0.190231,0.054626,0.170136,0.131498,0.026036
0.018023,1335,2173,783,2414,3321,2198,1623,2758,2407,2924,2347,1556,1675,2468,,0.084337,0.298343,0.178995,0.398964,0.511719,0.501250,0.355252,0.069590,0.189017,0.190231,0.054626,0.170136,0.131498,0.027219
0.017976,1335,2173,783,2414,3321,2199,1624,2759,2407,2923,2347,1555,1675,2468,,0.084337,0.298343,0.178995,0.398964,0.511719,0.502500,0.356106,0.070543,0.189017,0.187661,0.054626,0.169231,0.131498,0.027219
0.018001,1335,2172,784,2414,3322,2199,1624,2759,2406,2924,2346,1554,1674,2467,,0.084337,0.292818,0.179909,0.398964,0.513672,0.502500,0.356106,0.070543,0.187739,0.190231,0.053744,0.168326,0.129969,0.026036
0.018001,1335,2173,784,2414,3322,2199,1624,2758,2407,2924,2346,1555,1674,2467,,0.084337,0.298343,0.179909,0.398964,0.513672,0.502500,0.356106,0.069590,0.189017,0.190231,0.053744,0.169231,0.129969,0.026036
0.018002,1336,2173,783,2414,3321,2199,1624,2758,2406,2923,2347,1556,1674,2467,,0.086345,0.298343,0.178995,0.398964,0.511719,0.502500,0.356106,0.069590,0.187739,0.187661,0.054626,0.170136,0.129969,0.026036
0.017999,1334,2172,783,2414,3322,2199,1623,2759,2406,2924,2347,1556,1675,2467,,0.082329,0.292818,0.178995,0.398964,0.513672,0.502500,0.355252,0.070543,0.187739,0.190231,0.054626,0.170136,0.131498,0.026036
0.018001,1333,2173,784,2414,3321,2199,1622,2758,2406,2924,2346,1555,1675,2468,,0.080321,0.298343,0.179909,0.398964,0.511719,0.502500,0.354398,0.069590,0.187739,0.190231,0.053744,0.169231,0.131498,0.027219
0.018024,1333,2173,784,2414,3321,2199,1623,2759,2406,2924,2347,1554,1675,2468,,0.080321,0.298343,0.179909,0.398964,0.511719,0.502500,0.355252,0.070543,0.187739,0.190231,0.054626,0.168326,0.131498,0.027219
0.018009,1336,2174,784,2414,3322,2200,1623,2758,2407,2924,2347,1556,1675,2468,,0.086345,0.303867,0.179909,0.398964,0.513672,0.503750,0.355252,0.069590,0.189017,0.190231,0.054626,0.170136,0.131498,0.027219
0.017969,1334,2173,783,2414,3321,2200,1622,2758,2406,2924,2347,1556,1675,2468,,0.082329,0.298343,0.178995,0.398964,0.511719,0.503750,0.354398,0.069590,0.187739,0.190231,0.054626,0.170136,0.131498,0.027219
0.018000,1335,2173,783,2414,3322,2200,1621,2758,2406,2924,2347,1555,1674,2468,,0.084337,0.298343,0.178995,0.398964,0.513672,0.503750,0.353544,0.069590,0.187739,0.190231,0.054626,0.169231,0.129969,0.027219
0.018002,1334,2173,784,2414,3321,2200,1622,2759,2406,2924,2347,1555,1675,2467,,0.082329,0.298343,0.179909,0.398964,0.511719,0.503750,0.354398,0.070543,0.187739,0.190231,0.054626,0.169231,0.131498,0.026036
0.018029,1334,2172,784,2413,3321,2200,1623,2758,2406,2923,2348,1554,1675,2468,,0.082329,0.292818,0.179909,0.397237,0.511719,0.503750,0.355252,0.069590,0.187739,0.187661,0.055507,0.168326,0.131498,0.027219
0.017999,1334,2173,785,2414,3322,2201,1622,2758,2406,2924,2348,1554,1675,2467,,0.082329,0.298343,0.180822,0.398964,0.513672,0.505000,0.354398,0.069590,0.187739,0.190231,0.055507,0.168326,0.131498,0.026036
0.017975,1332,2172,785,2413,3322,2200,1623,2758,2406,2923,2348,1554,1676,2469,,0.078313,0.292818,0.180822,0.397237,0.513672,0.503750,0.355252,0.069590,0.187739,0.187661,0.055507,0.168326,0.133028,0.028402
0.018010,1334,2172,784,2414,3322,2200,1623,2757,2405,2924,2348,1554,1675,2469,,0.082329,0.292818,0.179909,0.398964,0.513672,0.503750,0.355252,0.068637,0.186462,0.190231,0.055507,0.168326,0.131498,0.028402
0.017991,1335,2173,784,2413,3323,2201,1623,2758,2405,2923,2348,1554,1676,2470,,0.084337,0.298343,0.179909,0.397237,0.515625,0.505000,0.355252,0.069590,0.186462,0.187661,0.055507,0.168326,0.133028,0.029586
0.018024,1334,2172,785,2413,3322,2201,1622,2758,2406,2923,2348,1554,1676,2469,,0.082329,0.292818,0.180822,0.397237,0.513672,0.505000,0.354398,0.069590,0.187739,0.187661,0.055507,0.168326,0.133028,0.028402
0.018002,1334,2173,786,2414,3322,2202,1623,2758,2405,2923,2349,1554,1676,2469,,0.082329,0.298343,0.181735,0.398964,0.513672,0.506250,0.355252,0.069590,0.186462,0.187661,0.056388,0.168326,0.133028,0.028402
0.018006,1334,2173,787,2414,3323,2204,1622,2759,2404,2923,2350,1553,1677,2470,,0.082329,0.298343,0.182648,0.398964,0.515625,0.508750,0.354398,0.070543,0.185185,0.187661,0.057269,0.167421,0.134557,0.029586
0.017972,1333,2172,787,2414,3323,2204,1622,2758,2404,2923,2350,1553,1677,2470,,0.080321,0.292818,0.182648,0.398964,0.515625,0.508750,0.354398,0.069590,0.185185,0.187661,0.057269,0.167421,0.134557,0.029586
0.018001,1334,2172,788,2413,3323,2205,1619,2758,2404,2923,2351,1551,1676,2470,,0.082329,0.292818,0.183562,0.397237,0.515625,0.510000,0.351836,0.069590,0.185185,0.187661,0.058150,0.165611,0.133028,0.029586
0.018026,1334,2172,787,2413,3324,2206,1619,2759,2403,2922,2351,1551,1676,2470,,0.082329,0.292818,0.182648,0.397237,0.517578,0.511250,0.351836,0.070543,0.183908,0.185090,0.058150,0.165611,0.133028,0.029586
0.017976,1334,2172,787,2414,3323,2205,1619,2758,2402,2923,2351,1551,1676,2470,,0.082329,0.292818,0.182648,0.398964,0.515625,0.510000,0.351836,0.069590,0.182631,0.187661,0.058150,0.165611,0.133028,0.029586
0.018000,1333,2172,788,2413,3323,2204,1619,2757,2403,2923,2351,1551,1676,2470,,0.080321,0.292818,0.183562,0.397237,0.515625,0.508750,0.351836,0.068637,0.183908,0.187661,0.058150,0.165611,0.133028,0.029586
0.018027,1334,2171,788,2414,3323,2205,1619,2757,2403,2922,2350,1550,1676,2470,,0.082329,0.287293,0.183562,0.398964,0.515625,0.510000,0.351836,0.068637,0.183908,0.185090,0.057269,0.164706,0.133028,0.029586
0.017998,1333,2171,787,2413,3323,2206,1620,2758,2402,2922,2351,1550,1676,2470,,0.080321,0.287293,0.182648,0.397237,0.515625,0.511250,0.352690,0.069590,0.182631,0.185090,0.058150,0.164706,0.133028,0.029586
0.018000,1333,2172,788,2413,3324,2207,1620,2757,2403,2923,2350,1551,1676,2469,,0.080321,0.292818,0.183562,0.397237,0.517578,0.512500,0.352690,0.068637,0.183908,0.187661,0.057269,0.165611,0.133028,0.028402
0.017977,1333,2172,788,2413,3323,2207,1621,2757,2403,2922,2350,1550,1676,2470,,0.080321,0.292818,0.183562,0.397237,0.515625,0.512500,0.353544,0.068637,0.183908,0.185090,0.057269,0.164706,0.133028,0.029586
0.018000,1334,2172,788,2414,3323,2206,1622,2758,2403,2923,2350,1551,1676,2470,,0.082329,0.292818,0.183562,0.398964,0.515625,0.511250,0.354398,0.069590,0.183908,0.187661,0.057269,0.165611,0.133028,0.029586
0.018029,1333,2172,788,2414,3323,2205,1622,2757,2403,2923,2349,1550,1676,2469,,0.080321,0.292818,0.183562,0.398964,0.515625,0.510000,0.354398,0.068637,0.183908,0.187661,0.056388,0.164706,0.133028,0.028402
