GloveManager recording started on 09/23/16 at 16:57:55

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017525,1370,2185,691,2436,3145,2238,1782,3558,2759,2953,2945,2011,1822,2869,,0.171260,0.364641,0.094977,0.436960,0.167969,0.536496,0.491033,0.832221,0.638570,0.250608,0.581498,0.581900,0.284146,0.502952
0.018020,1370,2185,691,2436,3145,2238,1782,3558,2758,2953,2945,2011,1822,2869,,0.171260,0.364641,0.094977,0.436960,0.167969,0.536496,0.491033,0.832221,0.637292,0.250608,0.581498,0.581900,0.284146,0.502952
0.018004,1370,2185,691,2435,3145,2238,1782,3559,2759,2952,2945,2010,1822,2869,,0.171260,0.364641,0.094977,0.435233,0.167969,0.536496,0.491033,0.833174,0.638570,0.248175,0.581498,0.580996,0.284146,0.502952
0.017978,1369,2185,692,2435,3146,2238,1781,3559,2761,2951,2946,2010,1821,2869,,0.169291,0.364641,0.095890,0.435233,0.169922,0.536496,0.490179,0.833174,0.641124,0.245742,0.582379,0.580996,0.282927,0.502952
0.018042,1370,2185,692,2436,3145,2240,1780,3560,2760,2951,2946,2010,1821,2869,,0.171260,0.364641,0.095890,0.436960,0.167969,0.538929,0.489325,0.834128,0.639847,0.245742,0.582379,0.580996,0.282927,0.502952
0.017951,1369,2185,693,2436,3145,2240,1779,3561,2762,2950,2946,2010,1821,2869,,0.169291,0.364641,0.096804,0.436960,0.167969,0.538929,0.488471,0.835081,0.642401,0.243309,0.582379,0.580996,0.282927,0.502952
0.018001,1368,2185,696,2437,3144,2245,1779,3561,2763,2949,2947,2010,1821,2869,,0.167323,0.364641,0.099543,0.438687,0.166016,0.545012,0.488471,0.835081,0.643678,0.240876,0.583260,0.580996,0.282927,0.502952
0.018010,1367,2185,694,2436,3145,2246,1779,3562,2763,2949,2946,2010,1821,2868,,0.165354,0.364641,0.097717,0.436960,0.167969,0.546229,0.488471,0.836034,0.643678,0.240876,0.582379,0.580996,0.282927,0.501771
0.017995,1368,2185,695,2438,3144,2248,1779,3562,2764,2949,2947,2009,1821,2869,,0.167323,0.364641,0.098630,0.440415,0.166016,0.548662,0.488471,0.836034,0.644955,0.240876,0.583260,0.580091,0.282927,0.502952
0.018021,1367,2186,694,2436,3145,2247,1780,3563,2764,2949,2947,2009,1821,2869,,0.165354,0.370166,0.097717,0.436960,0.167969,0.547445,0.489325,0.836988,0.644955,0.240876,0.583260,0.580091,0.282927,0.502952
0.017989,1367,2185,695,2436,3144,2247,1780,3564,2763,2947,2948,2009,1821,2870,,0.165354,0.364641,0.098630,0.436960,0.166016,0.547445,0.489325,0.837941,0.643678,0.236010,0.584141,0.580091,0.282927,0.504132
0.018029,1366,2185,695,2435,3145,2248,1779,3565,2763,2947,2948,2009,1821,2869,,0.163386,0.364641,0.098630,0.435233,0.167969,0.548662,0.488471,0.838894,0.643678,0.236010,0.584141,0.580091,0.282927,0.502952
0.017998,1366,2185,695,2437,3144,2249,1777,3565,2762,2947,2947,2009,1821,2869,,0.163386,0.364641,0.098630,0.438687,0.166016,0.549878,0.486763,0.838894,0.642401,0.236010,0.583260,0.580091,0.282927,0.502952
0.017978,1364,2184,696,2436,3144,2249,1776,3566,2763,2947,2948,2009,1821,2868,,0.159449,0.359116,0.099543,0.436960,0.166016,0.549878,0.485909,0.839847,0.643678,0.236010,0.584141,0.580091,0.282927,0.501771
0.017988,1365,2184,695,2434,3145,2250,1776,3565,2762,2946,2947,2010,1821,2869,,0.161417,0.359116,0.098630,0.433506,0.167969,0.551095,0.485909,0.838894,0.642401,0.233577,0.583260,0.580996,0.282927,0.502952
0.018012,1364,2185,697,2435,3143,2252,1774,3566,2762,2946,2947,2010,1821,2869,,0.159449,0.364641,0.100457,0.435233,0.164063,0.553528,0.484202,0.839847,0.642401,0.233577,0.583260,0.580996,0.282927,0.502952
0.017991,1363,2185,696,2437,3141,2252,1774,3566,2762,2945,2947,2010,1821,2868,,0.157480,0.364641,0.099543,0.438687,0.160156,0.553528,0.484202,0.839847,0.642401,0.231144,0.583260,0.580996,0.282927,0.501771
0.018035,1363,2185,697,2437,3140,2254,1774,3566,2762,2944,2948,2010,1822,2868,,0.157480,0.364641,0.100457,0.438687,0.158203,0.555961,0.484202,0.839847,0.642401,0.228710,0.584141,0.580996,0.284146,0.501771
0.017968,1365,2186,698,2438,3139,2259,1771,3569,2763,2943,2948,2009,1822,2868,,0.161417,0.370166,0.101370,0.440415,0.156250,0.562044,0.481640,0.842707,0.643678,0.226277,0.584141,0.580091,0.284146,0.501771
0.018023,1366,2186,698,2438,3139,2261,1771,3570,2762,2944,2949,2009,1822,2870,,0.163386,0.370166,0.101370,0.440415,0.156250,0.564477,0.481640,0.843661,0.642401,0.228710,0.585022,0.580091,0.284146,0.504132
0.017977,1366,2187,699,2440,3136,2264,1769,3570,2763,2943,2949,2008,1822,2869,,0.163386,0.375691,0.102283,0.443869,0.150391,0.568126,0.479932,0.843661,0.643678,0.226277,0.585022,0.579186,0.284146,0.502952
0.018033,1367,2187,699,2440,3137,2267,1771,3571,2764,2943,2950,2008,1823,2871,,0.165354,0.375691,0.102283,0.443869,0.152344,0.571776,0.481640,0.844614,0.644955,0.226277,0.585903,0.579186,0.285366,0.505313
0.017972,1369,2186,699,2441,3135,2269,1769,3573,2764,2942,2951,2008,1822,2872,,0.169291,0.370166,0.102283,0.445596,0.148438,0.574209,0.479932,0.846520,0.644955,0.223844,0.586784,0.579186,0.284146,0.506494
0.018033,1369,2187,698,2443,3134,2271,1768,3573,2765,2941,2954,2008,1822,2872,,0.169291,0.375691,0.101370,0.449050,0.146484,0.576642,0.479078,0.846520,0.646232,0.221411,0.589427,0.579186,0.284146,0.506494
0.017962,1370,2188,698,2443,3133,2273,1766,3575,2766,2941,2956,2008,1821,2872,,0.171260,0.381215,0.101370,0.449050,0.144531,0.579075,0.477370,0.848427,0.647510,0.221411,0.591189,0.579186,0.282927,0.506494
0.018001,1371,2188,698,2443,3133,2276,1767,3575,2766,2941,2959,2007,1821,2874,,0.173228,0.381215,0.101370,0.449050,0.144531,0.582725,0.478224,0.848427,0.647510,0.221411,0.593833,0.578281,0.282927,0.508855
0.018010,1374,2188,698,2442,3133,2279,1767,3580,2768,2940,2961,2006,1821,2875,,0.179134,0.381215,0.101370,0.447323,0.144531,0.586375,0.478224,0.853194,0.650064,0.218978,0.595595,0.577376,0.282927,0.510035
0.018028,1375,2188,698,2443,3132,2279,1766,3580,2768,2940,2963,2007,1822,2876,,0.181102,0.381215,0.101370,0.449050,0.142578,0.586375,0.477370,0.853194,0.650064,0.218978,0.597357,0.578281,0.284146,0.511216
0.017979,1373,2189,699,2444,3132,2279,1767,3580,2769,2940,2962,2007,1822,2877,,0.177165,0.386740,0.102283,0.450777,0.142578,0.586375,0.478224,0.853194,0.651341,0.218978,0.596476,0.578281,0.284146,0.512397
0.017999,1373,2189,699,2444,3132,2279,1767,3580,2769,2940,2963,2007,1822,2876,,0.177165,0.386740,0.102283,0.450777,0.142578,0.586375,0.478224,0.853194,0.651341,0.218978,0.597357,0.578281,0.284146,0.511216
0.017997,1373,2188,700,2445,3131,2281,1765,3581,2768,2940,2963,2007,1821,2876,,0.177165,0.381215,0.103196,0.452504,0.140625,0.588808,0.476516,0.854147,0.650064,0.218978,0.597357,0.578281,0.282927,0.511216
0.018020,1373,2188,699,2445,3131,2280,1765,3581,2768,2940,2963,2007,1822,2876,,0.177165,0.381215,0.102283,0.452504,0.140625,0.587591,0.476516,0.854147,0.650064,0.218978,0.597357,0.578281,0.284146,0.511216
0.017967,1374,2188,700,2444,3131,2282,1764,3580,2767,2940,2964,2007,1822,2876,,0.179134,0.381215,0.103196,0.450777,0.140625,0.590024,0.475662,0.853194,0.648787,0.218978,0.598238,0.578281,0.284146,0.511216
