GloveManager recording started on 09/23/16 at 16:29:57

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017696,1879,2474,967,2200,3076,1843,1263,2700,2495,2935,2325,1772,2083,3176,,0.798639,0.757576,0.380048,0.051760,0.043779,0.273585,0.027875,0.006931,0.247110,0.313208,0.031034,0.473973,0.441145,0.826863
0.017999,1880,2474,966,2199,3077,1842,1262,2701,2495,2935,2325,1772,2083,3176,,0.800000,0.757576,0.378860,0.049689,0.046083,0.272013,0.027003,0.007921,0.247110,0.313208,0.031034,0.473973,0.441145,0.826863
0.017956,1879,2473,967,2199,3077,1843,1262,2701,2495,2934,2324,1772,2083,3176,,0.798639,0.755050,0.380048,0.049689,0.046083,0.273585,0.027003,0.007921,0.247110,0.309434,0.029885,0.473973,0.441145,0.826863
0.018022,1880,2472,968,2199,3076,1842,1263,2699,2496,2935,2325,1772,2083,3176,,0.800000,0.752525,0.381235,0.049689,0.043779,0.272013,0.027875,0.005941,0.248555,0.313208,0.031034,0.473973,0.441145,0.826863
0.018005,1879,2473,968,2199,3078,1842,1261,2701,2495,2934,2324,1772,2084,3177,,0.798639,0.755050,0.381235,0.049689,0.048387,0.272013,0.026132,0.007921,0.247110,0.309434,0.029885,0.473973,0.442206,0.827912
0.017997,1879,2472,969,2200,3076,1843,1261,2700,2496,2934,2323,1772,2084,3177,,0.798639,0.752525,0.382423,0.051760,0.043779,0.273585,0.026132,0.006931,0.248555,0.309434,0.028736,0.473973,0.442206,0.827912
0.018000,1878,2471,970,2200,3076,1843,1261,2700,2497,2934,2324,1773,2084,3177,,0.797279,0.750000,0.383610,0.051760,0.043779,0.273585,0.026132,0.006931,0.250000,0.309434,0.029885,0.475342,0.442206,0.827912
0.018027,1877,2472,969,2200,3078,1844,1260,2701,2496,2935,2323,1773,2083,3176,,0.795918,0.752525,0.382423,0.051760,0.048387,0.275157,0.025261,0.007921,0.248555,0.313208,0.028736,0.475342,0.441145,0.826863
0.018001,1877,2471,969,2201,3077,1843,1260,2700,2496,2934,2323,1773,2083,3177,,0.795918,0.750000,0.382423,0.053830,0.046083,0.273585,0.025261,0.006931,0.248555,0.309434,0.028736,0.475342,0.441145,0.827912
0.018001,1877,2471,969,2200,3077,1844,1261,2700,2496,2935,2323,1773,2082,3176,,0.795918,0.750000,0.382423,0.051760,0.046083,0.275157,0.026132,0.006931,0.248555,0.313208,0.028736,0.475342,0.440085,0.826863
