GloveManager recording started on 09/23/16 at 16:30:38

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017425,1555,2198,704,2350,3367,2198,1711,3252,2661,3021,2960,1968,1772,2895,,0.368984,0.076923,0.067696,0.339147,0.673913,0.745070,0.404040,0.558708,0.486994,0.601424,0.750267,0.742466,0.111347,0.560591
0.018002,1555,2198,704,2349,3367,2197,1710,3251,2660,3021,2960,1968,1771,2895,,0.368984,0.076923,0.067696,0.337209,0.673913,0.743662,0.403199,0.557730,0.485549,0.601424,0.750267,0.742466,0.110286,0.560591
0.018001,1555,2198,705,2349,3367,2196,1711,3252,2661,3022,2960,1968,1771,2895,,0.368984,0.076923,0.068884,0.337209,0.673913,0.742254,0.404040,0.558708,0.486994,0.604982,0.750267,0.742466,0.110286,0.560591
0.018001,1555,2199,703,2350,3367,2198,1710,3252,2661,3021,2960,1967,1770,2894,,0.368984,0.079404,0.066508,0.339147,0.673913,0.745070,0.403199,0.558708,0.486994,0.601424,0.750267,0.741096,0.109226,0.559606
0.018000,1555,2199,705,2350,3367,2198,1710,3253,2661,3020,2961,1968,1771,2895,,0.368984,0.079404,0.068884,0.339147,0.673913,0.745070,0.403199,0.559687,0.486994,0.597865,0.751334,0.742466,0.110286,0.560591
0.018000,1555,2199,704,2350,3367,2196,1710,3252,2659,3021,2960,1968,1770,2895,,0.368984,0.079404,0.067696,0.339147,0.673913,0.742254,0.403199,0.558708,0.484104,0.601424,0.750267,0.742466,0.109226,0.560591
0.018000,1555,2199,704,2350,3367,2196,1710,3253,2659,3021,2961,1968,1770,2894,,0.368984,0.079404,0.067696,0.339147,0.673913,0.742254,0.403199,0.559687,0.484104,0.601424,0.751334,0.742466,0.109226,0.559606
0.018002,1555,2199,705,2351,3366,2197,1710,3251,2659,3022,2961,1967,1769,2895,,0.368984,0.079404,0.068884,0.341085,0.671739,0.743662,0.403199,0.557730,0.484104,0.604982,0.751334,0.741096,0.108165,0.560591
0.018000,1554,2199,704,2350,3367,2197,1709,3253,2657,3021,2961,1968,1769,2894,,0.367647,0.079404,0.067696,0.339147,0.673913,0.743662,0.402357,0.559687,0.481214,0.601424,0.751334,0.742466,0.108165,0.559606
0.017980,1555,2199,704,2350,3366,2197,1709,3252,2658,3021,2962,1967,1769,2894,,0.368984,0.079404,0.067696,0.339147,0.671739,0.743662,0.402357,0.558708,0.482659,0.601424,0.752401,0.741096,0.108165,0.559606
0.018022,1554,2200,705,2350,3366,2197,1709,3253,2658,3020,2962,1968,1768,2894,,0.367647,0.081886,0.068884,0.339147,0.671739,0.743662,0.402357,0.559687,0.482659,0.597865,0.752401,0.742466,0.107105,0.559606
