GloveManager recording started on 09/23/16 at 16:34:27

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017285,1248,2199,890,2335,3075,2041,1252,2691,2522,2899,2368,1788,1808,2447,,0.174825,0.306878,0.240415,0.605691,0.068323,0.440273,0.027174,0.016611,0.308316,0.181818,0.157462,0.117166,0.287425,0.134146
0.017977,1255,2200,892,2335,3075,2040,1253,2691,2522,2898,2367,1786,1804,2448,,0.199301,0.312169,0.242487,0.605691,0.068323,0.438567,0.028261,0.016611,0.308316,0.178322,0.156287,0.111717,0.282635,0.135366
0.018000,1260,2199,894,2337,3075,2040,1252,2691,2521,2898,2366,1785,1801,2447,,0.216783,0.306878,0.244560,0.613821,0.068323,0.438567,0.027174,0.016611,0.306288,0.178322,0.155112,0.108992,0.279042,0.134146
0.018026,1270,2199,898,2339,3076,2042,1251,2692,2523,2898,2365,1784,1795,2447,,0.251748,0.306878,0.248705,0.621951,0.071429,0.441980,0.026087,0.017719,0.310345,0.178322,0.153937,0.106267,0.271856,0.134146
0.017976,1273,2198,901,2340,3077,2043,1251,2691,2524,2898,2365,1783,1792,2448,,0.262238,0.301587,0.251813,0.626016,0.074534,0.443686,0.026087,0.016611,0.312373,0.178322,0.153937,0.103542,0.268263,0.135366
0.018000,1274,2198,902,2340,3077,2045,1252,2692,2525,2898,2365,1782,1790,2448,,0.265734,0.301587,0.252850,0.626016,0.074534,0.447099,0.027174,0.017719,0.314402,0.178322,0.153937,0.100817,0.265868,0.135366
0.018025,1274,2198,902,2340,3077,2046,1252,2692,2526,2899,2365,1781,1787,2448,,0.265734,0.301587,0.252850,0.626016,0.074534,0.448805,0.027174,0.017719,0.316430,0.181818,0.153937,0.098093,0.262275,0.135366
0.018004,1273,2198,899,2337,3077,2046,1252,2692,2528,2899,2365,1781,1786,2449,,0.262238,0.301587,0.249741,0.613821,0.074534,0.448805,0.027174,0.017719,0.320487,0.181818,0.153937,0.098093,0.261078,0.136585
0.017952,1269,2197,894,2336,3075,2048,1253,2692,2527,2900,2366,1780,1786,2450,,0.248252,0.296296,0.244560,0.609756,0.068323,0.452218,0.028261,0.017719,0.318458,0.185315,0.155112,0.095368,0.261078,0.137805
0.018027,1263,2197,883,2331,3077,2048,1253,2691,2529,2899,2366,1781,1786,2451,,0.227273,0.296296,0.233161,0.589431,0.074534,0.452218,0.028261,0.016611,0.322515,0.181818,0.155112,0.098093,0.261078,0.139024
0.017995,1247,2198,870,2323,3075,2048,1253,2691,2530,2899,2367,1781,1786,2453,,0.171329,0.301587,0.219689,0.556911,0.068323,0.452218,0.028261,0.016611,0.324544,0.181818,0.156287,0.098093,0.261078,0.141463
0.018025,1237,2196,867,2312,3075,2046,1252,2690,2530,2898,2368,1781,1785,2455,,0.136364,0.291005,0.216580,0.512195,0.068323,0.448805,0.027174,0.015504,0.324544,0.178322,0.157462,0.098093,0.259880,0.143902
