GloveManager recording started on 09/23/16 at 16:35:58

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017157,1392,2261,968,2245,3082,2019,1448,2713,2770,3044,3142,2160,1737,2386,,0.538889,0.576923,0.321244,0.239837,0.098361,0.431250,0.245140,0.048352,0.827778,0.688811,0.996750,0.847605,0.202395,0.090802
0.018019,1392,2262,971,2246,3082,2019,1446,2712,2769,3045,3142,2161,1738,2386,,0.538889,0.581731,0.324352,0.243902,0.098361,0.431250,0.242981,0.047253,0.825926,0.692308,0.996750,0.849057,0.203593,0.090802
0.018028,1392,2262,973,2246,3083,2018,1445,2710,2769,3047,3142,2162,1738,2386,,0.538889,0.581731,0.326425,0.243902,0.101093,0.429688,0.241901,0.045055,0.825926,0.699301,0.996750,0.850508,0.203593,0.090802
0.017984,1392,2262,974,2246,3082,2018,1445,2710,2768,3049,3141,2163,1738,2386,,0.538889,0.581731,0.327461,0.243902,0.098361,0.429688,0.241901,0.045055,0.824074,0.706294,0.995666,0.851959,0.203593,0.090802
0.018014,1393,2262,975,2246,3083,2018,1445,2709,2768,3051,3140,2163,1737,2385,,0.541667,0.581731,0.328497,0.243902,0.101093,0.429688,0.241901,0.043956,0.824074,0.713287,0.994583,0.851959,0.202395,0.089623
0.017949,1392,2262,975,2245,3083,2017,1445,2708,2767,3051,3138,2161,1737,2384,,0.538889,0.581731,0.328497,0.239837,0.101093,0.428125,0.241901,0.042857,0.822222,0.713287,0.992416,0.849057,0.202395,0.088443
0.018013,1392,2263,977,2245,3082,2018,1446,2705,2766,3053,3136,2156,1737,2383,,0.538889,0.586538,0.330570,0.239837,0.098361,0.429688,0.242981,0.039560,0.820370,0.720280,0.990249,0.841800,0.202395,0.087264
0.018035,1394,2264,975,2245,3084,2018,1449,2703,2763,3053,3132,2152,1740,2381,,0.544444,0.591346,0.328497,0.239837,0.103825,0.429688,0.246220,0.037363,0.814815,0.720280,0.985915,0.835994,0.205988,0.084906
0.017968,1394,2263,974,2245,3082,2018,1449,2700,2754,3059,3123,2139,1743,2379,,0.544444,0.586538,0.327461,0.239837,0.098361,0.429688,0.246220,0.034066,0.798148,0.741259,0.976165,0.817126,0.209581,0.082547
0.018007,1392,2264,970,2244,3083,2018,1446,2699,2749,3062,3119,2132,1747,2380,,0.538889,0.591346,0.323316,0.235772,0.101093,0.429688,0.242981,0.032967,0.788889,0.751748,0.971831,0.806967,0.214371,0.083726
0.017997,1394,2265,966,2244,3083,2018,1445,2698,2746,3065,3117,2128,1757,2380,,0.544444,0.596154,0.319171,0.235772,0.101093,0.429688,0.241901,0.031868,0.783333,0.762238,0.969664,0.801161,0.226347,0.083726
0.017969,1397,2269,961,2244,3082,2019,1444,2697,2744,3065,3114,2123,1764,2382,,0.552778,0.615385,0.313990,0.235772,0.098361,0.431250,0.240821,0.030769,0.779630,0.762238,0.966414,0.793904,0.234731,0.086085
