GloveManager recording started on 09/23/16 at 17:00:55

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017502,1354,2436,791,2347,3142,2226,2149,3753,2792,3129,3063,2083,2390,3304,,0.586667,0.885475,0.242347,0.352436,0.120235,0.563725,0.807093,0.998965,0.899772,0.807018,0.833333,0.803241,0.939141,0.971598
0.017998,1354,2437,792,2347,3142,2226,2150,3752,2792,3129,3063,2084,2390,3304,,0.586667,0.888268,0.244898,0.352436,0.120235,0.563725,0.807958,0.997930,0.899772,0.807018,0.833333,0.805556,0.939141,0.971598
0.018029,1354,2436,791,2347,3142,2225,2150,3751,2791,3129,3062,2083,2389,3304,,0.586667,0.885475,0.242347,0.352436,0.120235,0.561275,0.807958,0.996894,0.897494,0.807018,0.831884,0.803241,0.937948,0.971598
0.017984,1354,2436,791,2348,3141,2226,2150,3752,2791,3130,3062,2083,2389,3304,,0.586667,0.885475,0.242347,0.355301,0.117302,0.563725,0.807958,0.997930,0.897494,0.809942,0.831884,0.803241,0.937948,0.971598
0.017989,1355,2436,791,2348,3141,2226,2150,3753,2791,3129,3063,2084,2390,3304,,0.590000,0.885475,0.242347,0.355301,0.117302,0.563725,0.807958,0.998965,0.897494,0.807018,0.833333,0.805556,0.939141,0.971598
0.018000,1354,2437,791,2347,3140,2226,2150,3753,2792,3130,3063,2084,2389,3305,,0.586667,0.888268,0.242347,0.352436,0.114370,0.563725,0.807958,0.998965,0.899772,0.809942,0.833333,0.805556,0.937948,0.972781
0.018002,1355,2436,791,2348,3141,2226,2149,3752,2792,3130,3063,2083,2389,3304,,0.590000,0.885475,0.242347,0.355301,0.117302,0.563725,0.807093,0.997930,0.899772,0.809942,0.833333,0.803241,0.937948,0.971598
0.018000,1353,2437,791,2348,3141,2226,2150,3752,2790,3130,3063,2084,2389,3304,,0.583333,0.888268,0.242347,0.355301,0.117302,0.563725,0.807958,0.997930,0.895216,0.809942,0.833333,0.805556,0.937948,0.971598
0.018038,1356,2436,792,2348,3141,2226,2149,3754,2791,3129,3063,2084,2390,3304,,0.593333,0.885475,0.244898,0.355301,0.117302,0.563725,0.807093,1.000000,0.897494,0.807018,0.833333,0.805556,0.939141,0.971598
0.017964,1354,2437,791,2348,3140,2226,2149,3752,2791,3130,3063,2084,2390,3304,,0.586667,0.888268,0.242347,0.355301,0.114370,0.563725,0.807093,0.997930,0.897494,0.809942,0.833333,0.805556,0.939141,0.971598
0.018001,1355,2437,791,2348,3141,2226,2149,3752,2792,3129,3063,2084,2389,3304,,0.590000,0.888268,0.242347,0.355301,0.117302,0.563725,0.807093,0.997930,0.899772,0.807018,0.833333,0.805556,0.937948,0.971598
0.018001,1355,2437,791,2348,3142,2226,2149,3754,2792,3130,3063,2083,2390,3304,,0.590000,0.888268,0.242347,0.355301,0.120235,0.563725,0.807093,1.000000,0.899772,0.809942,0.833333,0.803241,0.939141,0.971598
0.018028,1355,2436,790,2349,3140,2226,2149,3752,2792,3129,3063,2083,2388,3304,,0.590000,0.885475,0.239796,0.358166,0.114370,0.563725,0.807093,0.997930,0.899772,0.807018,0.833333,0.803241,0.936754,0.971598
0.017989,1355,2437,791,2347,3140,2226,2149,3753,2791,3130,3063,2083,2389,3304,,0.590000,0.888268,0.242347,0.352436,0.114370,0.563725,0.807093,0.998965,0.897494,0.809942,0.833333,0.803241,0.937948,0.971598
0.017985,1355,2437,792,2349,3142,2226,2149,3752,2791,3130,3063,2084,2389,3304,,0.590000,0.888268,0.244898,0.358166,0.120235,0.563725,0.807093,0.997930,0.897494,0.809942,0.833333,0.805556,0.937948,0.971598
0.018002,1354,2437,791,2349,3141,2225,2149,3753,2791,3130,3064,2083,2390,3304,,0.586667,0.888268,0.242347,0.358166,0.117302,0.561275,0.807093,0.998965,0.897494,0.809942,0.834783,0.803241,0.939141,0.971598
0.018000,1354,2436,791,2348,3141,2227,2150,3753,2791,3130,3063,2084,2389,3304,,0.586667,0.885475,0.242347,0.355301,0.117302,0.566176,0.807958,0.998965,0.897494,0.809942,0.833333,0.805556,0.937948,0.971598
0.018001,1355,2437,791,2347,3141,2226,2150,3753,2791,3130,3063,2084,2390,3305,,0.590000,0.888268,0.242347,0.352436,0.117302,0.563725,0.807958,0.998965,0.897494,0.809942,0.833333,0.805556,0.939141,0.972781
0.018034,1354,2436,792,2346,3142,2226,2150,3753,2791,3129,3063,2084,2390,3305,,0.586667,0.885475,0.244898,0.349570,0.120235,0.563725,0.807958,0.998965,0.897494,0.807018,0.833333,0.805556,0.939141,0.972781
0.017967,1354,2436,792,2348,3141,2226,2150,3752,2792,3131,3064,2084,2390,3304,,0.586667,0.885475,0.244898,0.355301,0.117302,0.563725,0.807958,0.997930,0.899772,0.812865,0.834783,0.805556,0.939141,0.971598
0.018002,1355,2437,792,2349,3141,2227,2150,3752,2791,3130,3063,2084,2389,3305,,0.590000,0.888268,0.244898,0.358166,0.117302,0.566176,0.807958,0.997930,0.897494,0.809942,0.833333,0.805556,0.937948,0.972781
0.018000,1354,2437,792,2348,3141,2227,2149,3753,2791,3129,3063,2084,2389,3304,,0.586667,0.888268,0.244898,0.355301,0.117302,0.566176,0.807093,0.998965,0.897494,0.807018,0.833333,0.805556,0.937948,0.971598
0.017979,1354,2437,792,2349,3141,2227,2150,3753,2792,3130,3063,2084,2390,3305,,0.586667,0.888268,0.244898,0.358166,0.117302,0.566176,0.807958,0.998965,0.899772,0.809942,0.833333,0.805556,0.939141,0.972781
0.018032,1354,2436,792,2349,3141,2227,2150,3752,2792,3129,3064,2083,2390,3304,,0.586667,0.885475,0.244898,0.358166,0.117302,0.566176,0.807958,0.997930,0.899772,0.807018,0.834783,0.803241,0.939141,0.971598
0.017992,1354,2437,791,2349,3142,2227,2150,3753,2792,3130,3063,2083,2390,3305,,0.586667,0.888268,0.242347,0.358166,0.120235,0.566176,0.807958,0.998965,0.899772,0.809942,0.833333,0.803241,0.939141,0.972781
0.018004,1354,2437,792,2350,3140,2228,2149,3754,2791,3129,3065,2084,2390,3304,,0.586667,0.888268,0.244898,0.361032,0.114370,0.568627,0.807093,1.000000,0.897494,0.807018,0.836232,0.805556,0.939141,0.971598
0.018027,1355,2437,791,2350,3142,2228,2149,3755,2791,3130,3065,2084,2390,3304,,0.590000,0.888268,0.242347,0.361032,0.120235,0.568627,0.807093,1.000000,0.897494,0.809942,0.836232,0.805556,0.939141,0.971598
0.017971,1354,2438,791,2349,3142,2227,2149,3752,2791,3130,3064,2084,2390,3304,,0.586667,0.891061,0.242347,0.358166,0.120235,0.566176,0.807093,0.996898,0.897494,0.809942,0.834783,0.805556,0.939141,0.971598
0.018035,1355,2437,792,2349,3140,2228,2149,3754,2792,3130,3064,2084,2390,3305,,0.590000,0.888268,0.244898,0.358166,0.114370,0.568627,0.807093,0.998966,0.899772,0.809942,0.834783,0.805556,0.939141,0.972781
0.017966,1354,2438,791,2350,3141,2228,2149,3753,2792,3131,3064,2084,2390,3305,,0.586667,0.891061,0.242347,0.361032,0.117302,0.568627,0.807093,0.997932,0.899772,0.812865,0.834783,0.805556,0.939141,0.972781
0.018025,1355,2438,791,2349,3141,2229,2151,3753,2792,3130,3064,2084,2391,3305,,0.590000,0.891061,0.242347,0.358166,0.117302,0.571078,0.808824,0.997932,0.899772,0.809942,0.834783,0.805556,0.940334,0.972781
0.017976,1355,2438,792,2350,3142,2227,2149,3753,2792,3130,3065,2084,2391,3305,,0.590000,0.891061,0.244898,0.361032,0.120235,0.566176,0.807093,0.997932,0.899772,0.809942,0.836232,0.805556,0.940334,0.972781
0.018002,1355,2437,792,2350,3141,2229,2150,3752,2791,3130,3065,2084,2391,3305,,0.590000,0.888268,0.244898,0.361032,0.117302,0.571078,0.807958,0.996898,0.897494,0.809942,0.836232,0.805556,0.940334,0.972781
0.018012,1355,2438,791,2350,3142,2228,2150,3752,2791,3130,3064,2083,2391,3305,,0.590000,0.891061,0.242347,0.361032,0.120235,0.568627,0.807958,0.996898,0.897494,0.809942,0.834783,0.803241,0.940334,0.972781
0.018012,1355,2438,791,2350,3140,2228,2150,3753,2792,3131,3064,2084,2390,3305,,0.590000,0.891061,0.242347,0.361032,0.114370,0.568627,0.807958,0.997932,0.899772,0.812865,0.834783,0.805556,0.939141,0.972781
0.018001,1355,2437,792,2350,3141,2228,2150,3753,2791,3130,3064,2084,2391,3305,,0.590000,0.888268,0.244898,0.361032,0.117302,0.568627,0.807958,0.997932,0.897494,0.809942,0.834783,0.805556,0.940334,0.972781
0.017959,1355,2437,792,2350,3141,2228,2150,3754,2792,3130,3063,2084,2391,3305,,0.590000,0.888268,0.244898,0.361032,0.117302,0.568627,0.807958,0.998966,0.899772,0.809942,0.833333,0.805556,0.940334,0.972781
0.018020,1354,2438,792,2349,3141,2227,2150,3752,2791,3131,3065,2083,2391,3305,,0.586667,0.891061,0.244898,0.358166,0.117302,0.566176,0.807958,0.996898,0.897494,0.812865,0.836232,0.803241,0.940334,0.972781
0.018011,1355,2438,791,2350,3141,2228,2150,3754,2792,3131,3065,2083,2391,3305,,0.590000,0.891061,0.242347,0.361032,0.117302,0.568627,0.807958,0.998966,0.899772,0.812865,0.836232,0.803241,0.940334,0.972781
0.017989,1355,2437,792,2351,3140,2227,2151,3753,2792,3130,3064,2084,2391,3306,,0.590000,0.888268,0.244898,0.363897,0.114370,0.566176,0.808824,0.997932,0.899772,0.809942,0.834783,0.805556,0.940334,0.973965
0.018027,1356,2438,792,2351,3142,2228,2151,3753,2792,3131,3064,2084,2391,3305,,0.593333,0.891061,0.244898,0.363897,0.120235,0.568627,0.808824,0.997932,0.899772,0.812865,0.834783,0.805556,0.940334,0.972781
0.017974,1355,2439,792,2350,3141,2228,2151,3754,2791,3130,3064,2084,2392,3305,,0.590000,0.893855,0.244898,0.361032,0.117302,0.568627,0.808824,0.998966,0.897494,0.809942,0.834783,0.805556,0.941527,0.972781
0.018001,1356,2438,792,2351,3140,2229,2150,3752,2792,3131,3065,2084,2391,3305,,0.593333,0.891061,0.244898,0.363897,0.114370,0.571078,0.807958,0.996898,0.899772,0.812865,0.836232,0.805556,0.940334,0.972781
0.018012,1355,2438,792,2350,3140,2227,2150,3753,2792,3131,3065,2083,2391,3305,,0.590000,0.891061,0.244898,0.361032,0.114370,0.566176,0.807958,0.997932,0.899772,0.812865,0.836232,0.803241,0.940334,0.972781
0.017991,1355,2438,793,2350,3141,2227,2150,3753,2791,3130,3065,2083,2392,3305,,0.590000,0.891061,0.247449,0.361032,0.117302,0.566176,0.807958,0.997932,0.897494,0.809942,0.836232,0.803241,0.941527,0.972781
0.018001,1356,2439,793,2351,3141,2227,2150,3753,2792,3130,3066,2084,2392,3306,,0.593333,0.893855,0.247449,0.363897,0.117302,0.566176,0.807958,0.997932,0.899772,0.809942,0.837681,0.805556,0.941527,0.973965
0.018001,1355,2439,792,2350,3141,2228,2150,3753,2792,3131,3065,2083,2392,3305,,0.590000,0.893855,0.244898,0.361032,0.117302,0.568627,0.807958,0.997932,0.899772,0.812865,0.836232,0.803241,0.941527,0.972781
0.017999,1356,2438,792,2350,3140,2227,2150,3753,2792,3131,3065,2084,2392,3305,,0.593333,0.891061,0.244898,0.361032,0.114370,0.566176,0.807958,0.997932,0.899772,0.812865,0.836232,0.805556,0.941527,0.972781
0.018015,1355,2438,791,2351,3141,2229,2150,3752,2792,3131,3065,2084,2392,3305,,0.590000,0.891061,0.242347,0.363897,0.117302,0.571078,0.807958,0.996898,0.899772,0.812865,0.836232,0.805556,0.941527,0.972781
0.017988,1355,2439,792,2350,3141,2228,2151,3753,2792,3130,3065,2083,2391,3305,,0.590000,0.893855,0.244898,0.361032,0.117302,0.568627,0.808824,0.997932,0.899772,0.809942,0.836232,0.803241,0.940334,0.972781
0.018034,1356,2438,792,2350,3142,2227,2151,3752,2792,3131,3064,2084,2392,3305,,0.593333,0.891061,0.244898,0.361032,0.120235,0.566176,0.808824,0.996898,0.899772,0.812865,0.834783,0.805556,0.941527,0.972781
0.018002,1355,2440,791,2351,3140,2228,2150,3755,2793,3130,3064,2084,2392,3306,,0.590000,0.896648,0.242347,0.363897,0.114370,0.568627,0.807958,1.000000,0.902050,0.809942,0.834783,0.805556,0.941527,0.973965
0.017995,1356,2438,792,2350,3142,2228,2151,3754,2792,3132,3065,2084,2392,3306,,0.593333,0.891061,0.244898,0.361032,0.120235,0.568627,0.808824,0.998966,0.899772,0.815789,0.836232,0.805556,0.941527,0.973965
0.017992,1356,2439,792,2350,3142,2227,2151,3753,2792,3131,3065,2083,2392,3307,,0.593333,0.893855,0.244898,0.361032,0.120235,0.566176,0.808824,0.997932,0.899772,0.812865,0.836232,0.803241,0.941527,0.975148
