GloveManager recording started on 09/23/16 at 17:03:25

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017228,1293,2374,1931,2250,3124,2118,1302,2725,2470,2874,2553,1766,1661,2568,,0.264368,0.543710,0.907539,0.073232,0.138144,0.414493,0.074394,0.030986,0.251534,0.061404,0.289773,0.165298,0.100346,0.191489
0.018026,1293,2374,1930,2251,3124,2117,1303,2725,2469,2874,2552,1766,1660,2568,,0.264368,0.543710,0.906828,0.075758,0.138144,0.413527,0.075260,0.030986,0.249489,0.061404,0.288636,0.165298,0.099193,0.191489
0.018000,1293,2374,1929,2251,3124,2117,1301,2725,2470,2875,2551,1766,1659,2568,,0.264368,0.543710,0.906117,0.075758,0.138144,0.413527,0.073529,0.030986,0.251534,0.064327,0.287500,0.165298,0.098039,0.191489
0.018003,1293,2374,1925,2250,3124,2118,1301,2725,2470,2875,2552,1766,1659,2567,,0.264368,0.543710,0.903272,0.073232,0.138144,0.414493,0.073529,0.030986,0.251534,0.064327,0.288636,0.165298,0.098039,0.190426
0.017974,1292,2374,1920,2249,3125,2117,1300,2725,2469,2875,2551,1767,1658,2568,,0.262069,0.543710,0.899715,0.070707,0.140206,0.413527,0.072664,0.030986,0.249489,0.064327,0.287500,0.166324,0.096886,0.191489
0.018001,1293,2375,1914,2248,3124,2118,1301,2725,2469,2874,2552,1766,1656,2568,,0.264368,0.545842,0.895448,0.068182,0.138144,0.414493,0.073529,0.030986,0.249489,0.061404,0.288636,0.165298,0.094579,0.191489
0.018001,1292,2376,1906,2246,3125,2118,1302,2724,2471,2875,2551,1767,1654,2568,,0.262069,0.547974,0.889758,0.063131,0.140206,0.414493,0.074394,0.030047,0.253579,0.064327,0.287500,0.166324,0.092272,0.191489
0.018024,1291,2377,1905,2247,3125,2118,1301,2725,2471,2875,2551,1767,1651,2569,,0.259770,0.550107,0.889047,0.065657,0.140206,0.414493,0.073529,0.030986,0.253579,0.064327,0.287500,0.166324,0.088812,0.192553
0.018003,1290,2381,1906,2247,3125,2116,1301,2725,2472,2875,2550,1769,1653,2569,,0.257471,0.558635,0.889758,0.065657,0.140206,0.412560,0.073529,0.030986,0.255624,0.064327,0.286364,0.168378,0.091119,0.192553
