GloveManager recording started on 09/23/16 at 16:46:16

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017477,1537,2304,725,2330,3108,1798,1284,2737,2622,2988,2593,2023,1831,2473,,0.462848,0.512748,0.197219,0.259341,0.150905,0.223760,0.063463,0.060307,0.465447,0.426174,0.424516,0.734146,0.245685,0.143725
0.018035,1537,2304,725,2329,3109,1798,1285,2737,2622,2988,2593,2024,1830,2474,,0.462848,0.512748,0.197219,0.257143,0.152918,0.223760,0.064370,0.060307,0.465447,0.426174,0.424516,0.735366,0.244670,0.144737
0.017967,1536,2304,724,2328,3110,1798,1286,2738,2622,2988,2592,2024,1831,2474,,0.461300,0.512748,0.195954,0.254945,0.154930,0.223760,0.065277,0.061404,0.465447,0.426174,0.423226,0.735366,0.245685,0.144737
0.017999,1537,2302,723,2330,3109,1799,1286,2737,2621,2987,2593,2022,1830,2473,,0.462848,0.507082,0.194690,0.259341,0.152918,0.224913,0.065277,0.060307,0.463415,0.422819,0.424516,0.732927,0.244670,0.143725
0.018040,1537,2303,724,2331,3108,1800,1285,2737,2621,2988,2593,2021,1830,2474,,0.462848,0.509915,0.195954,0.261538,0.150905,0.226067,0.064370,0.060307,0.463415,0.426174,0.424516,0.731707,0.244670,0.144737
0.017991,1539,2303,724,2331,3108,1799,1285,2736,2621,2988,2594,2021,1829,2474,,0.465944,0.509915,0.195954,0.261538,0.150905,0.224913,0.064370,0.059211,0.463415,0.426174,0.425806,0.731707,0.243655,0.144737
0.017972,1537,2303,724,2329,3108,1800,1285,2736,2620,2987,2593,2020,1828,2474,,0.462848,0.509915,0.195954,0.257143,0.150905,0.226067,0.064370,0.059211,0.461382,0.422819,0.424516,0.730488,0.242640,0.144737
0.018013,1538,2303,724,2329,3108,1800,1285,2734,2621,2987,2593,2020,1828,2475,,0.464396,0.509915,0.195954,0.257143,0.150905,0.226067,0.064370,0.057018,0.463415,0.422819,0.424516,0.730488,0.242640,0.145749
0.018013,1537,2304,724,2330,3109,1800,1285,2735,2621,2987,2593,2020,1828,2475,,0.462848,0.512748,0.195954,0.259341,0.152918,0.226067,0.064370,0.058114,0.463415,0.422819,0.424516,0.730488,0.242640,0.145749
0.018006,1538,2305,724,2331,3109,1801,1286,2736,2621,2987,2592,2020,1828,2476,,0.464396,0.515581,0.195954,0.261538,0.152918,0.227220,0.065277,0.059211,0.463415,0.422819,0.423226,0.730488,0.242640,0.146761
0.017971,1538,2304,724,2329,3109,1801,1286,2736,2620,2988,2593,2021,1828,2476,,0.464396,0.512748,0.195954,0.257143,0.152918,0.227220,0.065277,0.059211,0.461382,0.426174,0.424516,0.731707,0.242640,0.146761
0.018014,1538,2304,725,2329,3109,1800,1284,2736,2620,2988,2592,2022,1828,2477,,0.464396,0.512748,0.197219,0.257143,0.152918,0.226067,0.063463,0.059211,0.461382,0.426174,0.423226,0.732927,0.242640,0.147773
0.017988,1538,2304,724,2327,3108,1801,1285,2736,2620,2987,2591,2020,1827,2477,,0.464396,0.512748,0.195954,0.252747,0.150905,0.227220,0.064370,0.059211,0.461382,0.422819,0.421935,0.730488,0.241624,0.147773
0.018017,1536,2304,725,2327,3108,1800,1285,2735,2619,2988,2592,2020,1828,2476,,0.461300,0.512748,0.197219,0.252747,0.150905,0.226067,0.064370,0.058114,0.459350,0.426174,0.423226,0.730488,0.242640,0.146761
0.018023,1536,2306,725,2326,3108,1802,1284,2734,2619,2988,2593,2020,1828,2476,,0.461300,0.518414,0.197219,0.250549,0.150905,0.228374,0.063463,0.057018,0.459350,0.426174,0.424516,0.730488,0.242640,0.146761
0.017997,1538,2304,725,2326,3108,1803,1285,2733,2619,2988,2593,2016,1828,2476,,0.464396,0.512748,0.197219,0.250549,0.150905,0.229527,0.064370,0.055921,0.459350,0.426174,0.424516,0.725610,0.242640,0.146761
0.017965,1538,2306,725,2325,3107,1803,1285,2733,2618,2988,2593,2015,1827,2476,,0.464396,0.518414,0.197219,0.248352,0.148893,0.229527,0.064370,0.055921,0.457317,0.426174,0.424516,0.724390,0.241624,0.146761
0.018011,1539,2305,726,2326,3108,1805,1285,2733,2619,2988,2594,2016,1828,2477,,0.465944,0.515581,0.198483,0.250549,0.150905,0.231834,0.064370,0.055921,0.459350,0.426174,0.425806,0.725610,0.242640,0.147773
0.017994,1539,2305,725,2326,3108,1804,1284,2733,2618,2988,2594,2017,1827,2477,,0.465944,0.515581,0.197219,0.250549,0.150905,0.230681,0.063463,0.055921,0.457317,0.426174,0.425806,0.726829,0.241624,0.147773
0.018042,1538,2305,724,2325,3107,1805,1284,2732,2619,2988,2593,2018,1827,2476,,0.464396,0.515581,0.195954,0.248352,0.148893,0.231834,0.063463,0.054825,0.459350,0.426174,0.424516,0.728049,0.241624,0.146761
0.017997,1538,2305,724,2326,3108,1805,1284,2732,2619,2988,2593,2019,1827,2477,,0.464396,0.515581,0.195954,0.250549,0.150905,0.231834,0.063463,0.054825,0.459350,0.426174,0.424516,0.729268,0.241624,0.147773
0.017963,1538,2305,724,2326,3108,1805,1284,2732,2619,2989,2594,2019,1827,2477,,0.464396,0.515581,0.195954,0.250549,0.150905,0.231834,0.063463,0.054825,0.459350,0.429530,0.425806,0.729268,0.241624,0.147773
0.018001,1538,2304,724,2325,3109,1805,1285,2731,2619,2989,2594,2019,1827,2478,,0.464396,0.512748,0.195954,0.248352,0.152918,0.231834,0.064370,0.053728,0.459350,0.429530,0.425806,0.729268,0.241624,0.148785
0.018001,1538,2304,725,2326,3108,1806,1284,2730,2618,2988,2594,2018,1827,2477,,0.464396,0.512748,0.197219,0.250549,0.150905,0.232987,0.063463,0.052632,0.457317,0.426174,0.425806,0.728049,0.241624,0.147773
0.018039,1537,2304,724,2325,3106,1806,1285,2730,2617,2988,2593,2018,1827,2477,,0.462848,0.512748,0.195954,0.248352,0.146881,0.232987,0.064370,0.052632,0.455285,0.426174,0.424516,0.728049,0.241624,0.147773
0.018000,1537,2305,725,2325,3108,1807,1284,2730,2617,2989,2594,2017,1827,2478,,0.462848,0.515581,0.197219,0.248352,0.150905,0.234141,0.063463,0.052632,0.455285,0.429530,0.425806,0.726829,0.241624,0.148785
0.017947,1539,2305,725,2325,3106,1807,1284,2729,2618,2989,2594,2018,1827,2478,,0.465944,0.515581,0.197219,0.248352,0.146881,0.234141,0.063463,0.051535,0.457317,0.429530,0.425806,0.728049,0.241624,0.148785
0.018018,1538,2305,725,2324,3107,1807,1284,2729,2617,2989,2594,2018,1826,2478,,0.464396,0.515581,0.197219,0.246154,0.148893,0.234141,0.063463,0.051535,0.455285,0.429530,0.425806,0.728049,0.240609,0.148785
0.018000,1538,2305,725,2324,3107,1808,1284,2730,2617,2989,2594,2017,1827,2477,,0.464396,0.515581,0.197219,0.246154,0.148893,0.235294,0.063463,0.052632,0.455285,0.429530,0.425806,0.726829,0.241624,0.147773
0.017999,1540,2305,725,2322,3107,1808,1283,2730,2617,2990,2594,2017,1826,2477,,0.467492,0.515581,0.197219,0.241758,0.148893,0.235294,0.062557,0.052632,0.455285,0.432886,0.425806,0.726829,0.240609,0.147773
0.018010,1538,2305,725,2323,3107,1808,1284,2729,2617,2989,2594,2016,1826,2477,,0.464396,0.515581,0.197219,0.243956,0.148893,0.235294,0.063463,0.051535,0.455285,0.429530,0.425806,0.725610,0.240609,0.147773
0.017996,1539,2305,725,2323,3106,1808,1284,2729,2618,2990,2594,2016,1826,2478,,0.465944,0.515581,0.197219,0.243956,0.146881,0.235294,0.063463,0.051535,0.457317,0.432886,0.425806,0.725610,0.240609,0.148785
0.018003,1540,2304,725,2323,3106,1808,1284,2729,2618,2990,2594,2016,1825,2478,,0.467492,0.512748,0.197219,0.243956,0.146881,0.235294,0.063463,0.051535,0.457317,0.432886,0.425806,0.725610,0.239594,0.148785
0.018032,1540,2305,725,2323,3107,1809,1283,2730,2617,2990,2594,2017,1827,2478,,0.467492,0.515581,0.197219,0.243956,0.148893,0.236448,0.062557,0.052632,0.455285,0.432886,0.425806,0.726829,0.241624,0.148785
0.017964,1540,2304,725,2323,3107,1808,1284,2729,2617,2989,2594,2016,1826,2478,,0.467492,0.512748,0.197219,0.243956,0.148893,0.235294,0.063463,0.051535,0.455285,0.429530,0.425806,0.725610,0.240609,0.148785
0.018036,1540,2304,725,2323,3106,1809,1283,2729,2618,2990,2594,2016,1826,2477,,0.467492,0.512748,0.197219,0.243956,0.146881,0.236448,0.062557,0.051535,0.457317,0.432886,0.425806,0.725610,0.240609,0.147773
0.017944,1540,2303,726,2323,3106,1809,1283,2729,2618,2989,2594,2014,1826,2478,,0.467492,0.509915,0.198483,0.243956,0.146881,0.236448,0.062557,0.051535,0.457317,0.429530,0.425806,0.723171,0.240609,0.148785
0.018033,1538,2305,726,2322,3108,1809,1284,2729,2618,2990,2595,2014,1825,2478,,0.464396,0.515581,0.198483,0.241758,0.150905,0.236448,0.063463,0.051535,0.457317,0.432886,0.427097,0.723171,0.239594,0.148785
0.018024,1539,2305,725,2323,3107,1810,1285,2730,2617,2989,2594,2014,1825,2478,,0.465944,0.515581,0.197219,0.243956,0.148893,0.237601,0.064370,0.052632,0.455285,0.429530,0.425806,0.723171,0.239594,0.148785
0.017966,1539,2305,725,2323,3107,1810,1285,2729,2616,2989,2594,2012,1824,2478,,0.465944,0.515581,0.197219,0.243956,0.148893,0.237601,0.064370,0.051535,0.453252,0.429530,0.425806,0.720732,0.238579,0.148785
0.018008,1538,2304,725,2321,3107,1810,1284,2728,2616,2989,2593,2012,1824,2478,,0.464396,0.512748,0.197219,0.239560,0.148893,0.237601,0.063463,0.050439,0.453252,0.429530,0.424516,0.720732,0.238579,0.148785
0.018020,1539,2304,726,2322,3108,1810,1284,2728,2616,2990,2594,2010,1823,2478,,0.465944,0.512748,0.198483,0.241758,0.150905,0.237601,0.063463,0.050439,0.453252,0.432886,0.425806,0.718293,0.237563,0.148785
0.018003,1538,2304,725,2321,3107,1811,1285,2729,2616,2989,2593,2010,1822,2478,,0.464396,0.512748,0.197219,0.239560,0.148893,0.238754,0.064370,0.051535,0.453252,0.429530,0.424516,0.718293,0.236548,0.148785
0.017986,1538,2305,726,2322,3107,1810,1286,2727,2616,2990,2594,2009,1822,2478,,0.464396,0.515581,0.198483,0.241758,0.148893,0.237601,0.065277,0.049342,0.453252,0.432886,0.425806,0.717073,0.236548,0.148785
0.017995,1539,2306,726,2321,3107,1811,1286,2727,2617,2990,2595,2008,1822,2478,,0.465944,0.518414,0.198483,0.239560,0.148893,0.238754,0.065277,0.049342,0.455285,0.432886,0.427097,0.715854,0.236548,0.148785
0.018020,1541,2305,725,2321,3107,1811,1285,2727,2617,2990,2594,2007,1823,2479,,0.469040,0.515581,0.197219,0.239560,0.148893,0.238754,0.064370,0.049342,0.455285,0.432886,0.425806,0.714634,0.237563,0.149798
0.018000,1541,2306,725,2322,3107,1812,1285,2727,2616,2989,2594,2008,1823,2479,,0.469040,0.518414,0.197219,0.241758,0.148893,0.239908,0.064370,0.049342,0.453252,0.429530,0.425806,0.715854,0.237563,0.149798
0.018010,1540,2306,725,2321,3107,1812,1283,2725,2616,2989,2594,2008,1822,2479,,0.467492,0.518414,0.197219,0.239560,0.148893,0.239908,0.062557,0.047149,0.453252,0.429530,0.425806,0.715854,0.236548,0.149798
0.017962,1540,2305,725,2322,3107,1812,1284,2726,2616,2990,2594,2008,1822,2478,,0.467492,0.515581,0.197219,0.241758,0.148893,0.239908,0.063463,0.048246,0.453252,0.432886,0.425806,0.715854,0.236548,0.148785
0.018002,1541,2306,725,2321,3107,1812,1284,2724,2616,2990,2594,2007,1822,2479,,0.469040,0.518414,0.197219,0.239560,0.148893,0.239908,0.063463,0.046053,0.453252,0.432886,0.425806,0.714634,0.236548,0.149798
0.018037,1541,2306,725,2321,3107,1813,1284,2726,2616,2989,2594,2007,1822,2478,,0.469040,0.518414,0.197219,0.239560,0.148893,0.241061,0.063463,0.048246,0.453252,0.429530,0.425806,0.714634,0.236548,0.148785
0.017967,1541,2306,725,2321,3106,1812,1284,2725,2615,2990,2593,2007,1822,2479,,0.469040,0.518414,0.197219,0.239560,0.146881,0.239908,0.063463,0.047149,0.451219,0.432886,0.424516,0.714634,0.236548,0.149798
0.017954,1541,2306,724,2320,3108,1812,1283,2725,2616,2990,2593,2007,1822,2478,,0.469040,0.518414,0.195954,0.237363,0.150905,0.239908,0.062557,0.047149,0.453252,0.432886,0.424516,0.714634,0.236548,0.148785
0.018078,1542,2305,725,2321,3106,1812,1283,2726,2616,2991,2594,2008,1821,2478,,0.470588,0.515581,0.197219,0.239560,0.146881,0.239908,0.062557,0.048246,0.453252,0.436242,0.425806,0.715854,0.235533,0.148785
0.017994,1542,2306,724,2321,3107,1812,1284,2725,2616,2991,2593,2007,1822,2478,,0.470588,0.518414,0.195954,0.239560,0.148893,0.239908,0.063463,0.047149,0.453252,0.436242,0.424516,0.714634,0.236548,0.148785
