GloveManager recording started on 09/23/16 at 16:39:02

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017519,1381,2238,728,2277,3074,1886,1245,2824,2396,2892,2445,1571,1763,2542,,0.240135,0.186898,0.091509,0.152941,0.075163,0.359589,0.021121,0.178744,0.196571,0.155512,0.223907,0.146371,0.172070,0.254885
0.018031,1381,2237,729,2277,3074,1886,1245,2823,2396,2891,2445,1571,1764,2542,,0.240135,0.184971,0.092333,0.152941,0.075163,0.359589,0.021121,0.177778,0.196571,0.153543,0.223907,0.146371,0.172901,0.254885
0.017997,1382,2238,728,2276,3073,1890,1246,2823,2395,2893,2445,1571,1764,2542,,0.241263,0.186898,0.091509,0.151261,0.073529,0.364155,0.021933,0.177778,0.195429,0.157480,0.223907,0.146371,0.172901,0.254885
0.017999,1382,2237,729,2275,3072,1892,1245,2823,2395,2892,2444,1572,1765,2542,,0.241263,0.184971,0.092333,0.149580,0.071895,0.366438,0.021121,0.177778,0.195429,0.155512,0.223015,0.147601,0.173732,0.254885
0.017977,1383,2236,730,2274,3073,1895,1245,2823,2395,2892,2444,1571,1764,2542,,0.242390,0.183044,0.093157,0.147899,0.073529,0.369863,0.021121,0.177778,0.195429,0.155512,0.223015,0.146371,0.172901,0.254885
0.018002,1382,2237,729,2274,3073,1895,1245,2823,2396,2893,2443,1571,1764,2542,,0.241263,0.184971,0.092333,0.147899,0.073529,0.369863,0.021121,0.177778,0.196571,0.157480,0.222123,0.146371,0.172901,0.254885
0.018031,1383,2238,729,2275,3072,1894,1244,2823,2396,2893,2442,1572,1764,2541,,0.242390,0.186898,0.092333,0.149580,0.071895,0.368721,0.020309,0.177778,0.196571,0.157480,0.221231,0.147601,0.172901,0.253996
0.018001,1383,2239,729,2275,3072,1894,1244,2822,2395,2895,2441,1573,1763,2541,,0.242390,0.188825,0.092333,0.149580,0.071895,0.368721,0.020309,0.176812,0.195429,0.161417,0.220339,0.148831,0.172070,0.253996
0.017970,1384,2237,730,2275,3073,1898,1244,2821,2394,2896,2439,1573,1764,2540,,0.243517,0.184971,0.093157,0.149580,0.073529,0.373288,0.020309,0.175845,0.194286,0.163386,0.218555,0.148831,0.172901,0.253108
0.017999,1385,2237,730,2275,3073,1899,1244,2821,2393,2896,2439,1573,1764,2540,,0.244645,0.184971,0.093157,0.149580,0.073529,0.374429,0.020309,0.175845,0.193143,0.163386,0.218555,0.148831,0.172901,0.253108
0.018027,1385,2237,731,2275,3073,1900,1243,2821,2392,2896,2438,1573,1764,2540,,0.244645,0.184971,0.093982,0.149580,0.073529,0.375571,0.019496,0.175845,0.192000,0.163386,0.217663,0.148831,0.172901,0.253108
0.017975,1384,2237,730,2275,3073,1899,1243,2820,2393,2896,2438,1572,1764,2540,,0.243517,0.184971,0.093157,0.149580,0.073529,0.374429,0.019496,0.174879,0.193143,0.163386,0.217663,0.147601,0.172901,0.253108
0.018000,1383,2237,730,2275,3073,1898,1243,2821,2392,2896,2436,1572,1763,2539,,0.242390,0.184971,0.093157,0.149580,0.073529,0.373288,0.019496,0.175845,0.192000,0.163386,0.215879,0.147601,0.172070,0.252220
0.018025,1384,2237,731,2275,3073,1898,1243,2820,2393,2896,2435,1572,1764,2540,,0.243517,0.184971,0.093982,0.149580,0.073529,0.373288,0.019496,0.174879,0.193143,0.163386,0.214987,0.147601,0.172901,0.253108
0.017976,1383,2237,731,2275,3074,1896,1244,2821,2394,2896,2434,1573,1764,2540,,0.242390,0.184971,0.093982,0.149580,0.075163,0.371005,0.020309,0.175845,0.194286,0.163386,0.214095,0.148831,0.172901,0.253108
0.018001,1384,2236,732,2275,3074,1896,1245,2821,2394,2896,2433,1573,1764,2540,,0.243517,0.183044,0.094806,0.149580,0.075163,0.371005,0.021121,0.175845,0.194286,0.163386,0.213202,0.148831,0.172901,0.253108
