GloveManager recording started on 09/23/16 at 16:39:56

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017190,1766,2471,722,2381,3168,1927,2197,3445,2910,3070,3182,2008,2047,3273,,0.674183,0.635838,0.086562,0.327731,0.228758,0.406393,0.794476,0.778744,0.784000,0.505906,0.881356,0.696934,0.408146,0.904085
0.018042,1765,2470,721,2382,3169,1926,2198,3443,2910,3068,3181,2008,2046,3273,,0.673055,0.633911,0.085738,0.329412,0.230392,0.405251,0.795288,0.776812,0.784000,0.501969,0.880464,0.696934,0.407315,0.904085
0.017978,1765,2471,721,2381,3167,1927,2198,3445,2910,3068,3181,2008,2047,3273,,0.673055,0.635838,0.085738,0.327731,0.227124,0.406393,0.795288,0.778744,0.784000,0.501969,0.880464,0.696934,0.408146,0.904085
0.018000,1764,2470,721,2380,3168,1928,2197,3443,2909,3069,3181,2008,2047,3273,,0.671928,0.633911,0.085738,0.326050,0.228758,0.407534,0.794476,0.776812,0.782857,0.503937,0.880464,0.696934,0.408146,0.904085
0.018025,1763,2470,721,2380,3167,1928,2196,3443,2910,3069,3181,2008,2047,3273,,0.670800,0.633911,0.085738,0.326050,0.227124,0.407534,0.793664,0.776812,0.784000,0.503937,0.880464,0.696934,0.408146,0.904085
0.018001,1764,2470,721,2380,3167,1927,2197,3444,2909,3068,3181,2007,2047,3274,,0.671928,0.633911,0.085738,0.326050,0.227124,0.406393,0.794476,0.777778,0.782857,0.501969,0.880464,0.695755,0.408146,0.904973
0.017978,1764,2471,721,2381,3166,1930,2196,3444,2910,3068,3180,2008,2047,3274,,0.671928,0.635838,0.085738,0.327731,0.225490,0.409817,0.793664,0.777778,0.784000,0.501969,0.879572,0.696934,0.408146,0.904973
0.018000,1764,2471,722,2381,3167,1930,2196,3445,2910,3068,3180,2008,2047,3274,,0.671928,0.635838,0.086562,0.327731,0.227124,0.409817,0.793664,0.778744,0.784000,0.501969,0.879572,0.696934,0.408146,0.904973
0.018000,1764,2471,723,2381,3166,1929,2197,3445,2909,3068,3180,2008,2048,3275,,0.671928,0.635838,0.087387,0.327731,0.225490,0.408676,0.794476,0.778744,0.782857,0.501969,0.879572,0.696934,0.408978,0.905861
0.018025,1765,2470,722,2381,3165,1929,2197,3445,2910,3068,3181,2007,2048,3274,,0.673055,0.633911,0.086562,0.327731,0.223856,0.408676,0.794476,0.778744,0.784000,0.501969,0.880464,0.695755,0.408978,0.904973
0.017976,1765,2471,722,2381,3166,1929,2196,3445,2909,3068,3180,2008,2048,3274,,0.673055,0.635838,0.086562,0.327731,0.225490,0.408676,0.793664,0.778744,0.782857,0.501969,0.879572,0.696934,0.408978,0.904973
0.018003,1765,2471,723,2380,3164,1930,2196,3444,2909,3069,3181,2008,2048,3275,,0.673055,0.635838,0.087387,0.326050,0.222222,0.409817,0.793664,0.777778,0.782857,0.503937,0.880464,0.696934,0.408978,0.905861
0.018013,1766,2471,722,2380,3165,1929,2196,3445,2909,3068,3180,2008,2048,3275,,0.674183,0.635838,0.086562,0.326050,0.223856,0.408676,0.793664,0.778744,0.782857,0.501969,0.879572,0.696934,0.408978,0.905861
0.017987,1765,2472,721,2381,3165,1928,2196,3444,2909,3068,3180,2008,2048,3274,,0.673055,0.637765,0.085738,0.327731,0.223856,0.407534,0.793664,0.777778,0.782857,0.501969,0.879572,0.696934,0.408978,0.904973
0.017980,1766,2471,722,2381,3165,1928,2197,3444,2909,3069,3180,2008,2049,3275,,0.674183,0.635838,0.086562,0.327731,0.223856,0.407534,0.794476,0.777778,0.782857,0.503937,0.879572,0.696934,0.409809,0.905861
0.018021,1768,2472,722,2380,3164,1928,2196,3444,2909,3069,3180,2008,2050,3275,,0.676437,0.637765,0.086562,0.326050,0.222222,0.407534,0.793664,0.777778,0.782857,0.503937,0.879572,0.696934,0.410640,0.905861
0.018001,1767,2474,723,2380,3165,1927,2196,3445,2910,3068,3181,2007,2050,3275,,0.675310,0.641618,0.087387,0.326050,0.223856,0.406393,0.793664,0.778744,0.784000,0.501969,0.880464,0.695755,0.410640,0.905861
0.018028,1768,2473,722,2380,3163,1927,2196,3444,2910,3068,3180,2007,2051,3275,,0.676437,0.639692,0.086562,0.326050,0.220588,0.406393,0.793664,0.777778,0.784000,0.501969,0.879572,0.695755,0.411471,0.905861
0.018000,1768,2472,722,2379,3164,1927,2195,3445,2909,3069,3180,2008,2052,3275,,0.676437,0.637765,0.086562,0.324370,0.222222,0.406393,0.792851,0.778744,0.782857,0.503937,0.879572,0.696934,0.412303,0.905861
0.017975,1768,2472,723,2380,3164,1928,2195,3445,2909,3069,3180,2007,2051,3275,,0.676437,0.637765,0.087387,0.326050,0.222222,0.407534,0.792851,0.778744,0.782857,0.503937,0.879572,0.695755,0.411471,0.905861
0.018000,1768,2472,722,2380,3163,1927,2196,3445,2909,3069,3180,2007,2051,3275,,0.676437,0.637765,0.086562,0.326050,0.220588,0.406393,0.793664,0.778744,0.782857,0.503937,0.879572,0.695755,0.411471,0.905861
0.018025,1768,2472,722,2380,3165,1926,2196,3445,2909,3069,3180,2008,2051,3275,,0.676437,0.637765,0.086562,0.326050,0.223856,0.405251,0.793664,0.778744,0.782857,0.503937,0.879572,0.696934,0.411471,0.905861
0.017977,1768,2472,722,2380,3164,1926,2196,3445,2909,3069,3180,2007,2051,3274,,0.676437,0.637765,0.086562,0.326050,0.222222,0.405251,0.793664,0.778744,0.782857,0.503937,0.879572,0.695755,0.411471,0.904973
0.018001,1770,2474,723,2380,3164,1927,2196,3444,2908,3069,3181,2008,2052,3275,,0.678692,0.641618,0.087387,0.326050,0.222222,0.406393,0.793664,0.777778,0.781714,0.503937,0.880464,0.696934,0.412303,0.905861
0.018027,1770,2474,723,2379,3165,1926,2196,3445,2909,3069,3181,2007,2054,3276,,0.678692,0.641618,0.087387,0.324370,0.223856,0.405251,0.793664,0.778744,0.782857,0.503937,0.880464,0.695755,0.413965,0.906750
0.018003,1770,2473,722,2379,3163,1926,2196,3445,2908,3069,3180,2008,2054,3276,,0.678692,0.639692,0.086562,0.324370,0.220588,0.405251,0.793664,0.778744,0.781714,0.503937,0.879572,0.696934,0.413965,0.906750
0.017975,1770,2473,722,2379,3163,1926,2196,3444,2908,3068,3180,2007,2054,3276,,0.678692,0.639692,0.086562,0.324370,0.220588,0.405251,0.793664,0.777778,0.781714,0.501969,0.879572,0.695755,0.413965,0.906750
0.018000,1769,2472,723,2379,3163,1925,2196,3445,2908,3068,3181,2008,2054,3276,,0.677565,0.637765,0.087387,0.324370,0.220588,0.404110,0.793664,0.778744,0.781714,0.501969,0.880464,0.696934,0.413965,0.906750
0.018000,1770,2472,722,2379,3163,1925,2196,3445,2909,3068,3180,2008,2054,3276,,0.678692,0.637765,0.086562,0.324370,0.220588,0.404110,0.793664,0.778744,0.782857,0.501969,0.879572,0.696934,0.413965,0.906750
0.017999,1769,2472,722,2379,3163,1926,2196,3446,2909,3068,3181,2008,2055,3276,,0.677565,0.637765,0.086562,0.324370,0.220588,0.405251,0.793664,0.779710,0.782857,0.501969,0.880464,0.696934,0.414796,0.906750
0.018027,1771,2474,723,2380,3162,1927,2196,3445,2909,3068,3181,2008,2056,3277,,0.679820,0.641618,0.087387,0.326050,0.218954,0.406393,0.793664,0.778744,0.782857,0.501969,0.880464,0.696934,0.415628,0.907638
0.017976,1771,2474,723,2379,3163,1925,2196,3446,2908,3069,3181,2008,2055,3277,,0.679820,0.641618,0.087387,0.324370,0.220588,0.404110,0.793664,0.779710,0.781714,0.503937,0.880464,0.696934,0.414796,0.907638
0.018027,1770,2473,722,2378,3163,1927,2196,3446,2907,3069,3181,2008,2056,3276,,0.678692,0.639692,0.086562,0.322689,0.220588,0.406393,0.793664,0.779710,0.780571,0.503937,0.880464,0.696934,0.415628,0.906750
0.017975,1771,2475,723,2379,3162,1927,2195,3446,2908,3068,3180,2009,2057,3276,,0.679820,0.643545,0.087387,0.324370,0.218954,0.406393,0.792851,0.779710,0.781714,0.501969,0.879572,0.698113,0.416459,0.906750
0.018001,1771,2473,723,2379,3162,1927,2195,3445,2908,3069,3180,2009,2058,3277,,0.679820,0.639692,0.087387,0.324370,0.218954,0.406393,0.792851,0.778744,0.781714,0.503937,0.879572,0.698113,0.417290,0.907638
0.018001,1771,2473,722,2380,3161,1927,2195,3446,2909,3068,3180,2008,2057,3277,,0.679820,0.639692,0.086562,0.326050,0.217320,0.406393,0.792851,0.779710,0.782857,0.501969,0.879572,0.696934,0.416459,0.907638
GloveManager recording started on 09/23/16 at 16:40:02

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017832,1603,2417,784,2312,3076,1879,1838,3170,2783,3101,3223,2019,1878,3241,,0.490417,0.531792,0.137675,0.211765,0.078431,0.351598,0.502843,0.513043,0.638857,0.566929,0.917930,0.709906,0.267664,0.875666
0.018023,1602,2419,783,2312,3077,1879,1838,3169,2784,3100,3223,2019,1878,3241,,0.489290,0.535645,0.136851,0.211765,0.080065,0.351598,0.502843,0.512077,0.640000,0.564961,0.917930,0.709906,0.267664,0.875666
0.018002,1602,2418,783,2312,3076,1880,1838,3169,2784,3100,3224,2019,1878,3241,,0.489290,0.533719,0.136851,0.211765,0.078431,0.352740,0.502843,0.512077,0.640000,0.564961,0.918822,0.709906,0.267664,0.875666
0.017998,1603,2418,782,2313,3075,1880,1837,3170,2783,3100,3223,2019,1877,3241,,0.490417,0.533719,0.136026,0.213445,0.076797,0.352740,0.502031,0.513043,0.638857,0.564961,0.917930,0.709906,0.266833,0.875666
0.018004,1603,2419,782,2312,3076,1881,1838,3169,2783,3100,3223,2019,1877,3241,,0.490417,0.535645,0.136026,0.211765,0.078431,0.353881,0.502843,0.512077,0.638857,0.564961,0.917930,0.709906,0.266833,0.875666
0.018005,1603,2419,782,2312,3075,1882,1840,3169,2783,3099,3222,2019,1876,3243,,0.490417,0.535645,0.136026,0.211765,0.076797,0.355023,0.504468,0.512077,0.638857,0.562992,0.917038,0.709906,0.266002,0.877442
0.017970,1604,2418,782,2312,3076,1883,1840,3167,2782,3099,3224,2018,1876,3243,,0.491545,0.533719,0.136026,0.211765,0.078431,0.356164,0.504468,0.510145,0.637714,0.562992,0.918822,0.708726,0.266002,0.877442
0.018002,1604,2418,782,2311,3075,1884,1841,3168,2782,3098,3224,2018,1876,3242,,0.491545,0.533719,0.136026,0.210084,0.076797,0.357306,0.505280,0.511111,0.637714,0.561024,0.918822,0.708726,0.266002,0.876554
0.018027,1605,2418,782,2312,3075,1884,1841,3167,2782,3098,3224,2018,1876,3243,,0.492672,0.533719,0.136026,0.211765,0.076797,0.357306,0.505280,0.510145,0.637714,0.561024,0.918822,0.708726,0.266002,0.877442
0.017998,1604,2418,782,2312,3075,1884,1839,3167,2782,3097,3224,2019,1876,3243,,0.491545,0.533719,0.136026,0.211765,0.076797,0.357306,0.503656,0.510145,0.637714,0.559055,0.918822,0.709906,0.266002,0.877442
0.017976,1603,2416,782,2312,3074,1885,1838,3167,2781,3097,3224,2018,1876,3244,,0.490417,0.529865,0.136026,0.211765,0.075163,0.358447,0.502843,0.510145,0.636571,0.559055,0.918822,0.708726,0.266002,0.878330
0.017999,1601,2417,783,2310,3074,1885,1839,3167,2780,3096,3224,2020,1877,3243,,0.488162,0.531792,0.136851,0.208403,0.075163,0.358447,0.503656,0.510145,0.635429,0.557087,0.918822,0.711085,0.266833,0.877442
0.018027,1601,2417,783,2311,3074,1888,1838,3167,2780,3096,3224,2019,1878,3243,,0.488162,0.531792,0.136851,0.210084,0.075163,0.361872,0.502843,0.510145,0.635429,0.557087,0.918822,0.709906,0.267664,0.877442
0.017998,1600,2416,785,2311,3075,1889,1837,3166,2779,3095,3225,2019,1877,3243,,0.487035,0.529865,0.138500,0.210084,0.076797,0.363014,0.502031,0.509179,0.634286,0.555118,0.919715,0.709906,0.266833,0.877442
0.018001,1599,2416,784,2310,3075,1889,1837,3166,2778,3095,3224,2020,1877,3243,,0.485908,0.529865,0.137675,0.208403,0.076797,0.363014,0.502031,0.509179,0.633143,0.555118,0.918822,0.711085,0.266833,0.877442
0.017977,1598,2415,784,2311,3074,1890,1837,3165,2778,3095,3225,2020,1878,3243,,0.484780,0.527938,0.137675,0.210084,0.075163,0.364155,0.502031,0.508213,0.633143,0.555118,0.919715,0.711085,0.267664,0.877442
0.018001,1596,2415,785,2308,3074,1891,1838,3164,2777,3094,3225,2020,1878,3243,,0.482525,0.527938,0.138500,0.205042,0.075163,0.365297,0.502843,0.507246,0.632000,0.553150,0.919715,0.711085,0.267664,0.877442
0.018023,1594,2414,783,2306,3074,1895,1842,3164,2776,3094,3224,2020,1878,3243,,0.480271,0.526012,0.136851,0.201681,0.075163,0.369863,0.506093,0.507246,0.630857,0.553150,0.918822,0.711085,0.267664,0.877442
0.018004,1592,2413,782,2305,3073,1896,1843,3163,2776,3094,3224,2019,1878,3242,,0.478016,0.524085,0.136026,0.200000,0.073529,0.371005,0.506905,0.506280,0.630857,0.553150,0.918822,0.709906,0.267664,0.876554
0.017975,1591,2412,782,2304,3073,1899,1842,3165,2776,3094,3223,2019,1878,3242,,0.476888,0.522158,0.136026,0.198319,0.073529,0.374429,0.506093,0.508213,0.630857,0.553150,0.917930,0.709906,0.267664,0.876554
0.018011,1591,2412,781,2302,3074,1900,1841,3166,2778,3093,3224,2020,1880,3243,,0.476888,0.522158,0.135202,0.194958,0.075163,0.375571,0.505280,0.509179,0.633143,0.551181,0.918822,0.711085,0.269327,0.877442
0.018017,1592,2412,781,2302,3074,1903,1842,3165,2778,3092,3224,2019,1880,3243,,0.478016,0.522158,0.135202,0.194958,0.075163,0.378995,0.506093,0.508213,0.633143,0.549213,0.918822,0.709906,0.269327,0.877442
0.017999,1592,2413,780,2302,3074,1905,1841,3166,2778,3092,3223,2019,1880,3243,,0.478016,0.524085,0.134378,0.194958,0.075163,0.381279,0.505280,0.509179,0.633143,0.549213,0.917930,0.709906,0.269327,0.877442
0.017975,1593,2412,780,2303,3073,1904,1838,3167,2779,3093,3223,2019,1880,3244,,0.479143,0.522158,0.134378,0.196639,0.073529,0.380137,0.502843,0.510145,0.634286,0.551181,0.917930,0.709906,0.269327,0.878330
0.018005,1593,2412,779,2304,3074,1902,1837,3168,2781,3093,3223,2019,1879,3243,,0.479143,0.522158,0.133553,0.198319,0.075163,0.377854,0.502031,0.511111,0.636571,0.551181,0.917930,0.709906,0.268495,0.877442
0.017976,1595,2412,779,2304,3074,1900,1836,3169,2781,3094,3224,2019,1879,3245,,0.481398,0.522158,0.133553,0.198319,0.075163,0.375571,0.501218,0.512077,0.636571,0.553150,0.918822,0.709906,0.268495,0.879218
0.018046,1597,2412,778,2306,3072,1901,1836,3169,2783,3094,3223,2019,1879,3245,,0.483653,0.522158,0.132729,0.201681,0.071895,0.376712,0.501218,0.512077,0.638857,0.553150,0.917930,0.709906,0.268495,0.879218
0.017978,1597,2412,778,2304,3074,1899,1835,3169,2782,3094,3224,2019,1879,3244,,0.483653,0.522158,0.132729,0.198319,0.075163,0.374429,0.500406,0.512077,0.637714,0.553150,0.918822,0.709906,0.268495,0.878330
0.018000,1596,2413,779,2306,3075,1899,1835,3169,2782,3095,3223,2020,1879,3244,,0.482525,0.524085,0.133553,0.201681,0.076797,0.374429,0.500406,0.512077,0.637714,0.555118,0.917930,0.711085,0.268495,0.878330
0.018023,1594,2410,779,2306,3073,1894,1837,3169,2782,3095,3224,2018,1878,3244,,0.480271,0.518304,0.133553,0.201681,0.073529,0.368721,0.502031,0.512077,0.637714,0.555118,0.918822,0.708726,0.267664,0.878330
0.018011,1594,2410,780,2306,3074,1892,1838,3169,2783,3095,3225,2019,1879,3244,,0.480271,0.518304,0.134378,0.201681,0.075163,0.366438,0.502843,0.512077,0.638857,0.555118,0.919715,0.709906,0.268495,0.878330
GloveManager recording started on 09/23/16 at 16:40:06

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017314,1594,2411,776,2306,3070,1952,1864,3147,2770,3082,3231,2019,1879,3260,,0.480271,0.520231,0.131080,0.201681,0.068627,0.434932,0.523964,0.490821,0.624000,0.529528,0.925067,0.709906,0.268495,0.892540
0.018003,1595,2412,776,2306,3070,1952,1864,3147,2772,3082,3231,2019,1879,3261,,0.481398,0.522158,0.131080,0.201681,0.068627,0.434932,0.523964,0.490821,0.626286,0.529528,0.925067,0.709906,0.268495,0.893428
0.018000,1594,2411,776,2305,3069,1951,1863,3146,2771,3082,3231,2019,1879,3261,,0.480271,0.520231,0.131080,0.200000,0.066993,0.433790,0.523152,0.489855,0.625143,0.529528,0.925067,0.709906,0.268495,0.893428
0.017975,1595,2410,776,2304,3069,1952,1864,3146,2770,3082,3232,2019,1879,3261,,0.481398,0.518304,0.131080,0.198319,0.066993,0.434932,0.523964,0.489855,0.624000,0.529528,0.925959,0.709906,0.268495,0.893428
0.018023,1595,2410,776,2305,3069,1951,1864,3147,2771,3083,3230,2020,1879,3261,,0.481398,0.518304,0.131080,0.200000,0.066993,0.433790,0.523964,0.490821,0.625143,0.531496,0.924175,0.711085,0.268495,0.893428
0.018003,1595,2410,776,2305,3069,1951,1864,3146,2771,3082,3231,2019,1879,3260,,0.481398,0.518304,0.131080,0.200000,0.066993,0.433790,0.523964,0.489855,0.625143,0.529528,0.925067,0.709906,0.268495,0.892540
